"'Time','II','PLETH','V','ABP','III'"
"'[01:54:53.728]',-,0.502,-,-,-"
"'[01:54:53.736]',-,0.502,-,-,-"
"'[01:54:53.744]',-,0.502,-,-,-"
"'[01:54:53.752]',-,0.502,-,-,-"
"'[01:54:53.760]',-,0.502,-,-,-"
"'[01:54:53.768]',-,0.502,-,-,-"
"'[01:54:53.776]',-,0.502,-,-,-"
"'[01:54:53.784]',-,0.502,-,-,-"
"'[01:54:53.792]',-,0.502,-,-,-"
"'[01:54:53.800]',-,0.502,-,-,-"
"'[01:54:53.808]',-,0.502,-,-,-"
"'[01:54:53.816]',-,0.502,-,-,-"
"'[01:54:53.824]',-,0.502,-,-,-"
"'[01:54:53.832]',-,0.502,-,-,-"
"'[01:54:53.840]',-,0.502,-,-,-"
"'[01:54:53.848]',-,0.502,-,-,-"
"'[01:54:53.856]',-,0.502,-,-,-"
"'[01:54:53.864]',-,0.502,-,-,-"
"'[01:54:53.872]',-,0.502,-,-,-"
"'[01:54:53.880]',-,0.502,-,-,-"
"'[01:54:53.888]',-,0.502,-,-,-"
"'[01:54:53.896]',-,0.502,-,-,-"
"'[01:54:53.904]',-,0.502,-,-,-"
"'[01:54:53.912]',-,0.502,-,-,-"
"'[01:54:53.920]',-,0.502,-,-,-"
"'[01:54:53.928]',-,0.502,-,-,-"
"'[01:54:53.936]',-,0.502,-,-,-"
"'[01:54:53.944]',-,0.502,-,-,-"
"'[01:54:53.952]',-,0.502,-,-,-"
"'[01:54:53.960]',-,0.502,-,-,-"
"'[01:54:53.968]',-,0.502,-,-,-"
"'[01:54:53.976]',-,0.502,-,-,-"
"'[01:54:53.984]',-,0.502,-,-,-"
"'[01:54:53.992]',-,0.502,-,-,-"
"'[01:54:54.000]',-,0.502,-,-,-"
"'[01:54:54.008]',-,0.502,-,-,-"
"'[01:54:54.016]',-,0.502,-,-,-"
"'[01:54:54.024]',-,0.502,-,-,-"
"'[01:54:54.032]',-,0.502,-,-,-"
"'[01:54:54.040]',-,0.502,-,-,-"
"'[01:54:54.048]',-,0.502,-,-,-"
"'[01:54:54.056]',-,0.502,-,-,-"
"'[01:54:54.064]',-,0.502,-,-,-"
"'[01:54:54.072]',-,0.502,-,-,-"
"'[01:54:54.080]',-,0.502,-,-,-"
"'[01:54:54.088]',-,0.502,-,-,-"
"'[01:54:54.096]',-,0.502,-,-,-"
"'[01:54:54.104]',-,0.502,-,-,-"
"'[01:54:54.112]',-,0.502,-,-,-"
"'[01:54:54.120]',-,0.502,-,-,-"
"'[01:54:54.128]',-,0.502,-,-,-"
"'[01:54:54.136]',-,0.502,-,-,-"
"'[01:54:54.144]',-,0.502,-,-,-"
"'[01:54:54.152]',-,0.502,-,-,-"
"'[01:54:54.160]',-,0.502,-,-,-"
"'[01:54:54.168]',-,0.502,-,-,-"
"'[01:54:54.176]',-,0.502,-,-,-"
"'[01:54:54.184]',-,0.502,-,-,-"
"'[01:54:54.192]',-,0.502,-,-,-"
"'[01:54:54.200]',-,0.502,-,-,-"
"'[01:54:54.208]',-,0.502,-,-,-"
"'[01:54:54.216]',-,0.502,-,-,-"
"'[01:54:54.224]',-,0.502,-,-,-"
"'[01:54:54.232]',-,0.502,-,-,-"
"'[01:54:54.240]',-,0.502,-,-,-"
"'[01:54:54.248]',-,0.502,-,-,-"
"'[01:54:54.256]',-,0.502,-,-,-"
"'[01:54:54.264]',-,0.502,-,-,-"
"'[01:54:54.272]',-,0.502,-,-,-"
"'[01:54:54.280]',-,0.502,-,-,-"
"'[01:54:54.288]',-,0.502,-,-,-"
"'[01:54:54.296]',-,0.502,-,-,-"
"'[01:54:54.304]',-,0.502,-,-,-"
"'[01:54:54.312]',-,0.502,-,-,-"
"'[01:54:54.320]',-,0.502,-,-,-"
"'[01:54:54.328]',-,0.502,-,-,-"
"'[01:54:54.336]',-,0.502,-,-,-"
"'[01:54:54.344]',-,0.502,-,-,-"
"'[01:54:54.352]',-,0.502,-,-,-"
"'[01:54:54.360]',-,0.502,-,-,-"
"'[01:54:54.368]',-,0.502,-,-,-"
"'[01:54:54.376]',-,0.502,-,-,-"
"'[01:54:54.384]',-,0.502,-,-,-"
"'[01:54:54.392]',-,0.502,-,-,-"
"'[01:54:54.400]',-,0.502,-,-,-"
"'[01:54:54.408]',-,0.502,-,-,-"
"'[01:54:54.416]',-,0.502,-,-,-"
"'[01:54:54.424]',-,0.502,-,-,-"
"'[01:54:54.432]',-,0.502,-,-,-"
"'[01:54:54.440]',-,0.502,-,-,-"
"'[01:54:54.448]',-,0.502,-,-,-"
"'[01:54:54.456]',-,0.502,-,-,-"
"'[01:54:54.464]',-,0.502,-,-,-"
"'[01:54:54.472]',-,0.502,-,-,-"
"'[01:54:54.480]',-,0.502,-,-,-"
"'[01:54:54.488]',-,0.502,-,-,-"
"'[01:54:54.496]',-,0.502,-,-,-"
"'[01:54:54.504]',-,0.502,-,-,-"
"'[01:54:54.512]',-,0.502,-,-,-"
"'[01:54:54.520]',-,0.502,-,-,-"
"'[01:54:54.528]',-,0.502,-,-,-"
"'[01:54:54.536]',-,0.502,-,-,-"
"'[01:54:54.544]',-,0.502,-,-,-"
"'[01:54:54.552]',-,0.502,-,-,-"
"'[01:54:54.560]',-,0.502,-,-,-"
"'[01:54:54.568]',-,0.502,-,-,-"
"'[01:54:54.576]',-,0.502,-,-,-"
"'[01:54:54.584]',-,0.502,-,-,-"
"'[01:54:54.592]',-,0.502,-,-,-"
"'[01:54:54.600]',-,0.502,-,-,-"
"'[01:54:54.608]',-,0.502,-,-,-"
"'[01:54:54.616]',-,0.502,-,-,-"
"'[01:54:54.624]',-,0.502,-,-,-"
"'[01:54:54.632]',-,0.502,-,-,-"
"'[01:54:54.640]',-,0.502,-,-,-"
"'[01:54:54.648]',-,0.502,-,-,-"
"'[01:54:54.656]',-,0.502,-,-,-"
"'[01:54:54.664]',-,0.502,-,-,-"
"'[01:54:54.672]',-,0.502,-,-,-"
"'[01:54:54.680]',-,0.502,-,-,-"
"'[01:54:54.688]',-,0.502,-,-,-"
"'[01:54:54.696]',-,0.502,-,-,-"
"'[01:54:54.704]',-,0.502,-,-,-"
"'[01:54:54.712]',-,0.502,-,-,-"
"'[01:54:54.720]',-,0.502,-,-,-"
"'[01:54:54.728]',-,0.502,-,-,-"
"'[01:54:54.736]',-,0.502,-,-,-"
"'[01:54:54.744]',-,0.502,-,-,-"
"'[01:54:54.752]',-,0.502,-,-,-"
"'[01:54:54.760]',-,0.502,-,-,-"
"'[01:54:54.768]',-,0.502,-,-,-"
"'[01:54:54.776]',-,0.502,-,-,-"
"'[01:54:54.784]',-,0.502,-,-,-"
"'[01:54:54.792]',-,0.502,-,-,-"
"'[01:54:54.800]',-,0.502,-,-,-"
"'[01:54:54.808]',-,0.502,-,-,-"
"'[01:54:54.816]',-,0.502,-,-,-"
"'[01:54:54.824]',-,0.502,-,-,-"
"'[01:54:54.832]',-,0.502,-,-,-"
"'[01:54:54.840]',-,0.502,-,-,-"
"'[01:54:54.848]',-,0.502,-,-,-"
"'[01:54:54.856]',-,0.502,-,-,-"
"'[01:54:54.864]',-,0.502,-,-,-"
"'[01:54:54.872]',-,0.502,-,-,-"
"'[01:54:54.880]',-,0.502,-,-,-"
"'[01:54:54.888]',-,0.502,-,-,-"
"'[01:54:54.896]',-,0.502,-,-,-"
"'[01:54:54.904]',-,0.502,-,-,-"
"'[01:54:54.912]',-,0.502,-,-,-"
"'[01:54:54.920]',-,0.502,-,-,-"
"'[01:54:54.928]',-,0.502,-,-,-"
"'[01:54:54.936]',-,0.502,-,-,-"
"'[01:54:54.944]',-,0.502,-,-,-"
"'[01:54:54.952]',-,0.502,-,-,-"
"'[01:54:54.960]',-,0.502,-,-,-"
"'[01:54:54.968]',-,0.502,-,-,-"
"'[01:54:54.976]',-,0.502,-,-,-"
"'[01:54:54.984]',-,0.502,-,-,-"
"'[01:54:54.992]',-,0.502,-,-,-"
"'[01:54:55.000]',-,0.502,-,-,-"
"'[01:54:55.008]',-,0.502,-,-,-"
"'[01:54:55.016]',-,0.502,-,-,-"
"'[01:54:55.024]',-,0.502,-,-,-"
"'[01:54:55.032]',-,0.502,-,-,-"
"'[01:54:55.040]',-,0.502,-,-,-"
"'[01:54:55.048]',-,0.502,-,-,-"
"'[01:54:55.056]',-,0.502,-,-,-"
"'[01:54:55.064]',-,0.502,-,-,-"
"'[01:54:55.072]',-,0.502,-,-,-"
"'[01:54:55.080]',-,0.502,-,-,-"
"'[01:54:55.088]',-,0.502,-,-,-"
"'[01:54:55.096]',-,0.502,-,-,-"
"'[01:54:55.104]',-,0.502,-,-,-"
"'[01:54:55.112]',-,0.502,-,-,-"
"'[01:54:55.120]',-,0.502,-,-,-"
"'[01:54:55.128]',-,0.502,-,-,-"
"'[01:54:55.136]',-,0.502,-,-,-"
"'[01:54:55.144]',-,0.502,-,-,-"
"'[01:54:55.152]',-,0.502,-,-,-"
"'[01:54:55.160]',-,0.502,-,-,-"
"'[01:54:55.168]',-,0.502,-,-,-"
"'[01:54:55.176]',-,0.502,-,-,-"
"'[01:54:55.184]',-,0.502,-,-,-"
"'[01:54:55.192]',-,0.502,-,-,-"
"'[01:54:55.200]',-,0.502,-,-,-"
"'[01:54:55.208]',-,0.502,-,-,-"
"'[01:54:55.216]',-,0.502,-,-,-"
"'[01:54:55.224]',-,0.502,-,-,-"
"'[01:54:55.232]',-,0.502,-,-,-"
"'[01:54:55.240]',-,0.502,-,-,-"
"'[01:54:55.248]',-,0.502,-,-,-"
"'[01:54:55.256]',-,0.502,-,-,-"
"'[01:54:55.264]',-,0.502,-,-,-"
"'[01:54:55.272]',-,0.502,-,-,-"
"'[01:54:55.280]',-,0.502,-,-,-"
"'[01:54:55.288]',-,0.502,-,-,-"
"'[01:54:55.296]',-,0.502,-,-,-"
"'[01:54:55.304]',-,0.502,-,-,-"
"'[01:54:55.312]',-,0.502,-,-,-"
"'[01:54:55.320]',-,0.502,-,-,-"
"'[01:54:55.328]',-,0.502,-,-,-"
"'[01:54:55.336]',-,0.502,-,-,-"
"'[01:54:55.344]',-,0.502,-,-,-"
"'[01:54:55.352]',-,0.502,-,-,-"
"'[01:54:55.360]',-,0.502,-,-,-"
"'[01:54:55.368]',-,0.502,-,-,-"
"'[01:54:55.376]',-,0.502,-,-,-"
"'[01:54:55.384]',-,0.502,-,-,-"
"'[01:54:55.392]',-,0.502,-,-,-"
"'[01:54:55.400]',-,0.502,-,-,-"
"'[01:54:55.408]',-,0.502,-,-,-"
"'[01:54:55.416]',-,0.502,-,-,-"
"'[01:54:55.424]',-,0.502,-,-,-"
"'[01:54:55.432]',-,0.502,-,-,-"
"'[01:54:55.440]',-,0.502,-,-,-"
"'[01:54:55.448]',-,0.502,-,-,-"
"'[01:54:55.456]',-,0.502,-,-,-"
"'[01:54:55.464]',-,0.502,-,-,-"
"'[01:54:55.472]',-,0.502,-,-,-"
"'[01:54:55.480]',-,0.502,-,-,-"
"'[01:54:55.488]',-,0.502,-,-,-"
"'[01:54:55.496]',-,0.502,-,-,-"
"'[01:54:55.504]',-,0.502,-,-,-"
"'[01:54:55.512]',-,0.502,-,-,-"
"'[01:54:55.520]',-,0.502,-,-,-"
"'[01:54:55.528]',-,0.502,-,-,-"
"'[01:54:55.536]',-,0.502,-,-,-"
"'[01:54:55.544]',-,0.502,-,-,-"
"'[01:54:55.552]',-,0.502,-,-,-"
"'[01:54:55.560]',-,0.502,-,-,-"
"'[01:54:55.568]',-,0.502,-,-,-"
"'[01:54:55.576]',-,0.502,-,-,-"
"'[01:54:55.584]',-,0.502,-,-,-"
"'[01:54:55.592]',-,0.502,-,-,-"
"'[01:54:55.600]',-,0.502,-,-,-"
"'[01:54:55.608]',-,0.502,-,-,-"
"'[01:54:55.616]',-,0.502,-,-,-"
"'[01:54:55.624]',-,0.502,-,-,-"
"'[01:54:55.632]',-,0.502,-,-,-"
"'[01:54:55.640]',-,0.502,-,-,-"
"'[01:54:55.648]',-,0.502,-,-,-"
"'[01:54:55.656]',-,0.502,-,-,-"
"'[01:54:55.664]',-,0.502,-,-,-"
"'[01:54:55.672]',-,0.502,-,-,-"
"'[01:54:55.680]',-,0.502,-,-,-"
"'[01:54:55.688]',-,0.502,-,-,-"
"'[01:54:55.696]',-,0.502,-,-,-"
"'[01:54:55.704]',-,0.502,-,-,-"
"'[01:54:55.712]',-,0.502,-,-,-"
"'[01:54:55.720]',-,0.502,-,-,-"
"'[01:54:55.728]',-,0.502,-,-,-"
"'[01:54:55.736]',-,0.502,-,-,-"
"'[01:54:55.744]',-,0.502,-,-,-"
"'[01:54:55.752]',-,0.502,-,-,-"
"'[01:54:55.760]',-,0.502,-,-,-"
"'[01:54:55.768]',-,0.502,-,-,-"
"'[01:54:55.776]',-,0.502,-,-,-"
"'[01:54:55.784]',-,0.502,-,-,-"
"'[01:54:55.792]',-,0.502,-,-,-"
"'[01:54:55.800]',-,0.502,-,-,-"
"'[01:54:55.808]',-,0.502,-,-,-"
"'[01:54:55.816]',-,0.502,-,-,-"
"'[01:54:55.824]',-,0.502,-,-,-"
"'[01:54:55.832]',-,0.502,-,-,-"
"'[01:54:55.840]',-,0.502,-,-,-"
"'[01:54:55.848]',-,0.502,-,-,-"
"'[01:54:55.856]',-,0.502,-,-,-"
"'[01:54:55.864]',-,0.502,-,-,-"
"'[01:54:55.872]',-,0.502,-,-,-"
"'[01:54:55.880]',-,0.502,-,-,-"
"'[01:54:55.888]',-,0.502,-,-,-"
"'[01:54:55.896]',-,0.502,-,-,-"
"'[01:54:55.904]',-,0.502,-,-,-"
"'[01:54:55.912]',-,0.502,-,-,-"
"'[01:54:55.920]',-,0.502,-,-,-"
"'[01:54:55.928]',-,0.502,-,-,-"
"'[01:54:55.936]',-,0.502,-,-,-"
"'[01:54:55.944]',-,0.502,-,-,-"
"'[01:54:55.952]',-,0.502,-,-,-"
"'[01:54:55.960]',-,0.502,-,-,-"
"'[01:54:55.968]',-,0.502,-,-,-"
"'[01:54:55.976]',-,0.502,-,-,-"
"'[01:54:55.984]',-,0.502,-,-,-"
"'[01:54:55.992]',-,0.502,-,-,-"
"'[01:54:56.000]',-,0.502,-,-,-"
"'[01:54:56.008]',-,0.502,-,-,-"
"'[01:54:56.016]',-,0.502,-,-,-"
"'[01:54:56.024]',-,0.502,-,-,-"
"'[01:54:56.032]',-,0.502,-,-,-"
"'[01:54:56.040]',-,0.502,-,-,-"
"'[01:54:56.048]',-,0.502,-,-,-"
"'[01:54:56.056]',-,0.502,-,-,-"
"'[01:54:56.064]',-,0.502,-,-,-"
"'[01:54:56.072]',-,0.502,-,-,-"
"'[01:54:56.080]',-,0.502,-,-,-"
"'[01:54:56.088]',-,0.502,-,-,-"
"'[01:54:56.096]',-,0.502,-,-,-"
"'[01:54:56.104]',-,0.502,-,-,-"
"'[01:54:56.112]',-,0.502,-,-,-"
"'[01:54:56.120]',-,0.502,-,-,-"
"'[01:54:56.128]',-,0.502,-,-,-"
"'[01:54:56.136]',-,0.502,-,-,-"
"'[01:54:56.144]',-,0.502,-,-,-"
"'[01:54:56.152]',-,0.502,-,-,-"
"'[01:54:56.160]',-,0.502,-,-,-"
"'[01:54:56.168]',-,0.502,-,-,-"
"'[01:54:56.176]',-,0.502,-,-,-"
"'[01:54:56.184]',-,0.502,-,-,-"
"'[01:54:56.192]',-,0.502,-,-,-"
"'[01:54:56.200]',-,0.502,-,-,-"
"'[01:54:56.208]',-,0.502,-,-,-"
"'[01:54:56.216]',-,0.502,-,-,-"
"'[01:54:56.224]',-,0.502,-,-,-"
"'[01:54:56.232]',-,0.502,-,-,-"
"'[01:54:56.240]',-,0.502,-,-,-"
"'[01:54:56.248]',-,0.502,-,-,-"
"'[01:54:56.256]',-,0.502,-,-,-"
"'[01:54:56.264]',-,0.502,-,-,-"
"'[01:54:56.272]',-,0.502,-,-,-"
"'[01:54:56.280]',-,0.502,-,-,-"
"'[01:54:56.288]',-,0.502,-,-,-"
"'[01:54:56.296]',-,0.502,-,-,-"
"'[01:54:56.304]',-,0.502,-,-,-"
"'[01:54:56.312]',-,0.502,-,-,-"
"'[01:54:56.320]',-,0.502,-,-,-"
"'[01:54:56.328]',-,0.502,-,-,-"
"'[01:54:56.336]',-,0.502,-,-,-"
"'[01:54:56.344]',-,0.502,-,-,-"
"'[01:54:56.352]',-,0.502,-,-,-"
"'[01:54:56.360]',-,0.502,-,-,-"
"'[01:54:56.368]',-,0.502,-,-,-"
"'[01:54:56.376]',-,0.502,-,-,-"
"'[01:54:56.384]',-,0.502,-,-,-"
"'[01:54:56.392]',-,0.502,-,-,-"
"'[01:54:56.400]',-,0.502,-,-,-"
"'[01:54:56.408]',-,0.502,-,-,-"
"'[01:54:56.416]',-,0.502,-,-,-"
"'[01:54:56.424]',-,0.502,-,-,-"
"'[01:54:56.432]',-,0.502,-,-,-"
"'[01:54:56.440]',-,0.502,-,-,-"
"'[01:54:56.448]',-,0.502,-,-,-"
"'[01:54:56.456]',-,0.502,-,-,-"
"'[01:54:56.464]',-,0.502,-,-,-"
"'[01:54:56.472]',-,0.502,-,-,-"
"'[01:54:56.480]',-,0.502,-,-,-"
"'[01:54:56.488]',-,0.502,-,-,-"
"'[01:54:56.496]',-,0.502,-,-,-"
"'[01:54:56.504]',-,0.502,-,-,-"
"'[01:54:56.512]',-,0.502,-,-,-"
"'[01:54:56.520]',-,0.502,-,-,-"
"'[01:54:56.528]',-,0.502,-,-,-"
"'[01:54:56.536]',-,0.502,-,-,-"
"'[01:54:56.544]',-,0.502,-,-,-"
"'[01:54:56.552]',-,0.502,-,-,-"
"'[01:54:56.560]',-,0.502,-,-,-"
"'[01:54:56.568]',-,0.502,-,-,-"
"'[01:54:56.576]',-,0.502,-,-,-"
"'[01:54:56.584]',-,0.502,-,-,-"
"'[01:54:56.592]',-,0.502,-,-,-"
"'[01:54:56.600]',-,0.502,-,-,-"
"'[01:54:56.608]',-,0.502,-,-,-"
"'[01:54:56.616]',-,0.502,-,-,-"
"'[01:54:56.624]',-,0.502,-,-,-"
"'[01:54:56.632]',-,0.502,-,-,-"
"'[01:54:56.640]',-,0.502,-,-,-"
"'[01:54:56.648]',-,0.502,-,-,-"
"'[01:54:56.656]',-,0.502,-,-,-"
"'[01:54:56.664]',-,0.502,-,-,-"
"'[01:54:56.672]',-,0.502,-,-,-"
"'[01:54:56.680]',-,0.502,-,-,-"
"'[01:54:56.688]',-,0.502,-,-,-"
"'[01:54:56.696]',-,0.502,-,-,-"
"'[01:54:56.704]',-,0.502,-,-,-"
"'[01:54:56.712]',-,0.502,-,-,-"
"'[01:54:56.720]',-,0.502,-,-,-"
"'[01:54:56.728]',-,0.502,-,-,-"
"'[01:54:56.736]',-,0.502,-,-,-"
"'[01:54:56.744]',-,0.502,-,-,-"
"'[01:54:56.752]',-,0.502,-,-,-"
"'[01:54:56.760]',-,0.502,-,-,-"
"'[01:54:56.768]',-,0.502,-,-,-"
"'[01:54:56.776]',-,0.502,-,-,-"
"'[01:54:56.784]',-,0.502,-,-,-"
"'[01:54:56.792]',-,0.502,-,-,-"
"'[01:54:56.800]',-,0.502,-,-,-"
"'[01:54:56.808]',-,0.502,-,-,-"
"'[01:54:56.816]',-,0.502,-,-,-"
"'[01:54:56.824]',-,0.502,-,-,-"
"'[01:54:56.832]',-,0.502,-,-,-"
"'[01:54:56.840]',-,0.502,-,-,-"
"'[01:54:56.848]',-,0.502,-,-,-"
"'[01:54:56.856]',-,0.502,-,-,-"
"'[01:54:56.864]',-,0.502,-,-,-"
"'[01:54:56.872]',-,0.502,-,-,-"
"'[01:54:56.880]',-,0.502,-,-,-"
"'[01:54:56.888]',-,0.502,-,-,-"
"'[01:54:56.896]',-,0.502,-,-,-"
"'[01:54:56.904]',-,0.502,-,-,-"
"'[01:54:56.912]',-,0.502,-,-,-"
"'[01:54:56.920]',-,0.502,-,-,-"
"'[01:54:56.928]',-,0.502,-,-,-"
"'[01:54:56.936]',-,0.502,-,-,-"
"'[01:54:56.944]',-,0.502,-,-,-"
"'[01:54:56.952]',-,0.502,-,-,-"
"'[01:54:56.960]',-,0.502,-,-,-"
"'[01:54:56.968]',-,0.502,-,-,-"
"'[01:54:56.976]',-,0.502,-,-,-"
"'[01:54:56.984]',-,0.502,-,-,-"
"'[01:54:56.992]',-,0.502,-,-,-"
"'[01:54:57.000]',-,0.502,-,-,-"
"'[01:54:57.008]',-,0.502,-,-,-"
"'[01:54:57.016]',-,0.502,-,-,-"
"'[01:54:57.024]',-,0.502,-,-,-"
"'[01:54:57.032]',-,0.502,-,-,-"
"'[01:54:57.040]',-,0.502,-,-,-"
"'[01:54:57.048]',-,0.502,-,-,-"
"'[01:54:57.056]',-,0.502,-,-,-"
"'[01:54:57.064]',-,0.502,-,-,-"
"'[01:54:57.072]',-,0.502,-,-,-"
"'[01:54:57.080]',-,0.502,-,-,-"
"'[01:54:57.088]',-,0.502,-,-,-"
"'[01:54:57.096]',-,0.502,-,-,-"
"'[01:54:57.104]',-,0.502,-,-,-"
"'[01:54:57.112]',-,0.502,-,-,-"
"'[01:54:57.120]',-,0.502,-,-,-"
"'[01:54:57.128]',-,0.502,-,-,-"
"'[01:54:57.136]',-,0.502,-,-,-"
"'[01:54:57.144]',-,0.502,-,-,-"
"'[01:54:57.152]',-,0.502,-,-,-"
"'[01:54:57.160]',-,0.502,-,-,-"
"'[01:54:57.168]',-,0.502,-,-,-"
"'[01:54:57.176]',-,0.502,-,-,-"
"'[01:54:57.184]',-,0.502,-,-,-"
"'[01:54:57.192]',-,0.502,-,-,-"
"'[01:54:57.200]',-,0.502,-,-,-"
"'[01:54:57.208]',-,0.502,-,-,-"
"'[01:54:57.216]',-,0.502,-,-,-"
"'[01:54:57.224]',-,0.502,-,-,-"
"'[01:54:57.232]',-,0.502,-,-,-"
"'[01:54:57.240]',-,0.502,-,-,-"
"'[01:54:57.248]',-,0.502,-,-,-"
"'[01:54:57.256]',-,0.502,-,-,-"
"'[01:54:57.264]',-,0.502,-,-,-"
"'[01:54:57.272]',-,0.502,-,-,-"
"'[01:54:57.280]',-,0.502,-,-,-"
"'[01:54:57.288]',-,0.502,-,-,-"
"'[01:54:57.296]',-,0.502,-,-,-"
"'[01:54:57.304]',-,0.502,-,-,-"
"'[01:54:57.312]',-,0.502,-,-,-"
"'[01:54:57.320]',-,0.502,-,-,-"
"'[01:54:57.328]',-,0.502,-,-,-"
"'[01:54:57.336]',-,0.502,-,-,-"
"'[01:54:57.344]',-,0.502,-,-,-"
"'[01:54:57.352]',-,0.502,-,-,-"
"'[01:54:57.360]',-,0.502,-,-,-"
"'[01:54:57.368]',-,0.502,-,-,-"
"'[01:54:57.376]',-,0.502,-,-,-"
"'[01:54:57.384]',-,0.502,-,-,-"
"'[01:54:57.392]',-,0.502,-,-,-"
"'[01:54:57.400]',-,0.502,-,-,-"
"'[01:54:57.408]',-,0.502,-,-,-"
"'[01:54:57.416]',-,0.502,-,-,-"
"'[01:54:57.424]',-,0.502,-,-,-"
"'[01:54:57.432]',-,0.502,-,-,-"
"'[01:54:57.440]',-,0.502,-,-,-"
"'[01:54:57.448]',-,0.502,-,-,-"
"'[01:54:57.456]',-,0.502,-,-,-"
"'[01:54:57.464]',-,0.502,-,-,-"
"'[01:54:57.472]',-,0.502,-,-,-"
"'[01:54:57.480]',-,0.502,-,-,-"
"'[01:54:57.488]',-,0.502,-,-,-"
"'[01:54:57.496]',-,0.502,-,-,-"
"'[01:54:57.504]',-,0.502,-,-,-"
"'[01:54:57.512]',-,0.502,-,-,-"
"'[01:54:57.520]',-,0.502,-,-,-"
"'[01:54:57.528]',-,0.502,-,-,-"
"'[01:54:57.536]',-,0.502,-,-,-"
"'[01:54:57.544]',-,0.502,-,-,-"
"'[01:54:57.552]',-,0.502,-,-,-"
"'[01:54:57.560]',-,0.502,-,-,-"
"'[01:54:57.568]',-,0.502,-,-,-"
"'[01:54:57.576]',-,0.502,-,-,-"
"'[01:54:57.584]',-,0.502,-,-,-"
"'[01:54:57.592]',-,0.502,-,-,-"
"'[01:54:57.600]',-,0.502,-,-,-"
"'[01:54:57.608]',-,0.502,-,-,-"
"'[01:54:57.616]',-,0.502,-,-,-"
"'[01:54:57.624]',-,0.502,-,-,-"
"'[01:54:57.632]',-,0.502,-,-,-"
"'[01:54:57.640]',-,0.502,-,-,-"
"'[01:54:57.648]',-,0.502,-,-,-"
"'[01:54:57.656]',-,0.502,-,-,-"
"'[01:54:57.664]',-,0.502,-,-,-"
"'[01:54:57.672]',-,0.502,-,-,-"
"'[01:54:57.680]',-,0.502,-,-,-"
"'[01:54:57.688]',-,0.502,-,-,-"
"'[01:54:57.696]',-,0.502,-,-,-"
"'[01:54:57.704]',-,0.502,-,-,-"
"'[01:54:57.712]',-,0.502,-,-,-"
"'[01:54:57.720]',-,0.502,-,-,-"
"'[01:54:57.728]',-,0.502,-,-,-"
"'[01:54:57.736]',-,0.502,-,-,-"
"'[01:54:57.744]',-,0.502,-,-,-"
"'[01:54:57.752]',-,0.502,-,-,-"
"'[01:54:57.760]',-,0.502,-,-,-"
"'[01:54:57.768]',-,0.502,-,-,-"
"'[01:54:57.776]',-,0.502,-,-,-"
"'[01:54:57.784]',-,0.502,-,-,-"
"'[01:54:57.792]',-,0.502,-,-,-"
"'[01:54:57.800]',-,0.502,-,-,-"
"'[01:54:57.808]',-,0.502,-,-,-"
"'[01:54:57.816]',-,0.502,-,-,-"
"'[01:54:57.824]',-,0.502,-,-,-"
"'[01:54:57.832]',-,0.502,-,-,-"
"'[01:54:57.840]',-,0.502,-,-,-"
"'[01:54:57.848]',-,0.502,-,-,-"
"'[01:54:57.856]',-,0.502,-,-,-"
"'[01:54:57.864]',-,0.502,-,-,-"
"'[01:54:57.872]',-,0.502,-,-,-"
"'[01:54:57.880]',-,0.502,-,-,-"
"'[01:54:57.888]',-,0.502,-,-,-"
"'[01:54:57.896]',-,0.502,-,-,-"
"'[01:54:57.904]',-,0.502,-,-,-"
"'[01:54:57.912]',-,0.502,-,-,-"
"'[01:54:57.920]',-,0.502,-,-,-"
"'[01:54:57.928]',-,0.502,-,-,-"
"'[01:54:57.936]',-,0.502,-,-,-"
"'[01:54:57.944]',-,0.502,-,-,-"
"'[01:54:57.952]',-,0.502,-,-,-"
"'[01:54:57.960]',-,0.502,-,-,-"
"'[01:54:57.968]',-,0.502,-,-,-"
"'[01:54:57.976]',-,0.502,-,-,-"
"'[01:54:57.984]',-,0.502,-,-,-"
"'[01:54:57.992]',-,0.502,-,-,-"
"'[01:54:58.000]',-,0.502,-,-,-"
"'[01:54:58.008]',-,0.502,-,-,-"
"'[01:54:58.016]',-,0.502,-,-,-"
"'[01:54:58.024]',-,0.502,-,-,-"
"'[01:54:58.032]',-,0.502,-,-,-"
"'[01:54:58.040]',-,0.502,-,-,-"
"'[01:54:58.048]',-,0.502,-,-,-"
"'[01:54:58.056]',-,0.502,-,-,-"
"'[01:54:58.064]',-,0.502,-,-,-"
"'[01:54:58.072]',-,0.502,-,-,-"
"'[01:54:58.080]',-,0.502,-,-,-"
"'[01:54:58.088]',-,0.502,-,-,-"
"'[01:54:58.096]',-,0.502,-,-,-"
"'[01:54:58.104]',-,0.502,-,-,-"
"'[01:54:58.112]',-,0.502,-,-,-"
"'[01:54:58.120]',-,0.502,-,-,-"
"'[01:54:58.128]',-,0.502,-,-,-"
"'[01:54:58.136]',-,0.502,-,-,-"
"'[01:54:58.144]',-,0.502,-,-,-"
"'[01:54:58.152]',-,0.502,-,-,-"
"'[01:54:58.160]',-,0.502,-,-,-"
"'[01:54:58.168]',-,0.502,-,-,-"
"'[01:54:58.176]',-,0.502,-,-,-"
"'[01:54:58.184]',-,0.502,-,-,-"
"'[01:54:58.192]',-,0.502,-,-,-"
