'Time','II','PLETH','ABP','III','I'
'[19:54:56.992]',0.394,0.447,67.979,-,-
'[19:54:57.000]',0.386,0.447,67.979,-,-
'[19:54:57.008]',0.386,0.443,67.150,-,-
'[19:54:57.016]',0.370,0.443,66.321,-,-
'[19:54:57.024]',0.362,0.439,66.321,-,-
'[19:54:57.032]',0.362,0.439,65.699,-,-
'[19:54:57.040]',0.378,0.435,65.699,-,-
'[19:54:57.048]',0.386,0.435,65.699,-,-
'[19:54:57.056]',0.386,0.431,65.699,-,-
'[19:54:57.064]',0.394,0.431,66.321,-,-
'[19:54:57.072]',0.386,0.427,67.979,-,-
'[19:54:57.080]',0.362,0.427,70.259,-,-
'[19:54:57.088]',0.354,0.424,75.026,-,-
'[19:54:57.096]',0.354,0.424,82.073,-,-
'[19:54:57.104]',0.346,0.420,89.741,-,-
'[19:54:57.112]',0.346,0.420,98.446,-,-
'[19:54:57.120]',0.362,0.416,106.321,-,-
'[19:54:57.128]',0.370,0.416,112.539,-,-
'[19:54:57.136]',0.378,0.412,116.477,-,-
'[19:54:57.144]',0.354,0.408,117.098,-,-
'[19:54:57.152]',0.346,0.404,117.927,-,-
'[19:54:57.160]',0.370,0.404,117.927,-,-
'[19:54:57.168]',0.394,0.400,118.756,-,-
'[19:54:57.176]',0.402,0.400,121.036,-,-
'[19:54:57.184]',0.354,0.400,124.145,-,-
'[19:54:57.192]',0.315,0.396,128.912,-,-
'[19:54:57.200]',0.307,0.396,132.850,-,-
'[19:54:57.208]',0.354,0.392,135.959,-,-
'[19:54:57.216]',0.386,0.392,138.238,-,-
'[19:54:57.224]',0.378,0.392,139.067,-,-
'[19:54:57.232]',0.362,0.392,139.067,-,-
'[19:54:57.240]',0.362,0.388,138.238,-,-
'[19:54:57.248]',0.362,0.388,138.238,-,-
'[19:54:57.256]',0.370,0.388,137.409,-,-
'[19:54:57.264]',0.386,0.384,136.788,-,-
'[19:54:57.272]',0.402,0.384,136.788,-,-
'[19:54:57.280]',0.402,0.384,136.788,-,-
'[19:54:57.288]',0.386,0.388,136.788,-,-
'[19:54:57.296]',0.362,0.388,136.788,-,-
'[19:54:57.304]',0.331,0.388,135.959,-,-
'[19:54:57.312]',0.323,0.384,135.959,-,-
'[19:54:57.320]',0.339,0.384,135.130,-,-
'[19:54:57.328]',0.346,0.384,133.679,-,-
'[19:54:57.336]',0.362,0.384,132.850,-,-
'[19:54:57.344]',0.386,0.380,131.192,-,-
'[19:54:57.352]',0.394,0.380,129.741,-,-
'[19:54:57.360]',0.386,0.380,128.083,-,-
'[19:54:57.368]',0.370,0.384,126.632,-,-
'[19:54:57.376]',0.362,0.388,124.145,-,-
'[19:54:57.384]',0.346,0.388,121.865,-,-
'[19:54:57.392]',0.354,0.396,119.585,-,-
'[19:54:57.400]',0.370,0.400,116.477,-,-
'[19:54:57.408]',0.386,0.404,113.368,-,-
'[19:54:57.416]',0.386,0.412,109.430,-,-
'[19:54:57.424]',0.386,0.416,106.321,-,-
'[19:54:57.432]',0.394,0.424,102.383,-,-
'[19:54:57.440]',0.386,0.431,99.275,-,-
'[19:54:57.448]',0.394,0.439,97.617,-,-
'[19:54:57.456]',0.394,0.451,96.788,-,-
'[19:54:57.464]',0.386,0.459,96.788,-,-
'[19:54:57.472]',0.354,0.471,96.788,-,-
'[19:54:57.480]',0.331,0.478,97.617,-,-
'[19:54:57.488]',0.331,0.486,97.617,-,-
'[19:54:57.496]',0.339,0.494,97.617,-,-
'[19:54:57.504]',0.339,0.506,96.788,-,-
'[19:54:57.512]',0.346,0.514,95.337,-,-
'[19:54:57.520]',0.362,0.522,93.679,-,-
'[19:54:57.528]',0.378,0.529,93.057,-,-
'[19:54:57.536]',0.386,0.537,92.228,-,-
'[19:54:57.544]',0.394,0.541,91.399,-,-
'[19:54:57.552]',0.402,0.545,90.570,-,-
'[19:54:57.560]',0.362,0.549,90.570,-,-
'[19:54:57.568]',0.346,0.553,89.741,-,-
'[19:54:57.576]',0.339,0.557,88.290,-,-
'[19:54:57.584]',0.331,0.561,87.461,-,-
'[19:54:57.592]',0.339,0.561,86.632,-,-
'[19:54:57.600]',0.370,0.565,86.010,-,-
'[19:54:57.608]',0.402,0.565,86.632,-,-
'[19:54:57.616]',0.417,0.569,88.290,-,-
'[19:54:57.624]',0.417,0.569,89.119,-,-
'[19:54:57.632]',0.425,0.569,89.119,-,-
'[19:54:57.640]',0.433,0.569,87.461,-,-
'[19:54:57.648]',0.441,0.569,86.632,-,-
'[19:54:57.656]',0.402,0.569,85.181,-,-
'[19:54:57.664]',0.346,0.569,84.352,-,-
'[19:54:57.672]',0.307,0.569,83.523,-,-
'[19:54:57.680]',0.307,0.565,82.902,-,-
'[19:54:57.688]',0.331,0.565,82.073,-,-
'[19:54:57.696]',0.346,0.561,81.244,-,-
'[19:54:57.704]',0.339,0.557,81.244,-,-
'[19:54:57.712]',0.331,0.557,81.244,-,-
'[19:54:57.720]',0.339,0.553,80.415,-,-
'[19:54:57.728]',0.315,0.549,80.415,-,-
'[19:54:57.736]',0.307,0.545,79.585,-,-
'[19:54:57.744]',0.307,0.541,79.585,-,-
'[19:54:57.752]',0.291,0.537,78.964,-,-
'[19:54:57.760]',0.291,0.533,78.964,-,-
'[19:54:57.768]',0.315,0.529,78.135,-,-
'[19:54:57.776]',0.386,0.525,78.135,-,-
'[19:54:57.784]',0.567,0.522,77.306,-,-
'[19:54:57.792]',0.819,0.518,76.477,-,-
'[19:54:57.800]',0.961,0.514,76.477,-,-
'[19:54:57.808]',0.764,0.510,75.026,-,-
'[19:54:57.816]',0.362,0.506,74.197,-,-
'[19:54:57.824]',0.000,0.506,74.197,-,-
'[19:54:57.832]',-0.126,0.506,73.368,-,-
'[19:54:57.840]',-0.063,0.502,73.368,-,-
'[19:54:57.848]',0.047,0.498,73.368,-,-
'[19:54:57.856]',0.150,0.498,73.368,-,-
'[19:54:57.864]',0.236,0.494,73.368,-,-
'[19:54:57.872]',0.283,0.494,73.368,-,-
'[19:54:57.880]',0.299,0.490,73.368,-,-
'[19:54:57.888]',0.307,0.486,73.368,-,-
'[19:54:57.896]',0.315,0.486,73.368,-,-
'[19:54:57.904]',0.315,0.482,73.368,-,-
'[19:54:57.912]',0.315,0.478,73.368,-,-
'[19:54:57.920]',0.315,0.475,72.746,-,-
'[19:54:57.928]',0.331,0.471,72.746,-,-
'[19:54:57.936]',0.331,0.467,71.917,-,-
'[19:54:57.944]',0.346,0.467,71.917,-,-
'[19:54:57.952]',0.362,0.463,71.088,-,-
'[19:54:57.960]',0.346,0.459,70.259,-,-
'[19:54:57.968]',0.323,0.455,70.259,-,-
'[19:54:57.976]',0.323,0.455,69.430,-,-
'[19:54:57.984]',0.346,0.451,68.808,-,-
'[19:54:57.992]',0.370,0.451,67.979,-,-
'[19:54:58.000]',0.370,0.451,67.150,-,-
'[19:54:58.008]',0.354,0.451,67.150,-,-
'[19:54:58.016]',0.346,0.447,66.321,-,-
'[19:54:58.024]',0.362,0.447,66.321,-,-
'[19:54:58.032]',0.386,0.447,67.150,-,-
'[19:54:58.040]',0.386,0.443,68.808,-,-
'[19:54:58.048]',0.354,0.443,71.088,-,-
'[19:54:58.056]',0.307,0.439,75.855,-,-
'[19:54:58.064]',0.291,0.439,82.073,-,-
'[19:54:58.072]',0.331,0.435,90.570,-,-
'[19:54:58.080]',0.370,0.435,99.275,-,-
'[19:54:58.088]',0.386,0.431,107.772,-,-
'[19:54:58.096]',0.386,0.431,113.990,-,-
'[19:54:58.104]',0.370,0.431,117.927,-,-
'[19:54:58.112]',0.370,0.427,119.585,-,-
'[19:54:58.120]',0.386,0.427,119.585,-,-
'[19:54:58.128]',0.370,0.424,119.585,-,-
'[19:54:58.136]',0.354,0.420,120.415,-,-
'[19:54:58.144]',0.346,0.420,122.694,-,-
'[19:54:58.152]',0.362,0.416,125.803,-,-
'[19:54:58.160]',0.362,0.416,129.741,-,-
'[19:54:58.168]',0.331,0.412,133.679,-,-
'[19:54:58.176]',0.315,0.412,137.409,-,-
'[19:54:58.184]',0.315,0.412,139.896,-,-
'[19:54:58.192]',0.315,0.408,140.725,-,-
'[19:54:58.200]',0.315,0.408,140.725,-,-
'[19:54:58.208]',0.323,0.404,140.725,-,-
'[19:54:58.216]',0.339,0.404,139.896,-,-
'[19:54:58.224]',0.346,0.400,139.896,-,-
'[19:54:58.232]',0.362,0.400,139.896,-,-
'[19:54:58.240]',0.362,0.396,139.896,-,-
'[19:54:58.248]',0.346,0.396,139.896,-,-
'[19:54:58.256]',0.346,0.392,139.896,-,-
'[19:54:58.264]',0.346,0.392,139.896,-,-
'[19:54:58.272]',0.346,0.392,139.896,-,-
'[19:54:58.280]',0.354,0.392,139.067,-,-
'[19:54:58.288]',0.362,0.392,139.067,-,-
'[19:54:58.296]',0.362,0.392,138.238,-,-
'[19:54:58.304]',0.370,0.392,136.788,-,-
'[19:54:58.312]',0.370,0.392,135.959,-,-
'[19:54:58.320]',0.378,0.392,134.301,-,-
'[19:54:58.328]',0.378,0.396,132.850,-,-
'[19:54:58.336]',0.378,0.396,131.192,-,-
'[19:54:58.344]',0.402,0.400,128.912,-,-
'[19:54:58.352]',0.402,0.400,127.254,-,-
'[19:54:58.360]',0.370,0.404,124.974,-,-
'[19:54:58.368]',0.362,0.408,122.694,-,-
'[19:54:58.376]',0.370,0.412,119.585,-,-
'[19:54:58.384]',0.409,0.416,116.477,-,-
'[19:54:58.392]',0.457,0.420,113.368,-,-
'[19:54:58.400]',0.472,0.427,109.430,-,-
'[19:54:58.408]',0.441,0.435,105.492,-,-
'[19:54:58.416]',0.394,0.447,102.383,-,-
'[19:54:58.424]',0.362,0.455,100.104,-,-
'[19:54:58.432]',0.346,0.463,99.275,-,-
'[19:54:58.440]',0.339,0.475,99.275,-,-
'[19:54:58.448]',0.354,0.482,99.275,-,-
'[19:54:58.456]',0.386,0.490,100.104,-,-
'[19:54:58.464]',0.402,0.498,100.104,-,-
'[19:54:58.472]',0.409,0.506,99.275,-,-
'[19:54:58.480]',0.386,0.514,98.446,-,-
'[19:54:58.488]',0.370,0.518,97.617,-,-
'[19:54:58.496]',0.362,0.525,96.166,-,-
'[19:54:58.504]',0.346,0.533,95.337,-,-
'[19:54:58.512]',0.339,0.541,94.508,-,-
'[19:54:58.520]',0.346,0.545,93.679,-,-
'[19:54:58.528]',0.331,0.553,93.679,-,-
'[19:54:58.536]',0.354,0.557,93.057,-,-
'[19:54:58.544]',0.370,0.561,93.057,-,-
'[19:54:58.552]',0.354,0.565,92.228,-,-
'[19:54:58.560]',0.331,0.569,92.228,-,-
'[19:54:58.568]',0.339,0.569,91.399,-,-
'[19:54:58.576]',0.354,0.573,90.570,-,-
'[19:54:58.584]',0.362,0.576,89.741,-,-
'[19:54:58.592]',0.346,0.576,89.119,-,-
'[19:54:58.600]',0.346,0.576,88.290,-,-
'[19:54:58.608]',0.362,0.580,87.461,-,-
'[19:54:58.616]',0.386,0.580,87.461,-,-
'[19:54:58.624]',0.409,0.580,86.632,-,-
'[19:54:58.632]',0.417,0.576,86.010,-,-
'[19:54:58.640]',0.409,0.576,85.181,-,-
'[19:54:58.648]',0.394,0.576,84.352,-,-
'[19:54:58.656]',0.394,0.573,83.523,-,-
'[19:54:58.664]',0.386,0.573,83.523,-,-
'[19:54:58.672]',0.346,0.569,82.902,-,-
'[19:54:58.680]',0.307,0.565,82.073,-,-
'[19:54:58.688]',0.299,0.565,81.244,-,-
'[19:54:58.696]',0.299,0.561,81.244,-,-
'[19:54:58.704]',0.315,0.557,81.244,-,-
'[19:54:58.712]',0.339,0.557,80.415,-,-
'[19:54:58.720]',0.346,0.553,80.415,-,-
'[19:54:58.728]',0.346,0.549,80.415,-,-
'[19:54:58.736]',0.331,0.545,79.585,-,-
'[19:54:58.744]',0.307,0.541,79.585,-,-
'[19:54:58.752]',0.299,0.537,78.964,-,-
'[19:54:58.760]',0.378,0.533,78.964,-,-
'[19:54:58.768]',0.598,0.529,78.135,-,-
'[19:54:58.776]',0.906,0.525,78.135,-,-
'[19:54:58.784]',1.047,0.522,77.306,-,-
'[19:54:58.792]',0.748,0.522,77.306,-,-
'[19:54:58.800]',0.205,0.518,77.306,-,-
'[19:54:58.808]',-0.173,0.518,77.306,-,-
'[19:54:58.816]',-0.244,0.514,76.477,-,-
'[19:54:58.824]',-0.110,0.510,76.477,-,-
'[19:54:58.832]',0.055,0.506,76.477,-,-
'[19:54:58.840]',0.165,0.502,75.855,-,-
'[19:54:58.848]',0.244,0.498,75.855,-,-
'[19:54:58.856]',0.291,0.494,75.855,-,-
'[19:54:58.864]',0.315,0.494,75.026,-,-
'[19:54:58.872]',0.331,0.490,75.026,-,-
'[19:54:58.880]',0.346,0.486,75.026,-,-
'[19:54:58.888]',0.362,0.482,74.197,-,-
'[19:54:58.896]',0.362,0.478,74.197,-,-
'[19:54:58.904]',0.370,0.478,73.368,-,-
'[19:54:58.912]',0.370,0.475,73.368,-,-
'[19:54:58.920]',0.370,0.471,73.368,-,-
'[19:54:58.928]',0.386,0.467,72.746,-,-
'[19:54:58.936]',0.370,0.463,72.746,-,-
'[19:54:58.944]',0.346,0.459,71.917,-,-
'[19:54:58.952]',0.346,0.455,71.917,-,-
'[19:54:58.960]',0.346,0.455,71.088,-,-
'[19:54:58.968]',0.362,0.455,70.259,-,-
'[19:54:58.976]',0.362,0.451,69.430,-,-
'[19:54:58.984]',0.362,0.451,68.808,-,-
'[19:54:58.992]',0.370,0.451,67.979,-,-
'[19:54:59.000]',0.378,0.447,67.979,-,-
'[19:54:59.008]',0.402,0.447,67.979,-,-
'[19:54:59.016]',0.425,0.447,68.808,-,-
'[19:54:59.024]',0.425,0.443,70.259,-,-
'[19:54:59.032]',0.417,0.443,73.368,-,-
'[19:54:59.040]',0.402,0.439,78.964,-,-
'[19:54:59.048]',0.402,0.439,86.632,-,-
'[19:54:59.056]',0.402,0.435,95.337,-,-
'[19:54:59.064]',0.386,0.435,103.834,-,-
'[19:54:59.072]',0.378,0.435,111.710,-,-
'[19:54:59.080]',0.402,0.435,117.098,-,-
'[19:54:59.088]',0.417,0.435,120.415,-,-
'[19:54:59.096]',0.417,0.435,121.036,-,-
'[19:54:59.104]',0.402,0.435,121.036,-,-
'[19:54:59.112]',0.402,0.431,121.036,-,-
'[19:54:59.120]',0.417,0.431,122.694,-,-
'[19:54:59.128]',0.417,0.431,124.145,-,-
'[19:54:59.136]',0.417,0.427,128.083,-,-
'[19:54:59.144]',0.402,0.427,132.021,-,-
'[19:54:59.152]',0.386,0.424,136.788,-,-
'[19:54:59.160]',0.386,0.424,139.896,-,-
'[19:54:59.168]',0.402,0.424,142.176,-,-
'[19:54:59.176]',0.417,0.420,143.005,-,-
'[19:54:59.184]',0.433,0.420,143.005,-,-
'[19:54:59.192]',0.441,0.420,143.005,-,-
'[19:54:59.200]',0.433,0.416,142.176,-,-
'[19:54:59.208]',0.402,0.412,142.176,-,-
'[19:54:59.216]',0.394,0.412,142.176,-,-
'[19:54:59.224]',0.386,0.408,142.176,-,-
'[19:54:59.232]',0.386,0.404,143.005,-,-
'[19:54:59.240]',0.394,0.400,143.005,-,-
'[19:54:59.248]',0.409,0.400,143.005,-,-
'[19:54:59.256]',0.417,0.400,143.005,-,-
'[19:54:59.264]',0.386,0.396,142.176,-,-
'[19:54:59.272]',0.354,0.396,141.347,-,-
'[19:54:59.280]',0.346,0.400,140.725,-,-
'[19:54:59.288]',0.346,0.400,139.896,-,-
'[19:54:59.296]',0.346,0.400,139.067,-,-
'[19:54:59.304]',0.362,0.400,137.409,-,-
'[19:54:59.312]',0.386,0.400,136.788,-,-
'[19:54:59.320]',0.409,0.404,135.959,-,-
'[19:54:59.328]',0.409,0.404,134.301,-,-
'[19:54:59.336]',0.386,0.408,133.679,-,-
'[19:54:59.344]',0.362,0.412,131.192,-,-
'[19:54:59.352]',0.339,0.416,128.912,-,-
'[19:54:59.360]',0.315,0.424,126.632,-,-
'[19:54:59.368]',0.315,0.431,123.523,-,-
'[19:54:59.376]',0.315,0.439,120.415,-,-
'[19:54:59.384]',0.331,0.447,116.477,-,-
'[19:54:59.392]',0.346,0.451,112.539,-,-
'[19:54:59.400]',0.362,0.459,107.772,-,-
'[19:54:59.408]',0.378,0.467,104.663,-,-
'[19:54:59.416]',0.386,0.478,101.554,-,-
'[19:54:59.424]',0.346,0.486,100.725,-,-
'[19:54:59.432]',0.315,0.498,100.104,-,-
'[19:54:59.440]',0.315,0.506,100.104,-,-
'[19:54:59.448]',0.307,0.518,100.104,-,-
'[19:54:59.456]',0.299,0.525,100.104,-,-
'[19:54:59.464]',0.307,0.533,99.275,-,-
'[19:54:59.472]',0.331,0.541,98.446,-,-
'[19:54:59.480]',0.331,0.545,97.617,-,-
'[19:54:59.488]',0.307,0.553,96.166,-,-
'[19:54:59.496]',0.315,0.557,95.337,-,-
'[19:54:59.504]',0.323,0.561,94.508,-,-
'[19:54:59.512]',0.331,0.569,94.508,-,-
'[19:54:59.520]',0.331,0.576,93.679,-,-
'[19:54:59.528]',0.331,0.584,93.679,-,-
'[19:54:59.536]',0.339,0.588,93.679,-,-
'[19:54:59.544]',0.362,0.592,93.057,-,-
'[19:54:59.552]',0.386,0.596,92.228,-,-
'[19:54:59.560]',0.386,0.600,90.570,-,-
'[19:54:59.568]',0.386,0.604,89.119,-,-
'[19:54:59.576]',0.394,0.604,88.290,-,-
'[19:54:59.584]',0.378,0.608,87.461,-,-
'[19:54:59.592]',0.370,0.612,86.632,-,-
'[19:54:59.600]',0.370,0.620,86.632,-,-
'[19:54:59.608]',0.362,0.624,86.010,-,-
'[19:54:59.616]',0.346,0.624,85.181,-,-
'[19:54:59.624]',0.331,0.624,84.352,-,-
'[19:54:59.632]',0.315,0.624,83.523,-,-
'[19:54:59.640]',0.307,0.624,82.902,-,-
'[19:54:59.648]',0.307,0.624,82.902,-,-
'[19:54:59.656]',0.307,0.620,82.073,-,-
'[19:54:59.664]',0.315,0.616,82.073,-,-
'[19:54:59.672]',0.331,0.612,81.244,-,-
'[19:54:59.680]',0.339,0.608,80.415,-,-
'[19:54:59.688]',0.346,0.604,79.585,-,-
'[19:54:59.696]',0.370,0.600,78.964,-,-
'[19:54:59.704]',0.465,0.596,78.964,-,-
'[19:54:59.712]',0.669,0.592,78.135,-,-
'[19:54:59.720]',0.913,0.588,78.135,-,-
'[19:54:59.728]',0.984,0.584,78.135,-,-
'[19:54:59.736]',0.701,0.580,78.135,-,-
'[19:54:59.744]',0.268,0.576,77.306,-,-
'[19:54:59.752]',-0.063,0.573,77.306,-,-
'[19:54:59.760]',-0.142,0.569,77.306,-,-
'[19:54:59.768]',-0.055,0.565,77.306,-,-
'[19:54:59.776]',0.102,0.557,76.477,-,-
'[19:54:59.784]',0.220,0.553,76.477,-,-
'[19:54:59.792]',0.276,0.549,75.855,-,-
'[19:54:59.800]',0.315,0.545,75.855,-,-
'[19:54:59.808]',0.346,0.541,75.855,-,-
'[19:54:59.816]',0.378,0.537,75.026,-,-
'[19:54:59.824]',0.386,0.533,75.026,-,-
'[19:54:59.832]',0.362,0.529,74.197,-,-
'[19:54:59.840]',0.323,0.525,74.197,-,-
'[19:54:59.848]',0.315,0.518,74.197,-,-
'[19:54:59.856]',0.346,0.514,73.368,-,-
'[19:54:59.864]',0.362,0.510,73.368,-,-
'[19:54:59.872]',0.362,0.502,73.368,-,-
'[19:54:59.880]',0.339,0.502,72.746,-,-
'[19:54:59.888]',0.331,0.498,71.917,-,-
'[19:54:59.896]',0.331,0.498,71.088,-,-
'[19:54:59.904]',0.339,0.494,71.088,-,-
'[19:54:59.912]',0.339,0.494,70.259,-,-
'[19:54:59.920]',0.339,0.490,69.430,-,-
'[19:54:59.928]',0.354,0.486,68.808,-,-
'[19:54:59.936]',0.370,0.486,67.979,-,-
'[19:54:59.944]',0.362,0.482,67.979,-,-
'[19:54:59.952]',0.331,0.478,67.979,-,-
'[19:54:59.960]',0.315,0.475,67.979,-,-
'[19:54:59.968]',0.315,0.471,68.808,-,-
'[19:54:59.976]',0.323,0.467,71.088,-,-
'[19:54:59.984]',0.315,0.463,75.026,-,-
'[19:54:59.992]',0.315,0.459,81.244,-,-
'[19:55:00.000]',0.323,0.455,88.290,-,-
'[19:55:00.008]',0.331,0.451,96.788,-,-
'[19:55:00.016]',0.339,0.447,104.663,-,-
'[19:55:00.024]',0.346,0.443,111.710,-,-
'[19:55:00.032]',0.346,0.443,115.648,-,-
'[19:55:00.040]',0.339,0.439,117.927,-,-
'[19:55:00.048]',0.339,0.435,117.927,-,-
'[19:55:00.056]',0.346,0.435,117.927,-,-
'[19:55:00.064]',0.346,0.431,118.756,-,-
'[19:55:00.072]',0.354,0.431,120.415,-,-
'[19:55:00.080]',0.362,0.427,123.523,-,-
'[19:55:00.088]',0.339,0.427,126.632,-,-
'[19:55:00.096]',0.307,0.427,130.570,-,-
'[19:55:00.104]',0.291,0.424,133.679,-,-
'[19:55:00.112]',0.315,0.424,135.130,-,-
'[19:55:00.120]',0.354,0.420,136.788,-,-
'[19:55:00.128]',0.386,0.420,136.788,-,-
'[19:55:00.136]',0.386,0.416,135.959,-,-
'[19:55:00.144]',0.378,0.416,135.130,-,-
'[19:55:00.152]',0.370,0.412,135.130,-,-
'[19:55:00.160]',0.370,0.408,134.301,-,-
'[19:55:00.168]',0.370,0.408,134.301,-,-
'[19:55:00.176]',0.378,0.408,134.301,-,-
'[19:55:00.184]',0.386,0.404,134.301,-,-
'[19:55:00.192]',0.394,0.404,133.679,-,-
'[19:55:00.200]',0.402,0.400,133.679,-,-
'[19:55:00.208]',0.386,0.400,132.021,-,-
'[19:55:00.216]',0.386,0.396,131.192,-,-
'[19:55:00.224]',0.378,0.396,129.741,-,-
'[19:55:00.232]',0.354,0.392,128.083,-,-
'[19:55:00.240]',0.346,0.392,127.254,-,-
'[19:55:00.248]',0.386,0.388,125.803,-,-
'[19:55:00.256]',0.402,0.388,124.145,-,-
'[19:55:00.264]',0.402,0.388,121.865,-,-
'[19:55:00.272]',0.417,0.392,120.415,-,-
'[19:55:00.280]',0.433,0.392,117.927,-,-
'[19:55:00.288]',0.441,0.396,115.648,-,-
'[19:55:00.296]',0.457,0.400,112.539,-,-
'[19:55:00.304]',0.433,0.408,108.601,-,-
'[19:55:00.312]',0.409,0.412,104.663,-,-
'[19:55:00.320]',0.378,0.420,100.725,-,-
'[19:55:00.328]',0.378,0.427,98.446,-,-
'[19:55:00.336]',0.386,0.435,96.166,-,-
'[19:55:00.344]',0.394,0.443,95.337,-,-
'[19:55:00.352]',0.409,0.451,95.337,-,-
'[19:55:00.360]',0.417,0.463,96.166,-,-
'[19:55:00.368]',0.402,0.471,96.788,-,-
'[19:55:00.376]',0.394,0.478,96.788,-,-
'[19:55:00.384]',0.394,0.490,96.788,-,-
'[19:55:00.392]',0.394,0.498,95.337,-,-
'[19:55:00.400]',0.370,0.506,94.508,-,-
'[19:55:00.408]',0.346,0.518,93.057,-,-
'[19:55:00.416]',0.354,0.525,91.399,-,-
'[19:55:00.424]',0.378,0.533,90.570,-,-
'[19:55:00.432]',0.394,0.541,89.741,-,-
'[19:55:00.440]',0.394,0.549,89.119,-,-
'[19:55:00.448]',0.386,0.557,88.290,-,-
'[19:55:00.456]',0.378,0.565,88.290,-,-
'[19:55:00.464]',0.354,0.569,88.290,-,-
'[19:55:00.472]',0.339,0.573,87.461,-,-
'[19:55:00.480]',0.362,0.576,86.632,-,-
'[19:55:00.488]',0.386,0.580,86.010,-,-
'[19:55:00.496]',0.402,0.580,86.010,-,-
'[19:55:00.504]',0.425,0.580,85.181,-,-
'[19:55:00.512]',0.433,0.580,84.352,-,-
'[19:55:00.520]',0.409,0.580,83.523,-,-
'[19:55:00.528]',0.409,0.580,82.902,-,-
'[19:55:00.536]',0.417,0.580,82.902,-,-
'[19:55:00.544]',0.433,0.580,82.073,-,-
'[19:55:00.552]',0.433,0.580,81.244,-,-
'[19:55:00.560]',0.394,0.580,81.244,-,-
'[19:55:00.568]',0.362,0.576,80.415,-,-
'[19:55:00.576]',0.362,0.573,80.415,-,-
'[19:55:00.584]',0.362,0.569,79.585,-,-
'[19:55:00.592]',0.362,0.565,79.585,-,-
'[19:55:00.600]',0.346,0.561,78.964,-,-
'[19:55:00.608]',0.331,0.561,78.964,-,-
'[19:55:00.616]',0.331,0.557,78.135,-,-
'[19:55:00.624]',0.331,0.553,78.135,-,-
'[19:55:00.632]',0.331,0.549,77.306,-,-
'[19:55:00.640]',0.339,0.545,77.306,-,-
'[19:55:00.648]',0.331,0.541,76.477,-,-
'[19:55:00.656]',0.323,0.537,76.477,-,-
'[19:55:00.664]',0.339,0.533,76.477,-,-
'[19:55:00.672]',0.402,0.529,75.855,-,-
'[19:55:00.680]',0.543,0.525,75.855,-,-
'[19:55:00.688]',0.756,0.522,75.855,-,-
'[19:55:00.696]',0.945,0.518,75.026,-,-
'[19:55:00.704]',0.858,0.514,75.026,-,-
'[19:55:00.712]',0.472,0.510,74.197,-,-
'[19:55:00.720]',0.063,0.506,74.197,-,-
'[19:55:00.728]',-0.165,0.502,73.368,-,-
'[19:55:00.736]',-0.189,0.502,73.368,-,-
'[19:55:00.744]',-0.047,0.498,72.746,-,-
'[19:55:00.752]',0.094,0.494,72.746,-,-
'[19:55:00.760]',0.213,0.490,72.746,-,-
'[19:55:00.768]',0.276,0.490,72.746,-,-
'[19:55:00.776]',0.291,0.486,72.746,-,-
'[19:55:00.784]',0.299,0.482,72.746,-,-
'[19:55:00.792]',0.291,0.478,72.746,-,-
'[19:55:00.800]',0.260,0.475,72.746,-,-
'[19:55:00.808]',0.220,0.475,72.746,-,-
'[19:55:00.816]',0.244,0.471,71.917,-,-
'[19:55:00.824]',0.315,0.467,71.917,-,-
'[19:55:00.832]',0.362,0.463,71.917,-,-
'[19:55:00.840]',0.386,0.459,71.088,-,-
'[19:55:00.848]',0.402,0.455,71.088,-,-
'[19:55:00.856]',0.402,0.451,70.259,-,-
'[19:55:00.864]',0.354,0.447,70.259,-,-
'[19:55:00.872]',0.323,0.447,69.430,-,-
'[19:55:00.880]',0.315,0.443,68.808,-,-
'[19:55:00.888]',0.315,0.443,67.979,-,-
'[19:55:00.896]',0.339,0.439,67.150,-,-
'[19:55:00.904]',0.362,0.439,67.150,-,-
'[19:55:00.912]',0.402,0.435,67.150,-,-
'[19:55:00.920]',0.433,0.431,67.150,-,-
'[19:55:00.928]',0.417,0.431,67.150,-,-
'[19:55:00.936]',0.386,0.427,68.808,-,-
'[19:55:00.944]',0.362,0.424,70.259,-,-
'[19:55:00.952]',0.331,0.420,74.197,-,-
'[19:55:00.960]',0.315,0.416,80.415,-,-
'[19:55:00.968]',0.331,0.412,87.461,-,-
'[19:55:00.976]',0.346,0.412,96.166,-,-
'[19:55:00.984]',0.362,0.412,104.663,-,-
'[19:55:00.992]',0.346,0.408,111.710,-,-
'[19:55:01.000]',0.346,0.408,116.477,-,-
'[19:55:01.008]',0.362,0.404,118.756,-,-
'[19:55:01.016]',0.362,0.404,119.585,-,-
'[19:55:01.024]',0.346,0.400,119.585,-,-
'[19:55:01.032]',0.331,0.400,120.415,-,-
'[19:55:01.040]',0.331,0.396,121.865,-,-
'[19:55:01.048]',0.323,0.396,124.145,-,-
'[19:55:01.056]',0.291,0.392,127.254,-,-
'[19:55:01.064]',0.260,0.392,131.192,-,-
'[19:55:01.072]',0.244,0.388,135.130,-,-
'[19:55:01.080]',0.252,0.388,137.409,-,-
'[19:55:01.088]',0.276,0.388,139.067,-,-
'[19:55:01.096]',0.315,0.384,139.896,-,-
'[19:55:01.104]',0.362,0.384,139.896,-,-
'[19:55:01.112]',0.378,0.384,139.067,-,-
'[19:55:01.120]',0.386,0.380,138.238,-,-
