"'Time','ABP','PLETH','II'"
"'[17:24:32.320]',0.000,0.502,0.516"
"'[17:24:32.328]',0.000,0.502,0.523"
"'[17:24:32.336]',0.000,0.502,0.531"
"'[17:24:32.344]',0.000,0.502,0.531"
"'[17:24:32.352]',0.000,0.502,0.500"
"'[17:24:32.360]',0.000,0.502,0.469"
"'[17:24:32.368]',0.000,0.502,0.445"
"'[17:24:32.376]',0.000,0.502,0.461"
"'[17:24:32.384]',0.000,0.502,0.461"
"'[17:24:32.392]',0.000,0.502,0.484"
"'[17:24:32.400]',0.000,0.502,0.531"
"'[17:24:32.408]',0.000,0.502,0.547"
"'[17:24:32.416]',0.000,0.502,0.477"
"'[17:24:32.424]',0.000,0.502,0.430"
"'[17:24:32.432]',0.000,0.502,0.422"
"'[17:24:32.440]',0.000,0.502,0.422"
"'[17:24:32.448]',0.000,0.502,0.445"
"'[17:24:32.456]',0.000,0.502,0.477"
"'[17:24:32.464]',0.000,0.502,0.484"
"'[17:24:32.472]',0.000,0.502,0.453"
"'[17:24:32.480]',0.000,0.502,0.430"
"'[17:24:32.488]',0.000,0.502,0.406"
"'[17:24:32.496]',0.000,0.502,0.375"
"'[17:24:32.504]',0.000,0.502,0.352"
"'[17:24:32.512]',0.000,0.502,0.383"
"'[17:24:32.520]',0.000,0.502,0.461"
"'[17:24:32.528]',0.000,0.502,0.562"
"'[17:24:32.536]',0.000,0.502,0.617"
"'[17:24:32.544]',0.000,0.502,0.555"
"'[17:24:32.552]',0.000,0.502,0.422"
"'[17:24:32.560]',0.000,0.502,0.367"
"'[17:24:32.568]',0.000,0.502,0.391"
"'[17:24:32.576]',0.000,0.502,0.391"
"'[17:24:32.584]',0.000,0.502,0.320"
"'[17:24:32.592]',0.000,0.502,0.242"
"'[17:24:32.600]',0.000,0.502,0.188"
"'[17:24:32.608]',0.000,0.502,0.211"
"'[17:24:32.616]',0.000,0.502,0.266"
"'[17:24:32.624]',0.000,0.502,0.289"
"'[17:24:32.632]',0.000,0.502,0.297"
"'[17:24:32.640]',0.000,0.502,0.320"
"'[17:24:32.648]',0.000,0.502,0.352"
"'[17:24:32.656]',0.000,0.502,0.367"
"'[17:24:32.664]',0.000,0.502,0.359"
"'[17:24:32.672]',0.000,0.502,0.367"
"'[17:24:32.680]',0.000,0.502,0.391"
"'[17:24:32.688]',0.000,0.502,0.398"
"'[17:24:32.696]',0.000,0.502,0.422"
"'[17:24:32.704]',0.000,0.502,0.469"
"'[17:24:32.712]',0.000,0.502,0.477"
"'[17:24:32.720]',0.000,0.502,0.406"
"'[17:24:32.728]',0.000,0.502,0.391"
"'[17:24:32.736]',0.000,0.502,0.406"
"'[17:24:32.744]',0.000,0.502,0.453"
"'[17:24:32.752]',0.000,0.502,0.477"
"'[17:24:32.760]',0.000,0.502,0.461"
"'[17:24:32.768]',0.000,0.502,0.438"
"'[17:24:32.776]',0.000,0.502,0.461"
"'[17:24:32.784]',0.000,0.502,0.508"
"'[17:24:32.792]',0.000,0.502,0.531"
"'[17:24:32.800]',0.000,0.502,0.570"
"'[17:24:32.808]',0.000,0.502,0.617"
"'[17:24:32.816]',0.000,0.502,0.586"
"'[17:24:32.824]',0.000,0.502,0.484"
"'[17:24:32.832]',0.000,0.502,0.438"
"'[17:24:32.840]',0.000,0.502,0.500"
"'[17:24:32.848]',0.000,0.502,0.625"
"'[17:24:32.856]',0.000,0.502,0.672"
"'[17:24:32.864]',0.000,0.502,0.586"
"'[17:24:32.872]',0.000,0.502,0.477"
"'[17:24:32.880]',0.000,0.502,0.461"
"'[17:24:32.888]',0.000,0.502,0.586"
"'[17:24:32.896]',0.000,0.502,0.648"
"'[17:24:32.904]',0.000,0.502,0.664"
"'[17:24:32.912]',0.000,0.502,0.641"
"'[17:24:32.920]',0.000,0.502,0.625"
"'[17:24:32.928]',0.000,0.502,0.625"
"'[17:24:32.936]',0.000,0.502,0.641"
"'[17:24:32.944]',0.000,0.502,0.656"
"'[17:24:32.952]',0.000,0.502,0.664"
"'[17:24:32.960]',0.000,0.502,0.672"
"'[17:24:32.968]',0.000,0.502,0.688"
"'[17:24:32.976]',0.000,0.502,0.727"
"'[17:24:32.984]',0.000,0.502,0.734"
"'[17:24:32.992]',0.000,0.502,0.648"
"'[17:24:33.000]',0.000,0.502,0.570"
"'[17:24:33.008]',0.000,0.502,0.555"
"'[17:24:33.016]',0.000,0.502,0.555"
"'[17:24:33.024]',0.000,0.502,0.500"
"'[17:24:33.032]',0.000,0.502,0.453"
"'[17:24:33.040]',0.000,0.502,0.477"
"'[17:24:33.048]',0.000,0.502,0.500"
"'[17:24:33.056]',0.000,0.502,0.492"
"'[17:24:33.064]',0.000,0.502,0.469"
"'[17:24:33.072]',0.000,0.502,0.461"
"'[17:24:33.080]',0.000,0.502,0.492"
"'[17:24:33.088]',0.000,0.502,0.523"
"'[17:24:33.096]',0.000,0.502,0.547"
"'[17:24:33.104]',0.000,0.502,0.547"
"'[17:24:33.112]',0.000,0.502,0.594"
"'[17:24:33.120]',0.000,0.502,0.602"
"'[17:24:33.128]',0.000,0.502,0.570"
"'[17:24:33.136]',0.000,0.502,0.562"
"'[17:24:33.144]',0.000,0.502,0.672"
"'[17:24:33.152]',0.000,0.502,0.820"
"'[17:24:33.160]',0.000,0.502,0.859"
"'[17:24:33.168]',0.000,0.502,0.633"
"'[17:24:33.176]',0.000,0.502,0.469"
"'[17:24:33.184]',0.000,0.502,0.445"
"'[17:24:33.192]',0.000,0.502,0.516"
"'[17:24:33.200]',0.000,0.502,0.523"
"'[17:24:33.208]',0.000,0.502,0.414"
"'[17:24:33.216]',0.000,0.502,0.312"
"'[17:24:33.224]',0.000,0.502,0.273"
"'[17:24:33.232]',0.000,0.502,0.320"
"'[17:24:33.240]',0.000,0.502,0.391"
"'[17:24:33.248]',0.000,0.502,0.422"
"'[17:24:33.256]',0.000,0.502,0.430"
"'[17:24:33.264]',0.000,0.502,0.430"
"'[17:24:33.272]',0.000,0.502,0.453"
"'[17:24:33.280]',0.000,0.502,0.477"
"'[17:24:33.288]',0.000,0.502,0.500"
"'[17:24:33.296]',0.000,0.502,0.500"
"'[17:24:33.304]',0.000,0.502,0.516"
"'[17:24:33.312]',0.000,0.502,0.547"
"'[17:24:33.320]',0.000,0.502,0.562"
"'[17:24:33.328]',0.000,0.502,0.570"
"'[17:24:33.336]',0.000,0.502,0.508"
"'[17:24:33.344]',0.000,0.502,0.461"
"'[17:24:33.352]',0.000,0.502,0.461"
"'[17:24:33.360]',0.000,0.502,0.445"
"'[17:24:33.368]',0.000,0.502,0.438"
"'[17:24:33.376]',0.000,0.502,0.438"
"'[17:24:33.384]',0.000,0.502,0.438"
"'[17:24:33.392]',0.000,0.502,0.461"
"'[17:24:33.400]',0.000,0.502,0.492"
"'[17:24:33.408]',0.000,0.502,0.500"
"'[17:24:33.416]',0.000,0.502,0.492"
"'[17:24:33.424]',0.000,0.502,0.469"
"'[17:24:33.432]',0.000,0.502,0.445"
"'[17:24:33.440]',0.000,0.502,0.438"
"'[17:24:33.448]',0.000,0.502,0.422"
"'[17:24:33.456]',0.000,0.502,0.453"
"'[17:24:33.464]',0.000,0.502,0.508"
"'[17:24:33.472]',0.000,0.502,0.516"
"'[17:24:33.480]',0.000,0.502,0.445"
"'[17:24:33.488]',0.000,0.502,0.391"
"'[17:24:33.496]',0.000,0.502,0.352"
"'[17:24:33.504]',0.000,0.502,0.344"
"'[17:24:33.512]',0.000,0.502,0.367"
"'[17:24:33.520]',0.000,0.502,0.383"
"'[17:24:33.528]',0.000,0.502,0.391"
"'[17:24:33.536]',0.000,0.502,0.391"
"'[17:24:33.544]',0.000,0.502,0.406"
"'[17:24:33.552]',0.000,0.502,0.422"
"'[17:24:33.560]',0.000,0.502,0.422"
"'[17:24:33.568]',0.000,0.502,0.414"
"'[17:24:33.576]',0.000,0.502,0.398"
"'[17:24:33.584]',0.000,0.502,0.375"
"'[17:24:33.592]',0.000,0.502,0.367"
"'[17:24:33.600]',0.000,0.502,0.398"
"'[17:24:33.608]',0.000,0.502,0.430"
"'[17:24:33.616]',0.000,0.502,0.438"
"'[17:24:33.624]',0.000,0.502,0.414"
"'[17:24:33.632]',0.000,0.502,0.414"
"'[17:24:33.640]',0.000,0.502,0.422"
"'[17:24:33.648]',0.000,0.502,0.406"
"'[17:24:33.656]',0.000,0.502,0.391"
"'[17:24:33.664]',0.000,0.502,0.375"
"'[17:24:33.672]',0.000,0.502,0.375"
"'[17:24:33.680]',0.000,0.502,0.375"
"'[17:24:33.688]',0.000,0.502,0.367"
"'[17:24:33.696]',0.000,0.502,0.359"
"'[17:24:33.704]',0.000,0.502,0.359"
"'[17:24:33.712]',0.000,0.502,0.367"
"'[17:24:33.720]',0.000,0.502,0.375"
"'[17:24:33.728]',0.000,0.502,0.391"
"'[17:24:33.736]',0.000,0.502,0.406"
"'[17:24:33.744]',0.000,0.502,0.422"
"'[17:24:33.752]',0.000,0.502,0.469"
"'[17:24:33.760]',0.000,0.502,0.547"
"'[17:24:33.768]',0.000,0.502,0.672"
"'[17:24:33.776]',0.000,0.502,0.742"
"'[17:24:33.784]',0.000,0.502,0.641"
"'[17:24:33.792]',0.000,0.502,0.461"
"'[17:24:33.800]',0.000,0.502,0.375"
"'[17:24:33.808]',0.000,0.502,0.406"
"'[17:24:33.816]',0.000,0.502,0.430"
"'[17:24:33.824]',0.000,0.502,0.391"
"'[17:24:33.832]',0.000,0.502,0.297"
"'[17:24:33.840]',0.000,0.502,0.227"
"'[17:24:33.848]',0.000,0.502,0.211"
"'[17:24:33.856]',0.000,0.502,0.250"
"'[17:24:33.864]',0.000,0.502,0.289"
"'[17:24:33.872]',0.000,0.502,0.305"
"'[17:24:33.880]',0.000,0.502,0.312"
"'[17:24:33.888]',0.000,0.502,0.312"
"'[17:24:33.896]',0.000,0.502,0.312"
"'[17:24:33.904]',0.000,0.502,0.305"
"'[17:24:33.912]',0.000,0.502,0.297"
"'[17:24:33.920]',0.000,0.502,0.281"
"'[17:24:33.928]',0.000,0.502,0.258"
"'[17:24:33.936]',0.000,0.502,0.250"
"'[17:24:33.944]',0.000,0.502,0.250"
"'[17:24:33.952]',0.000,0.502,0.242"
"'[17:24:33.960]',0.000,0.502,0.227"
"'[17:24:33.968]',0.000,0.502,0.219"
"'[17:24:33.976]',0.000,0.502,0.219"
"'[17:24:33.984]',0.000,0.502,0.211"
"'[17:24:33.992]',0.000,0.502,0.211"
"'[17:24:34.000]',0.000,0.502,0.211"
"'[17:24:34.008]',0.000,0.502,0.211"
"'[17:24:34.016]',0.000,0.502,0.180"
"'[17:24:34.024]',0.000,0.502,0.141"
"'[17:24:34.032]',0.000,0.502,0.125"
"'[17:24:34.040]',0.000,0.502,0.125"
"'[17:24:34.048]',0.000,0.502,0.125"
"'[17:24:34.056]',0.000,0.502,0.125"
"'[17:24:34.064]',0.000,0.502,0.133"
"'[17:24:34.072]',0.000,0.502,0.141"
"'[17:24:34.080]',0.000,0.502,0.133"
"'[17:24:34.088]',0.000,0.502,0.125"
"'[17:24:34.096]',0.000,0.502,0.133"
"'[17:24:34.104]',0.000,0.502,0.141"
"'[17:24:34.112]',0.000,0.502,0.141"
"'[17:24:34.120]',0.000,0.502,0.141"
"'[17:24:34.128]',0.000,0.502,0.125"
"'[17:24:34.136]',0.000,0.502,0.117"
"'[17:24:34.144]',0.000,0.502,0.102"
"'[17:24:34.152]',0.000,0.502,0.102"
"'[17:24:34.160]',0.000,0.502,0.109"
"'[17:24:34.168]',0.000,0.502,0.117"
"'[17:24:34.176]',0.000,0.502,0.117"
"'[17:24:34.184]',0.000,0.502,0.133"
"'[17:24:34.192]',0.000,0.502,0.141"
"'[17:24:34.200]',0.000,0.502,0.148"
"'[17:24:34.208]',0.000,0.502,0.156"
"'[17:24:34.216]',0.000,0.502,0.156"
"'[17:24:34.224]',0.000,0.502,0.141"
"'[17:24:34.232]',0.000,0.502,0.133"
"'[17:24:34.240]',0.000,0.502,0.125"
"'[17:24:34.248]',0.000,0.502,0.125"
"'[17:24:34.256]',0.000,0.502,0.133"
"'[17:24:34.264]',0.000,0.502,0.125"
"'[17:24:34.272]',0.000,0.502,0.117"
"'[17:24:34.280]',0.000,0.502,0.102"
"'[17:24:34.288]',0.000,0.502,0.086"
"'[17:24:34.296]',0.000,0.502,0.086"
"'[17:24:34.304]',0.000,0.502,0.055"
"'[17:24:34.312]',0.000,0.502,-0.039"
"'[17:24:34.320]',0.000,0.502,-0.164"
"'[17:24:34.328]',0.000,0.502,-0.219"
"'[17:24:34.336]',0.000,0.502,-0.242"
"'[17:24:34.344]',0.000,0.502,-0.234"
"'[17:24:34.352]',0.000,0.502,-0.234"
"'[17:24:34.360]',0.000,0.502,-0.219"
"'[17:24:34.368]',0.000,0.502,-0.195"
"'[17:24:34.376]',0.000,0.502,-0.148"
"'[17:24:34.384]',0.000,0.502,-0.055"
"'[17:24:34.392]',0.000,0.502,0.078"
"'[17:24:34.400]',0.000,0.502,0.117"
"'[17:24:34.408]',0.000,0.502,0.016"
"'[17:24:34.416]',0.000,0.502,-0.094"
"'[17:24:34.424]',0.000,0.502,-0.102"
"'[17:24:34.432]',0.000,0.502,-0.031"
"'[17:24:34.440]',0.000,0.502,-0.016"
"'[17:24:34.448]',0.000,0.502,-0.094"
"'[17:24:34.456]',0.000,0.502,-0.172"
"'[17:24:34.464]',0.000,0.502,-0.188"
"'[17:24:34.472]',0.000,0.502,-0.148"
"'[17:24:34.480]',0.000,0.502,-0.070"
"'[17:24:34.488]',0.000,0.502,0.008"
"'[17:24:34.496]',0.000,0.502,0.039"
"'[17:24:34.504]',0.000,0.502,0.031"
"'[17:24:34.512]',0.000,0.502,0.031"
"'[17:24:34.520]',0.000,0.502,0.047"
"'[17:24:34.528]',0.000,0.502,0.070"
"'[17:24:34.536]',0.000,0.502,0.086"
"'[17:24:34.544]',0.000,0.502,0.117"
"'[17:24:34.552]',0.000,0.502,0.141"
"'[17:24:34.560]',0.000,0.502,0.156"
"'[17:24:34.568]',0.000,0.502,0.148"
"'[17:24:34.576]',0.000,0.502,0.156"
"'[17:24:34.584]',0.000,0.502,0.164"
"'[17:24:34.592]',0.000,0.502,0.172"
"'[17:24:34.600]',0.000,0.502,0.172"
"'[17:24:34.608]',0.000,0.502,0.164"
"'[17:24:34.616]',0.000,0.502,0.164"
"'[17:24:34.624]',0.000,0.502,0.172"
"'[17:24:34.632]',0.000,0.502,0.188"
"'[17:24:34.640]',0.000,0.502,0.195"
"'[17:24:34.648]',0.000,0.502,0.219"
"'[17:24:34.656]',0.000,0.502,0.242"
"'[17:24:34.664]',0.000,0.502,0.258"
"'[17:24:34.672]',0.000,0.502,0.266"
"'[17:24:34.680]',0.000,0.502,0.266"
"'[17:24:34.688]',0.000,0.502,0.266"
"'[17:24:34.696]',0.000,0.502,0.281"
"'[17:24:34.704]',0.000,0.502,0.297"
"'[17:24:34.712]',0.000,0.502,0.312"
"'[17:24:34.720]',0.000,0.502,0.336"
"'[17:24:34.728]',0.000,0.502,0.367"
"'[17:24:34.736]',0.000,0.502,0.383"
"'[17:24:34.744]',0.000,0.502,0.391"
"'[17:24:34.752]',0.000,0.502,0.367"
"'[17:24:34.760]',0.000,0.502,0.352"
"'[17:24:34.768]',0.000,0.502,0.352"
"'[17:24:34.776]',0.000,0.502,0.367"
"'[17:24:34.784]',0.000,0.502,0.375"
"'[17:24:34.792]',0.000,0.502,0.391"
"'[17:24:34.800]',0.000,0.502,0.398"
"'[17:24:34.808]',0.000,0.502,0.398"
"'[17:24:34.816]',0.000,0.502,0.398"
"'[17:24:34.824]',0.000,0.502,0.406"
"'[17:24:34.832]',0.000,0.502,0.406"
"'[17:24:34.840]',0.000,0.502,0.422"
"'[17:24:34.848]',0.000,0.502,0.438"
"'[17:24:34.856]',0.000,0.502,0.438"
"'[17:24:34.864]',0.000,0.502,0.414"
"'[17:24:34.872]',0.000,0.502,0.391"
"'[17:24:34.880]',0.000,0.502,0.391"
"'[17:24:34.888]',0.000,0.502,0.391"
"'[17:24:34.896]',0.000,0.502,0.375"
"'[17:24:34.904]',0.000,0.502,0.367"
"'[17:24:34.912]',0.000,0.502,0.375"
"'[17:24:34.920]',0.000,0.502,0.383"
"'[17:24:34.928]',0.000,0.502,0.328"
"'[17:24:34.936]',0.000,0.502,0.258"
"'[17:24:34.944]',0.000,0.502,0.188"
"'[17:24:34.952]',0.000,0.502,0.125"
"'[17:24:34.960]',0.000,0.502,0.086"
"'[17:24:34.968]',0.000,0.502,0.062"
"'[17:24:34.976]',0.000,0.502,0.047"
"'[17:24:34.984]',0.000,0.502,0.055"
"'[17:24:34.992]',0.000,0.502,0.102"
"'[17:24:35.000]',0.000,0.502,0.195"
"'[17:24:35.008]',0.000,0.502,0.312"
"'[17:24:35.016]',0.000,0.502,0.352"
"'[17:24:35.024]',0.000,0.502,0.250"
"'[17:24:35.032]',0.000,0.502,0.141"
"'[17:24:35.040]',0.000,0.502,0.125"
"'[17:24:35.048]',0.000,0.502,0.164"
"'[17:24:35.056]',0.000,0.502,0.117"
"'[17:24:35.064]',0.000,0.502,0.016"
"'[17:24:35.072]',0.000,0.502,-0.078"
"'[17:24:35.080]',0.000,0.502,-0.109"
"'[17:24:35.088]',0.000,0.502,-0.078"
"'[17:24:35.096]',0.000,0.502,-0.008"
"'[17:24:35.104]',0.000,0.502,0.039"
"'[17:24:35.112]',0.000,0.502,0.062"
"'[17:24:35.120]',0.000,0.502,0.070"
"'[17:24:35.128]',0.000,0.502,0.070"
"'[17:24:35.136]',0.000,0.502,0.070"
"'[17:24:35.144]',0.000,0.502,0.086"
"'[17:24:35.152]',0.000,0.502,0.086"
"'[17:24:35.160]',0.000,0.502,0.102"
"'[17:24:35.168]',0.000,0.502,0.117"
"'[17:24:35.176]',0.000,0.502,0.133"
"'[17:24:35.184]',0.000,0.502,0.117"
"'[17:24:35.192]',0.000,0.502,0.086"
"'[17:24:35.200]',0.000,0.502,0.062"
"'[17:24:35.208]',0.000,0.502,0.047"
"'[17:24:35.216]',0.000,0.502,0.062"
"'[17:24:35.224]',0.000,0.502,0.086"
"'[17:24:35.232]',0.000,0.502,0.078"
"'[17:24:35.240]',0.000,0.502,0.062"
"'[17:24:35.248]',0.000,0.502,0.055"
"'[17:24:35.256]',0.000,0.502,0.086"
"'[17:24:35.264]',0.000,0.502,0.109"
"'[17:24:35.272]',0.000,0.502,0.125"
"'[17:24:35.280]',0.000,0.502,0.133"
"'[17:24:35.288]',0.000,0.502,0.141"
"'[17:24:35.296]',0.000,0.502,0.141"
"'[17:24:35.304]',0.000,0.502,0.133"
"'[17:24:35.312]',0.000,0.502,0.133"
"'[17:24:35.320]',0.000,0.502,0.141"
"'[17:24:35.328]',0.000,0.502,0.125"
"'[17:24:35.336]',0.000,0.502,0.117"
"'[17:24:35.344]',0.000,0.502,0.133"
"'[17:24:35.352]',0.000,0.502,0.141"
"'[17:24:35.360]',0.000,0.502,0.141"
"'[17:24:35.368]',0.000,0.502,0.148"
"'[17:24:35.376]',0.000,0.502,0.172"
"'[17:24:35.384]',0.000,0.502,0.195"
"'[17:24:35.392]',0.000,0.502,0.211"
"'[17:24:35.400]',0.000,0.502,0.211"
"'[17:24:35.408]',0.000,0.502,0.219"
"'[17:24:35.416]',0.000,0.502,0.242"
"'[17:24:35.424]',0.000,0.502,0.273"
"'[17:24:35.432]',0.000,0.502,0.289"
"'[17:24:35.440]',0.000,0.502,0.297"
"'[17:24:35.448]',0.000,0.502,0.305"
"'[17:24:35.456]',0.000,0.502,0.305"
"'[17:24:35.464]',0.000,0.502,0.312"
"'[17:24:35.472]',0.000,0.502,0.312"
"'[17:24:35.480]',0.000,0.502,0.320"
"'[17:24:35.488]',0.000,0.502,0.312"
"'[17:24:35.496]',0.000,0.502,0.289"
"'[17:24:35.504]',0.000,0.502,0.258"
"'[17:24:35.512]',0.000,0.502,0.242"
"'[17:24:35.520]',0.000,0.502,0.227"
"'[17:24:35.528]',0.000,0.502,0.219"
"'[17:24:35.536]',0.000,0.502,0.227"
"'[17:24:35.544]',0.000,0.502,0.250"
"'[17:24:35.552]',0.000,0.502,0.266"
"'[17:24:35.560]',0.000,0.502,0.250"
"'[17:24:35.568]',0.000,0.502,0.227"
"'[17:24:35.576]',0.000,0.502,0.203"
"'[17:24:35.584]',0.000,0.502,0.211"
"'[17:24:35.592]',0.000,0.502,0.227"
"'[17:24:35.600]',0.000,0.502,0.242"
"'[17:24:35.608]',0.000,0.502,0.281"
"'[17:24:35.616]',0.000,0.502,0.391"
"'[17:24:35.624]',0.000,0.502,0.516"
"'[17:24:35.632]',0.000,0.502,0.539"
"'[17:24:35.640]',0.000,0.502,0.375"
"'[17:24:35.648]',0.000,0.502,0.289"
"'[17:24:35.656]',0.000,0.502,0.328"
"'[17:24:35.664]',0.000,0.502,0.367"
"'[17:24:35.672]',0.000,0.502,0.297"
"'[17:24:35.680]',0.000,0.502,0.195"
"'[17:24:35.688]',0.000,0.502,0.125"
"'[17:24:35.696]',0.000,0.502,0.109"
"'[17:24:35.704]',0.000,0.502,0.141"
"'[17:24:35.712]',0.000,0.502,0.211"
"'[17:24:35.720]',0.000,0.502,0.250"
"'[17:24:35.728]',0.000,0.502,0.281"
"'[17:24:35.736]',0.000,0.502,0.312"
"'[17:24:35.744]',0.000,0.502,0.344"
"'[17:24:35.752]',0.000,0.502,0.359"
"'[17:24:35.760]',0.000,0.502,0.352"
"'[17:24:35.768]',0.000,0.502,0.367"
"'[17:24:35.776]',0.000,0.502,0.391"
"'[17:24:35.784]',0.000,0.502,0.422"
"'[17:24:35.792]',0.000,0.502,0.445"
"'[17:24:35.800]',0.000,0.502,0.469"
"'[17:24:35.808]',0.000,0.502,0.492"
"'[17:24:35.816]',0.000,0.502,0.500"
"'[17:24:35.824]',0.000,0.502,0.492"
"'[17:24:35.832]',0.000,0.502,0.484"
"'[17:24:35.840]',0.000,0.502,0.492"
"'[17:24:35.848]',0.000,0.502,0.500"
"'[17:24:35.856]',0.000,0.502,0.492"
"'[17:24:35.864]',0.000,0.502,0.492"
"'[17:24:35.872]',0.000,0.502,0.492"
"'[17:24:35.880]',0.000,0.502,0.500"
"'[17:24:35.888]',0.000,0.502,0.531"
"'[17:24:35.896]',0.000,0.502,0.562"
"'[17:24:35.904]',0.000,0.502,0.586"
"'[17:24:35.912]',0.000,0.502,0.586"
"'[17:24:35.920]',0.000,0.502,0.578"
"'[17:24:35.928]',0.000,0.502,0.586"
"'[17:24:35.936]',0.000,0.502,0.594"
"'[17:24:35.944]',0.000,0.502,0.586"
"'[17:24:35.952]',0.000,0.502,0.578"
"'[17:24:35.960]',0.000,0.502,0.570"
"'[17:24:35.968]',0.000,0.502,0.562"
"'[17:24:35.976]',0.000,0.502,0.570"
"'[17:24:35.984]',0.000,0.502,0.578"
"'[17:24:35.992]',0.000,0.502,0.562"
"'[17:24:36.000]',0.000,0.502,0.555"
"'[17:24:36.008]',0.000,0.502,0.570"
"'[17:24:36.016]',0.000,0.502,0.594"
"'[17:24:36.024]',0.000,0.502,0.625"
"'[17:24:36.032]',0.000,0.502,0.672"
"'[17:24:36.040]',0.000,0.502,0.711"
"'[17:24:36.048]',0.000,0.502,0.711"
"'[17:24:36.056]',0.000,0.502,0.695"
"'[17:24:36.064]',0.000,0.502,0.711"
"'[17:24:36.072]',0.000,0.502,0.758"
"'[17:24:36.080]',0.000,0.502,0.812"
"'[17:24:36.088]',0.000,0.502,0.844"
"'[17:24:36.096]',0.000,0.502,0.867"
"'[17:24:36.104]',0.000,0.502,0.891"
"'[17:24:36.112]',0.000,0.502,0.906"
"'[17:24:36.120]',0.000,0.502,0.883"
"'[17:24:36.128]',0.000,0.502,0.859"
"'[17:24:36.136]',0.000,0.502,0.883"
"'[17:24:36.144]',0.000,0.502,0.914"
"'[17:24:36.152]',0.000,0.502,0.891"
"'[17:24:36.160]',0.000,0.502,0.836"
"'[17:24:36.168]',0.000,0.502,0.773"
"'[17:24:36.176]',0.000,0.502,0.703"
"'[17:24:36.184]',0.000,0.502,0.648"
"'[17:24:36.192]',0.000,0.502,0.594"
"'[17:24:36.200]',0.000,0.502,0.539"
"'[17:24:36.208]',0.000,0.502,0.500"
"'[17:24:36.216]',0.000,0.502,0.500"
"'[17:24:36.224]',0.000,0.502,0.531"
"'[17:24:36.232]',0.000,0.502,0.594"
"'[17:24:36.240]',0.000,0.502,0.695"
"'[17:24:36.248]',0.000,0.502,0.781"
"'[17:24:36.256]',0.000,0.502,0.727"
"'[17:24:36.264]',0.000,0.502,0.555"
"'[17:24:36.272]',0.000,0.502,0.406"
"'[17:24:36.280]',0.000,0.502,0.383"
"'[17:24:36.288]',0.000,0.502,0.406"
"'[17:24:36.296]',0.000,0.502,0.375"
"'[17:24:36.304]',0.000,0.502,0.297"
"'[17:24:36.312]',0.000,0.502,0.211"
"'[17:24:36.320]',0.000,0.502,0.188"
"'[17:24:36.328]',0.000,0.502,0.227"
"'[17:24:36.336]',0.000,0.502,0.289"
"'[17:24:36.344]',0.000,0.502,0.320"
"'[17:24:36.352]',0.000,0.502,0.375"
"'[17:24:36.360]',0.000,0.502,0.445"
"'[17:24:36.368]',0.000,0.502,0.391"
"'[17:24:36.376]',0.000,0.502,0.258"
"'[17:24:36.384]',0.000,0.502,0.188"
"'[17:24:36.392]',0.000,0.502,0.195"
"'[17:24:36.400]',0.000,0.502,0.227"
"'[17:24:36.408]',0.000,0.502,0.242"
"'[17:24:36.416]',0.000,0.502,0.250"
"'[17:24:36.424]',0.000,0.502,0.250"
"'[17:24:36.432]',0.000,0.502,0.289"
"'[17:24:36.440]',0.000,0.502,0.320"
"'[17:24:36.448]',0.000,0.502,0.352"
"'[17:24:36.456]',0.000,0.502,0.406"
"'[17:24:36.464]',0.000,0.502,0.422"
"'[17:24:36.472]',0.000,0.502,0.305"
"'[17:24:36.480]',0.000,0.502,0.227"
"'[17:24:36.488]',0.000,0.502,0.289"
"'[17:24:36.496]',0.000,0.502,0.375"
"'[17:24:36.504]',0.000,0.502,0.391"
"'[17:24:36.512]',0.000,0.502,0.250"
"'[17:24:36.520]',0.000,0.502,0.195"
"'[17:24:36.528]',0.000,0.502,0.227"
"'[17:24:36.536]',0.000,0.502,0.273"
"'[17:24:36.544]',0.000,0.502,0.336"
"'[17:24:36.552]',0.000,0.502,0.391"
"'[17:24:36.560]',0.000,0.502,0.414"
"'[17:24:36.568]',0.000,0.502,0.391"
"'[17:24:36.576]',0.000,0.502,0.320"
"'[17:24:36.584]',0.000,0.502,0.297"
"'[17:24:36.592]',0.000,0.502,0.320"
"'[17:24:36.600]',0.000,0.502,0.352"
"'[17:24:36.608]',0.000,0.502,0.367"
"'[17:24:36.616]',0.000,0.502,0.391"
"'[17:24:36.624]',0.000,0.502,0.398"
"'[17:24:36.632]',0.000,0.502,0.367"
"'[17:24:36.640]',0.000,0.502,0.383"
"'[17:24:36.648]',0.000,0.502,0.414"
"'[17:24:36.656]',0.000,0.502,0.422"
"'[17:24:36.664]',0.000,0.502,0.422"
"'[17:24:36.672]',0.000,0.502,0.492"
"'[17:24:36.680]',0.000,0.502,0.570"
"'[17:24:36.688]',0.000,0.502,0.578"
"'[17:24:36.696]',0.000,0.502,0.477"
"'[17:24:36.704]',0.000,0.502,0.438"
"'[17:24:36.712]',0.000,0.502,0.445"
"'[17:24:36.720]',0.000,0.502,0.500"
"'[17:24:36.728]',0.000,0.502,0.586"
"'[17:24:36.736]',0.000,0.502,0.648"
"'[17:24:36.744]',0.000,0.502,0.656"
"'[17:24:36.752]',0.000,0.502,0.516"
"'[17:24:36.760]',0.000,0.502,0.445"
"'[17:24:36.768]',0.000,0.502,0.516"
"'[17:24:36.776]',0.000,0.502,0.586"
