'Time','II','PLETH','ABP','III','I'
'[13:32:42.224]',0.141,0.459,122.694,-,-
'[13:32:42.232]',0.156,0.455,120.207,-,-
'[13:32:42.240]',0.203,0.447,118.135,-,-
'[13:32:42.248]',0.258,0.443,114.819,-,-
'[13:32:42.256]',0.289,0.439,111.917,-,-
'[13:32:42.264]',0.289,0.435,108.601,-,-
'[13:32:42.272]',0.242,0.431,105.285,-,-
'[13:32:42.280]',0.188,0.424,102.383,-,-
'[13:32:42.288]',0.141,0.416,99.067,-,-
'[13:32:42.296]',0.117,0.408,96.166,-,-
'[13:32:42.304]',0.109,0.404,92.850,-,-
'[13:32:42.312]',0.109,0.408,90.777,-,-
'[13:32:42.320]',0.117,0.420,87.461,-,-
'[13:32:42.328]',0.109,0.439,85.803,-,-
'[13:32:42.336]',0.039,0.471,83.731,-,-
'[13:32:42.344]',-0.156,0.514,82.073,-,-
'[13:32:42.352]',-0.297,0.557,80.415,-,-
'[13:32:42.360]',0.109,0.596,79.585,-,-
'[13:32:42.368]',1.172,0.627,78.756,-,-
'[13:32:42.376]',1.508,0.659,77.513,-,-
'[13:32:42.384]',1.508,0.682,76.684,-,-
'[13:32:42.392]',0.805,0.694,76.684,-,-
'[13:32:42.400]',0.352,0.702,75.855,-,-
'[13:32:42.408]',0.109,0.702,75.026,-,-
'[13:32:42.416]',0.000,0.694,74.197,-,-
'[13:32:42.424]',-0.031,0.682,73.368,-,-
'[13:32:42.432]',-0.047,0.671,73.368,-,-
'[13:32:42.440]',-0.039,0.655,72.539,-,-
'[13:32:42.448]',-0.031,0.639,72.539,-,-
'[13:32:42.456]',-0.008,0.627,71.710,-,-
'[13:32:42.464]',0.008,0.612,71.710,-,-
'[13:32:42.472]',0.023,0.596,71.710,-,-
'[13:32:42.480]',0.039,0.580,71.710,-,-
'[13:32:42.488]',0.062,0.565,71.710,-,-
'[13:32:42.496]',0.086,0.549,71.710,-,-
'[13:32:42.504]',0.109,0.533,71.710,-,-
'[13:32:42.512]',0.133,0.518,71.295,-,-
'[13:32:42.520]',0.164,0.502,71.295,-,-
'[13:32:42.528]',0.211,0.486,71.295,-,-
'[13:32:42.536]',0.258,0.471,70.466,-,-
'[13:32:42.544]',0.312,0.459,70.466,-,-
'[13:32:42.552]',0.367,0.443,70.466,-,-
'[13:32:42.560]',0.414,0.431,71.295,-,-
'[13:32:42.568]',0.461,0.420,71.710,-,-
'[13:32:42.576]',0.484,0.408,71.710,-,-
'[13:32:42.584]',0.484,0.400,72.539,-,-
'[13:32:42.592]',0.469,0.392,71.710,-,-
'[13:32:42.600]',0.445,0.388,70.466,-,-
'[13:32:42.608]',0.398,0.388,68.808,-,-
'[13:32:42.616]',0.336,0.392,67.150,-,-
'[13:32:42.624]',0.281,0.396,66.321,-,-
'[13:32:42.632]',0.234,0.404,68.808,-,-
'[13:32:42.640]',0.195,0.416,77.513,-,-
'[13:32:42.648]',0.180,0.424,91.606,-,-
'[13:32:42.656]',0.164,0.431,107.772,-,-
'[13:32:42.664]',0.164,0.435,119.378,-,-
'[13:32:42.672]',0.164,0.439,124.352,-,-
'[13:32:42.680]',0.164,0.443,124.352,-,-
'[13:32:42.688]',0.164,0.443,123.523,-,-
'[13:32:42.696]',0.164,0.443,125.181,-,-
'[13:32:42.704]',0.156,0.443,126.425,-,-
'[13:32:42.712]',0.148,0.439,127.254,-,-
'[13:32:42.720]',0.148,0.431,126.425,-,-
'[13:32:42.728]',0.148,0.427,125.181,-,-
'[13:32:42.736]',0.148,0.424,122.694,-,-
'[13:32:42.744]',0.156,0.416,121.036,-,-
'[13:32:42.752]',0.164,0.408,118.549,-,-
'[13:32:42.760]',0.148,0.404,117.306,-,-
'[13:32:42.768]',0.156,0.396,115.648,-,-
'[13:32:42.776]',0.195,0.392,113.161,-,-
'[13:32:42.784]',0.250,0.384,111.088,-,-
'[13:32:42.792]',0.289,0.376,108.601,-,-
'[13:32:42.800]',0.305,0.373,105.285,-,-
'[13:32:42.808]',0.273,0.365,103.212,-,-
'[13:32:42.816]',0.219,0.361,99.896,-,-
'[13:32:42.824]',0.172,0.357,96.995,-,-
'[13:32:42.832]',0.141,0.353,93.679,-,-
'[13:32:42.840]',0.133,0.349,91.606,-,-
'[13:32:42.848]',0.125,0.345,88.290,-,-
'[13:32:42.856]',0.125,0.341,85.803,-,-
'[13:32:42.864]',0.117,0.337,84.560,-,-
'[13:32:42.872]',0.094,0.333,82.073,-,-
'[13:32:42.880]',-0.062,0.337,81.244,-,-
'[13:32:42.888]',-0.289,0.349,79.585,-,-
'[13:32:42.896]',-0.320,0.373,78.756,-,-
'[13:32:42.904]',0.641,0.412,77.927,-,-
'[13:32:42.912]',1.508,0.455,77.513,-,-
'[13:32:42.920]',1.508,0.506,76.684,-,-
'[13:32:42.928]',0.961,0.557,75.855,-,-
'[13:32:42.936]',0.430,0.600,75.855,-,-
'[13:32:42.944]',0.188,0.631,75.026,-,-
'[13:32:42.952]',0.062,0.655,75.026,-,-
'[13:32:42.960]',0.008,0.667,74.197,-,-
'[13:32:42.968]',-0.008,0.671,74.197,-,-
'[13:32:42.976]',-0.008,0.667,73.368,-,-
'[13:32:42.984]',0.008,0.663,73.368,-,-
'[13:32:42.992]',0.008,0.651,73.368,-,-
'[13:32:43.000]',0.023,0.639,73.368,-,-
'[13:32:43.008]',0.039,0.624,73.368,-,-
'[13:32:43.016]',0.062,0.608,73.368,-,-
'[13:32:43.024]',0.078,0.592,73.368,-,-
'[13:32:43.032]',0.094,0.573,73.368,-,-
'[13:32:43.040]',0.117,0.557,73.368,-,-
'[13:32:43.048]',0.148,0.541,72.539,-,-
'[13:32:43.056]',0.180,0.525,72.539,-,-
'[13:32:43.064]',0.219,0.514,72.539,-,-
'[13:32:43.072]',0.258,0.498,72.539,-,-
'[13:32:43.080]',0.312,0.482,72.539,-,-
'[13:32:43.088]',0.375,0.467,72.539,-,-
'[13:32:43.096]',0.438,0.451,72.539,-,-
'[13:32:43.104]',0.484,0.435,73.368,-,-
'[13:32:43.112]',0.516,0.420,74.197,-,-
'[13:32:43.120]',0.523,0.408,74.197,-,-
'[13:32:43.128]',0.516,0.392,74.197,-,-
'[13:32:43.136]',0.484,0.380,72.539,-,-
'[13:32:43.144]',0.430,0.373,71.295,-,-
'[13:32:43.152]',0.359,0.369,69.637,-,-
'[13:32:43.160]',0.289,0.365,67.979,-,-
'[13:32:43.168]',0.234,0.365,67.150,-,-
'[13:32:43.176]',0.188,0.369,67.979,-,-
'[13:32:43.184]',0.164,0.373,72.539,-,-
'[13:32:43.192]',0.148,0.380,83.731,-,-
'[13:32:43.200]',0.141,0.392,98.238,-,-
'[13:32:43.208]',0.141,0.400,111.088,-,-
'[13:32:43.216]',0.148,0.412,118.135,-,-
'[13:32:43.224]',0.148,0.420,118.549,-,-
'[13:32:43.232]',0.148,0.427,117.306,-,-
'[13:32:43.240]',0.148,0.435,117.306,-,-
'[13:32:43.248]',0.148,0.439,118.135,-,-
'[13:32:43.256]',0.148,0.443,119.378,-,-
'[13:32:43.264]',0.148,0.443,119.378,-,-
'[13:32:43.272]',0.148,0.443,118.549,-,-
'[13:32:43.280]',0.148,0.443,117.306,-,-
'[13:32:43.288]',0.148,0.443,114.819,-,-
'[13:32:43.296]',0.148,0.439,113.161,-,-
'[13:32:43.304]',0.164,0.439,111.088,-,-
'[13:32:43.312]',0.188,0.435,109.430,-,-
'[13:32:43.320]',0.242,0.427,106.943,-,-
'[13:32:43.328]',0.289,0.424,104.870,-,-
'[13:32:43.336]',0.297,0.420,102.383,-,-
'[13:32:43.344]',0.273,0.416,99.067,-,-
'[13:32:43.352]',0.219,0.412,96.995,-,-
'[13:32:43.360]',0.172,0.408,93.679,-,-
'[13:32:43.368]',0.141,0.404,91.606,-,-
'[13:32:43.376]',0.133,0.400,89.119,-,-
'[13:32:43.384]',0.133,0.396,85.803,-,-
'[13:32:43.392]',0.133,0.392,84.560,-,-
'[13:32:43.400]',0.133,0.384,82.902,-,-
'[13:32:43.408]',0.094,0.380,81.244,-,-
'[13:32:43.416]',-0.078,0.373,80.415,-,-
'[13:32:43.424]',-0.281,0.373,79.585,-,-
'[13:32:43.432]',-0.086,0.380,78.756,-,-
'[13:32:43.440]',0.852,0.400,77.927,-,-
'[13:32:43.448]',1.508,0.427,77.513,-,-
'[13:32:43.456]',1.508,0.459,76.684,-,-
'[13:32:43.464]',1.000,0.494,75.855,-,-
'[13:32:43.472]',0.484,0.533,75.855,-,-
'[13:32:43.480]',0.195,0.573,75.026,-,-
'[13:32:43.488]',0.055,0.604,75.026,-,-
'[13:32:43.496]',-0.008,0.631,75.026,-,-
'[13:32:43.504]',-0.023,0.647,75.026,-,-
'[13:32:43.512]',-0.023,0.655,75.026,-,-
'[13:32:43.520]',-0.016,0.655,75.026,-,-
'[13:32:43.528]',-0.008,0.647,75.026,-,-
'[13:32:43.536]',0.008,0.639,75.026,-,-
'[13:32:43.544]',0.023,0.627,75.026,-,-
'[13:32:43.552]',0.039,0.612,75.026,-,-
'[13:32:43.560]',0.055,0.600,75.855,-,-
'[13:32:43.568]',0.070,0.584,75.855,-,-
'[13:32:43.576]',0.094,0.565,75.855,-,-
'[13:32:43.584]',0.109,0.549,75.026,-,-
'[13:32:43.592]',0.141,0.529,75.026,-,-
'[13:32:43.600]',0.180,0.514,75.026,-,-
'[13:32:43.608]',0.219,0.494,75.026,-,-
'[13:32:43.616]',0.273,0.478,75.026,-,-
'[13:32:43.624]',0.320,0.459,75.026,-,-
'[13:32:43.632]',0.367,0.443,75.855,-,-
'[13:32:43.640]',0.414,0.424,76.684,-,-
'[13:32:43.648]',0.438,0.408,77.513,-,-
'[13:32:43.656]',0.453,0.396,77.513,-,-
'[13:32:43.664]',0.453,0.384,76.684,-,-
'[13:32:43.672]',0.430,0.373,75.026,-,-
'[13:32:43.680]',0.383,0.361,73.368,-,-
'[13:32:43.688]',0.328,0.353,71.710,-,-
'[13:32:43.696]',0.273,0.349,71.295,-,-
'[13:32:43.704]',0.219,0.329,72.539,-,-
'[13:32:43.712]',0.180,0.306,78.756,-,-
'[13:32:43.720]',0.156,0.298,92.021,-,-
'[13:32:43.728]',0.148,0.302,109.430,-,-
'[13:32:43.736]',0.148,0.314,122.694,-,-
'[13:32:43.744]',0.148,0.329,128.912,-,-
'[13:32:43.752]',0.148,0.341,130.570,-,-
'[13:32:43.760]',0.148,0.353,129.741,-,-
'[13:32:43.768]',0.148,0.365,130.570,-,-
'[13:32:43.776]',0.156,0.376,131.399,-,-
'[13:32:43.784]',0.156,0.388,132.642,-,-
'[13:32:43.792]',0.164,0.396,132.642,-,-
'[13:32:43.800]',0.164,0.400,131.399,-,-
'[13:32:43.808]',0.164,0.404,129.741,-,-
'[13:32:43.816]',0.164,0.404,127.254,-,-
'[13:32:43.824]',0.156,0.404,125.596,-,-
'[13:32:43.832]',0.148,0.404,124.352,-,-
'[13:32:43.840]',0.156,0.400,122.694,-,-
'[13:32:43.848]',0.164,0.400,121.036,-,-
'[13:32:43.856]',0.211,0.396,118.549,-,-
'[13:32:43.864]',0.273,0.392,116.477,-,-
'[13:32:43.872]',0.297,0.388,113.161,-,-
'[13:32:43.880]',0.281,0.384,111.088,-,-
'[13:32:43.888]',0.242,0.380,107.772,-,-
'[13:32:43.896]',0.188,0.376,104.870,-,-
'[13:32:43.904]',0.148,0.369,101.554,-,-
'[13:32:43.912]',0.125,0.365,98.238,-,-
'[13:32:43.920]',0.117,0.357,95.337,-,-
'[13:32:43.928]',0.117,0.349,92.021,-,-
'[13:32:43.936]',0.125,0.345,89.948,-,-
'[13:32:43.944]',0.117,0.345,87.461,-,-
'[13:32:43.952]',0.023,0.349,85.803,-,-
'[13:32:43.960]',-0.203,0.365,84.560,-,-
'[13:32:43.968]',-0.336,0.392,82.902,-,-
'[13:32:43.976]',0.133,0.431,81.244,-,-
'[13:32:43.984]',1.234,0.478,80.415,-,-
'[13:32:43.992]',1.508,0.533,79.585,-,-
'[13:32:44.000]',1.461,0.584,78.756,-,-
'[13:32:44.008]',0.828,0.627,77.927,-,-
'[13:32:44.016]',0.383,0.663,77.513,-,-
'[13:32:44.024]',0.125,0.682,77.513,-,-
'[13:32:44.032]',0.023,0.694,77.513,-,-
'[13:32:44.040]',-0.016,0.694,76.684,-,-
'[13:32:44.048]',-0.031,0.690,76.684,-,-
'[13:32:44.056]',-0.031,0.678,76.684,-,-
'[13:32:44.064]',-0.016,0.667,76.684,-,-
'[13:32:44.072]',-0.008,0.651,76.684,-,-
'[13:32:44.080]',0.008,0.631,76.684,-,-
'[13:32:44.088]',0.016,0.612,76.684,-,-
'[13:32:44.096]',0.031,0.588,76.684,-,-
'[13:32:44.104]',0.055,0.569,77.513,-,-
'[13:32:44.112]',0.078,0.549,77.513,-,-
'[13:32:44.120]',0.102,0.525,77.513,-,-
'[13:32:44.128]',0.117,0.506,76.684,-,-
'[13:32:44.136]',0.156,0.486,76.684,-,-
'[13:32:44.144]',0.188,0.467,76.684,-,-
'[13:32:44.152]',0.234,0.451,76.684,-,-
'[13:32:44.160]',0.289,0.435,77.513,-,-
'[13:32:44.168]',0.344,0.416,77.513,-,-
'[13:32:44.176]',0.398,0.400,77.927,-,-
'[13:32:44.184]',0.438,0.380,77.927,-,-
'[13:32:44.192]',0.461,0.365,78.756,-,-
'[13:32:44.200]',0.469,0.345,77.927,-,-
'[13:32:44.208]',0.453,0.333,77.513,-,-
'[13:32:44.216]',0.430,0.322,75.855,-,-
'[13:32:44.224]',0.375,0.314,75.026,-,-
'[13:32:44.232]',0.312,0.310,74.197,-,-
'[13:32:44.240]',0.258,0.310,75.026,-,-
'[13:32:44.248]',0.203,0.314,81.244,-,-
'[13:32:44.256]',0.172,0.322,95.337,-,-
'[13:32:44.264]',0.156,0.329,112.332,-,-
'[13:32:44.272]',0.148,0.345,127.254,-,-
'[13:32:44.280]',0.148,0.357,135.130,-,-
'[13:32:44.288]',0.148,0.373,135.959,-,-
'[13:32:44.296]',0.148,0.384,135.959,-,-
'[13:32:44.304]',0.148,0.392,135.959,-,-
'[13:32:44.312]',0.164,0.404,137.617,-,-
'[13:32:44.320]',0.164,0.408,138.446,-,-
'[13:32:44.328]',0.164,0.412,138.446,-,-
'[13:32:44.336]',0.164,0.416,136.788,-,-
'[13:32:44.344]',0.164,0.416,135.130,-,-
'[13:32:44.352]',0.164,0.416,132.642,-,-
'[13:32:44.360]',0.164,0.412,131.399,-,-
'[13:32:44.368]',0.164,0.408,129.741,-,-
'[13:32:44.376]',0.156,0.404,128.083,-,-
'[13:32:44.384]',0.148,0.400,125.596,-,-
'[13:32:44.392]',0.148,0.396,123.523,-,-
'[13:32:44.400]',0.188,0.388,121.036,-,-
'[13:32:44.408]',0.242,0.384,118.549,-,-
'[13:32:44.416]',0.289,0.376,115.648,-,-
'[13:32:44.424]',0.305,0.369,112.332,-,-
'[13:32:44.432]',0.273,0.365,109.430,-,-
'[13:32:44.440]',0.219,0.357,106.114,-,-
'[13:32:44.448]',0.180,0.349,102.383,-,-
'[13:32:44.456]',0.141,0.341,99.067,-,-
'[13:32:44.464]',0.133,0.333,96.166,-,-
'[13:32:44.472]',0.133,0.329,92.850,-,-
'[13:32:44.480]',0.133,0.325,90.777,-,-
'[13:32:44.488]',0.133,0.329,88.290,-,-
'[13:32:44.496]',0.102,0.345,85.803,-,-
'[13:32:44.504]',-0.055,0.376,84.560,-,-
'[13:32:44.512]',-0.297,0.420,83.731,-,-
'[13:32:44.520]',-0.344,0.471,82.073,-,-
'[13:32:44.528]',0.602,0.525,81.244,-,-
'[13:32:44.536]',1.508,0.576,80.415,-,-
'[13:32:44.544]',1.508,0.620,80.415,-,-
'[13:32:44.552]',1.195,0.651,79.585,-,-
'[13:32:44.560]',0.625,0.671,79.585,-,-
'[13:32:44.568]',0.258,0.678,79.585,-,-
'[13:32:44.576]',0.078,0.682,78.756,-,-
'[13:32:44.584]',0.008,0.678,78.756,-,-
'[13:32:44.592]',-0.016,0.667,78.756,-,-
'[13:32:44.600]',-0.016,0.655,77.927,-,-
'[13:32:44.608]',-0.016,0.639,77.927,-,-
'[13:32:44.616]',-0.008,0.620,78.756,-,-
'[13:32:44.624]',0.008,0.600,78.756,-,-
'[13:32:44.632]',0.023,0.580,79.585,-,-
'[13:32:44.640]',0.039,0.561,79.585,-,-
'[13:32:44.648]',0.062,0.541,79.585,-,-
'[13:32:44.656]',0.086,0.522,79.585,-,-
'[13:32:44.664]',0.102,0.506,79.585,-,-
'[13:32:44.672]',0.125,0.490,79.585,-,-
'[13:32:44.680]',0.148,0.471,79.585,-,-
'[13:32:44.688]',0.180,0.455,78.756,-,-
'[13:32:44.696]',0.219,0.435,78.756,-,-
'[13:32:44.704]',0.266,0.420,78.756,-,-
'[13:32:44.712]',0.320,0.404,78.756,-,-
'[13:32:44.720]',0.367,0.388,79.585,-,-
'[13:32:44.728]',0.414,0.373,79.585,-,-
'[13:32:44.736]',0.445,0.357,80.415,-,-
'[13:32:44.744]',0.453,0.345,80.415,-,-
'[13:32:44.752]',0.461,0.333,79.585,-,-
'[13:32:44.760]',0.438,0.329,77.927,-,-
'[13:32:44.768]',0.406,0.325,76.684,-,-
'[13:32:44.776]',0.359,0.325,75.855,-,-
'[13:32:44.784]',0.297,0.329,75.026,-,-
'[13:32:44.792]',0.250,0.337,78.756,-,-
'[13:32:44.800]',0.203,0.345,88.290,-,-
'[13:32:44.808]',0.180,0.357,104.041,-,-
'[13:32:44.816]',0.164,0.369,121.036,-,-
'[13:32:44.824]',0.164,0.380,132.642,-,-
'[13:32:44.832]',0.164,0.392,136.788,-,-
'[13:32:44.840]',0.164,0.400,136.788,-,-
'[13:32:44.848]',0.164,0.404,135.959,-,-
'[13:32:44.856]',0.172,0.408,136.788,-,-
'[13:32:44.864]',0.172,0.412,138.446,-,-
'[13:32:44.872]',0.172,0.412,138.860,-,-
'[13:32:44.880]',0.172,0.412,138.446,-,-
'[13:32:44.888]',0.172,0.408,136.788,-,-
'[13:32:44.896]',0.172,0.408,134.301,-,-
'[13:32:44.904]',0.172,0.404,132.228,-,-
'[13:32:44.912]',0.172,0.400,130.570,-,-
'[13:32:44.920]',0.164,0.392,128.912,-,-
'[13:32:44.928]',0.164,0.388,127.254,-,-
'[13:32:44.936]',0.164,0.380,125.181,-,-
'[13:32:44.944]',0.164,0.373,122.694,-,-
'[13:32:44.952]',0.164,0.369,119.378,-,-
'[13:32:44.960]',0.164,0.365,116.477,-,-
'[13:32:44.968]',0.195,0.357,113.161,-,-
'[13:32:44.976]',0.258,0.349,110.259,-,-
'[13:32:44.984]',0.297,0.345,106.943,-,-
'[13:32:44.992]',0.305,0.337,104.041,-,-
'[13:32:45.000]',0.273,0.329,99.896,-,-
'[13:32:45.008]',0.219,0.318,96.995,-,-
'[13:32:45.016]',0.172,0.310,94.508,-,-
'[13:32:45.024]',0.141,0.306,91.606,-,-
'[13:32:45.032]',0.141,0.310,89.119,-,-
'[13:32:45.040]',0.141,0.322,86.632,-,-
'[13:32:45.048]',0.141,0.345,84.974,-,-
'[13:32:45.056]',0.133,0.376,83.731,-,-
'[13:32:45.064]',0.094,0.420,82.902,-,-
'[13:32:45.072]',-0.070,0.471,82.073,-,-
'[13:32:45.080]',-0.312,0.525,81.244,-,-
'[13:32:45.088]',-0.336,0.576,80.415,-,-
'[13:32:45.096]',0.680,0.616,79.585,-,-
'[13:32:45.104]',1.508,0.643,79.585,-,-
'[13:32:45.112]',1.508,0.663,79.585,-,-
'[13:32:45.120]',1.086,0.667,78.756,-,-
'[13:32:45.128]',0.562,0.667,78.756,-,-
'[13:32:45.136]',0.234,0.659,78.756,-,-
'[13:32:45.144]',0.062,0.643,78.756,-,-
'[13:32:45.152]',0.008,0.631,78.756,-,-
'[13:32:45.160]',-0.016,0.616,78.756,-,-
'[13:32:45.168]',-0.016,0.600,78.756,-,-
'[13:32:45.176]',-0.008,0.580,79.585,-,-
'[13:32:45.184]',0.000,0.561,79.585,-,-
'[13:32:45.192]',0.008,0.541,80.415,-,-
'[13:32:45.200]',0.023,0.522,80.415,-,-
'[13:32:45.208]',0.039,0.502,80.415,-,-
'[13:32:45.216]',0.062,0.482,80.415,-,-
'[13:32:45.224]',0.078,0.467,80.415,-,-
'[13:32:45.232]',0.102,0.447,80.415,-,-
'[13:32:45.240]',0.125,0.431,79.585,-,-
'[13:32:45.248]',0.156,0.416,79.585,-,-
'[13:32:45.256]',0.188,0.400,78.756,-,-
'[13:32:45.264]',0.227,0.384,78.756,-,-
'[13:32:45.272]',0.273,0.373,78.756,-,-
'[13:32:45.280]',0.328,0.357,77.927,-,-
'[13:32:45.288]',0.375,0.341,77.927,-,-
'[13:32:45.296]',0.422,0.333,78.756,-,-
'[13:32:45.304]',0.445,0.325,78.756,-,-
'[13:32:45.312]',0.469,0.322,78.756,-,-
'[13:32:45.320]',0.469,0.322,77.927,-,-
'[13:32:45.328]',0.453,0.325,77.513,-,-
'[13:32:45.336]',0.414,0.333,75.855,-,-
'[13:32:45.344]',0.359,0.345,74.197,-,-
'[13:32:45.352]',0.305,0.353,73.368,-,-
'[13:32:45.360]',0.250,0.365,75.855,-,-
'[13:32:45.368]',0.203,0.373,84.560,-,-
'[13:32:45.376]',0.180,0.384,99.896,-,-
'[13:32:45.384]',0.164,0.392,117.306,-,-
'[13:32:45.392]',0.156,0.400,129.741,-,-
'[13:32:45.400]',0.148,0.404,134.301,-,-
'[13:32:45.408]',0.148,0.408,134.301,-,-
'[13:32:45.416]',0.156,0.408,133.472,-,-
'[13:32:45.424]',0.156,0.408,134.301,-,-
'[13:32:45.432]',0.156,0.404,135.959,-,-
'[13:32:45.440]',0.156,0.400,136.788,-,-
'[13:32:45.448]',0.148,0.396,135.959,-,-
'[13:32:45.456]',0.148,0.392,134.301,-,-
'[13:32:45.464]',0.148,0.388,132.228,-,-
'[13:32:45.472]',0.148,0.384,129.741,-,-
'[13:32:45.480]',0.148,0.376,128.083,-,-
'[13:32:45.488]',0.148,0.373,125.596,-,-
'[13:32:45.496]',0.148,0.365,124.352,-,-
'[13:32:45.504]',0.141,0.357,121.865,-,-
'[13:32:45.512]',0.133,0.349,119.378,-,-
'[13:32:45.520]',0.133,0.341,116.477,-,-
'[13:32:45.528]',0.133,0.337,113.161,-,-
'[13:32:45.536]',0.156,0.329,110.259,-,-
'[13:32:45.544]',0.195,0.325,106.943,-,-
'[13:32:45.552]',0.258,0.322,103.212,-,-
'[13:32:45.560]',0.281,0.314,99.896,-,-
'[13:32:45.568]',0.273,0.310,96.166,-,-
'[13:32:45.576]',0.227,0.302,92.850,-,-
'[13:32:45.584]',0.172,0.290,89.948,-,-
'[13:32:45.592]',0.133,0.286,87.461,-,-
'[13:32:45.600]',0.117,0.286,84.974,-,-
'[13:32:45.608]',0.117,0.298,83.731,-,-
'[13:32:45.616]',0.117,0.322,81.244,-,-
'[13:32:45.624]',0.117,0.357,79.585,-,-
'[13:32:45.632]',0.109,0.408,77.927,-,-
'[13:32:45.640]',0.023,0.463,77.513,-,-
'[13:32:45.648]',-0.180,0.514,75.855,-,-
'[13:32:45.656]',-0.297,0.553,75.026,-,-
'[13:32:45.664]',0.164,0.592,75.026,-,-
'[13:32:45.672]',1.211,0.624,74.197,-,-
'[13:32:45.680]',1.508,0.647,73.368,-,-
'[13:32:45.688]',1.305,0.655,73.368,-,-
'[13:32:45.696]',0.648,0.655,72.539,-,-
'[13:32:45.704]',0.289,0.651,72.539,-,-
'[13:32:45.712]',0.094,0.639,72.539,-,-
'[13:32:45.720]',0.016,0.624,71.710,-,-
'[13:32:45.728]',-0.016,0.608,72.539,-,-
'[13:32:45.736]',-0.016,0.588,72.539,-,-
'[13:32:45.744]',-0.016,0.569,72.539,-,-
'[13:32:45.752]',-0.008,0.553,73.368,-,-
'[13:32:45.760]',0.008,0.541,73.368,-,-
'[13:32:45.768]',0.023,0.522,74.197,-,-
'[13:32:45.776]',0.047,0.502,74.197,-,-
'[13:32:45.784]',0.062,0.478,74.197,-,-
'[13:32:45.792]',0.078,0.459,74.197,-,-
'[13:32:45.800]',0.102,0.435,74.197,-,-
'[13:32:45.808]',0.125,0.416,74.197,-,-
'[13:32:45.816]',0.156,0.392,73.368,-,-
'[13:32:45.824]',0.188,0.373,73.368,-,-
'[13:32:45.832]',0.234,0.349,72.539,-,-
'[13:32:45.840]',0.281,0.329,72.539,-,-
'[13:32:45.848]',0.328,0.314,72.539,-,-
'[13:32:45.856]',0.391,0.298,72.539,-,-
'[13:32:45.864]',0.438,0.286,72.539,-,-
'[13:32:45.872]',0.484,0.275,73.368,-,-
'[13:32:45.880]',0.516,0.271,73.368,-,-
'[13:32:45.888]',0.523,0.267,73.368,-,-
'[13:32:45.896]',0.508,0.267,72.539,-,-
'[13:32:45.904]',0.469,0.275,71.295,-,-
'[13:32:45.912]',0.414,0.282,69.637,-,-
'[13:32:45.920]',0.352,0.298,67.150,-,-
'[13:32:45.928]',0.297,0.310,66.321,-,-
'[13:32:45.936]',0.250,0.325,67.150,-,-
'[13:32:45.944]',0.219,0.337,72.539,-,-
'[13:32:45.952]',0.188,0.349,84.560,-,-
'[13:32:45.960]',0.180,0.357,100.725,-,-
'[13:32:45.968]',0.164,0.365,113.990,-,-
'[13:32:45.976]',0.164,0.373,120.207,-,-
'[13:32:45.984]',0.164,0.376,121.036,-,-
'[13:32:45.992]',0.164,0.376,120.207,-,-
'[13:32:46.000]',0.164,0.376,120.207,-,-
'[13:32:46.008]',0.164,0.373,121.865,-,-
'[13:32:46.016]',0.164,0.369,122.694,-,-
'[13:32:46.024]',0.164,0.365,122.694,-,-
'[13:32:46.032]',0.164,0.361,121.865,-,-
'[13:32:46.040]',0.164,0.357,120.207,-,-
'[13:32:46.048]',0.172,0.349,118.135,-,-
'[13:32:46.056]',0.164,0.345,115.648,-,-
'[13:32:46.064]',0.164,0.337,113.990,-,-
'[13:32:46.072]',0.164,0.333,111.917,-,-
'[13:32:46.080]',0.156,0.325,109.430,-,-
'[13:32:46.088]',0.164,0.314,106.943,-,-
'[13:32:46.096]',0.211,0.306,104.041,-,-
'[13:32:46.104]',0.273,0.298,101.554,-,-
'[13:32:46.112]',0.305,0.290,98.238,-,-
'[13:32:46.120]',0.305,0.282,95.337,-,-
'[13:32:46.128]',0.258,0.278,92.850,-,-
'[13:32:46.136]',0.211,0.271,89.948,-,-
'[13:32:46.144]',0.172,0.267,86.632,-,-
'[13:32:46.152]',0.148,0.259,84.560,-,-
'[13:32:46.160]',0.141,0.251,82.902,-,-
'[13:32:46.168]',0.141,0.243,80.415,-,-
'[13:32:46.176]',0.148,0.235,79.585,-,-
'[13:32:46.184]',0.141,0.231,77.927,-,-
'[13:32:46.192]',0.062,0.239,76.684,-,-
'[13:32:46.200]',-0.141,0.259,75.855,-,-
'[13:32:46.208]',-0.281,0.298,75.026,-,-
'[13:32:46.216]',0.125,0.353,74.197,-,-
'[13:32:46.224]',1.148,0.416,73.368,-,-
'[13:32:46.232]',1.508,0.482,72.539,-,-
'[13:32:46.240]',1.320,0.545,71.710,-,-
'[13:32:46.248]',0.641,0.596,71.710,-,-
'[13:32:46.256]',0.289,0.631,71.295,-,-
'[13:32:46.264]',0.125,0.655,71.295,-,-
'[13:32:46.272]',0.039,0.671,70.466,-,-
'[13:32:46.280]',0.008,0.675,70.466,-,-
'[13:32:46.288]',0.008,0.667,70.466,-,-
'[13:32:46.296]',0.016,0.655,70.466,-,-
'[13:32:46.304]',0.023,0.639,70.466,-,-
'[13:32:46.312]',0.039,0.620,70.466,-,-
'[13:32:46.320]',0.055,0.596,70.466,-,-
'[13:32:46.328]',0.062,0.573,71.295,-,-
'[13:32:46.336]',0.086,0.545,71.295,-,-
'[13:32:46.344]',0.109,0.522,71.295,-,-
