'Time','II','AVR','V','RESP','PLETH','ABP','CVP'
'[13:04:34.704]',1.020,0.340,0.730,0.145,2.173,52.507,-1.446
'[13:04:34.712]',1.015,0.355,0.745,0.148,2.087,52.214,-0.938
'[13:04:34.720]',1.020,0.345,0.745,0.150,1.990,52.361,-0.127
'[13:04:34.728]',1.000,0.365,0.760,0.153,1.889,53.289,0.684
'[13:04:34.736]',1.000,0.375,0.765,0.155,1.786,55.487,1.309
'[13:04:34.744]',0.980,0.390,0.770,0.158,1.686,59.101,1.622
'[13:04:34.752]',0.980,0.390,0.775,0.160,1.592,64.132,1.749
'[13:04:34.760]',0.970,0.410,0.770,0.162,1.503,70.091,1.680
'[13:04:34.768]',0.965,0.415,0.765,0.164,1.421,76.490,1.680
'[13:04:34.776]',0.960,0.410,0.770,0.166,1.348,82.595,1.807
'[13:04:34.784]',0.960,0.415,0.765,0.167,1.283,88.066,2.120
'[13:04:34.792]',0.950,0.410,0.765,0.168,1.228,92.511,2.618
'[13:04:34.800]',0.955,0.420,0.770,0.169,1.187,95.930,3.185
'[13:04:34.808]',0.960,0.415,0.760,0.169,1.156,98.323,3.810
'[13:04:34.816]',0.965,0.415,0.770,0.170,1.128,99.593,4.181
'[13:04:34.824]',0.965,0.410,0.765,0.170,1.103,99.984,4.249
'[13:04:34.832]',0.970,0.415,0.775,0.170,1.084,99.349,4.122
'[13:04:34.840]',0.975,0.410,0.770,0.169,1.071,97.932,3.937
'[13:04:34.848]',0.970,0.415,0.785,0.169,1.064,95.881,3.810
'[13:04:34.856]',1.000,0.395,0.780,0.168,1.061,93.341,3.683
'[13:04:34.864]',1.025,0.385,0.790,0.168,1.061,90.655,3.751
'[13:04:34.872]',1.035,0.365,0.780,0.167,1.061,87.919,4.064
'[13:04:34.880]',1.035,0.370,0.785,0.166,1.061,85.184,4.748
'[13:04:34.888]',1.015,0.375,0.765,0.164,1.061,82.449,5.685
'[13:04:34.896]',0.975,0.405,0.760,0.163,1.061,79.811,6.438
'[13:04:34.904]',0.955,0.415,0.745,0.161,1.063,77.223,6.750
'[13:04:34.912]',0.930,0.430,0.745,0.160,1.064,74.731,6.623
'[13:04:34.920]',0.925,0.435,0.735,0.159,1.061,72.387,6.057
'[13:04:34.928]',0.925,0.435,0.740,0.157,1.058,70.042,5.431
'[13:04:34.936]',0.925,0.430,0.725,0.156,1.054,67.796,4.875
'[13:04:34.944]',0.925,0.435,0.730,0.155,1.048,65.598,4.689
'[13:04:34.952]',0.925,0.435,0.725,0.154,1.038,63.497,4.933
'[13:04:34.960]',0.910,0.440,0.745,0.153,1.026,61.446,5.431
'[13:04:34.968]',0.905,0.395,0.765,0.152,1.015,59.541,5.930
'[13:04:34.976]',1.115,0.255,0.860,0.151,1.003,57.978,6.438
'[13:04:34.984]',1.500,-0.005,0.945,0.150,0.997,56.806,6.936
'[13:04:34.992]',1.465,-0.020,0.920,0.149,1.004,55.878,7.180
'[13:04:35.000]',1.145,0.375,0.750,0.149,1.023,55.194,7.180
'[13:04:35.008]',0.955,0.445,0.605,0.149,1.062,54.657,6.994
'[13:04:35.016]',0.895,0.450,0.640,0.149,1.128,54.412,6.809
'[13:04:35.024]',0.875,0.460,0.675,0.149,1.225,54.363,6.682
'[13:04:35.032]',0.880,0.465,0.700,0.149,1.354,54.412,6.623
'[13:04:35.040]',0.880,0.455,0.710,0.149,1.512,54.608,6.555
'[13:04:35.048]',0.880,0.460,0.720,0.149,1.695,54.901,6.369
'[13:04:35.056]',0.890,0.455,0.715,0.149,1.891,55.292,5.998
'[13:04:35.064]',0.890,0.460,0.720,0.149,2.088,55.731,5.431
'[13:04:35.072]',0.895,0.445,0.720,0.149,2.275,56.171,4.748
'[13:04:35.080]',0.900,0.450,0.730,0.149,2.442,56.561,3.937
'[13:04:35.088]',0.905,0.435,0.720,0.150,2.585,56.855,3.126
'[13:04:35.096]',0.910,0.435,0.735,0.151,2.699,57.099,2.501
'[13:04:35.104]',0.920,0.425,0.725,0.153,2.774,57.196,2.501
'[13:04:35.112]',0.925,0.430,0.735,0.154,2.818,57.196,3.058
'[13:04:35.120]',0.935,0.415,0.730,0.156,2.845,57.050,4.122
'[13:04:35.128]',0.940,0.415,0.740,0.159,2.850,56.806,5.304
'[13:04:35.136]',0.950,0.400,0.735,0.161,2.836,56.464,6.184
'[13:04:35.144]',0.950,0.400,0.730,0.163,2.804,56.122,6.242
'[13:04:35.152]',0.965,0.385,0.740,0.166,2.756,55.682,5.500
'[13:04:35.160]',0.975,0.380,0.730,0.169,2.693,55.243,4.181
'[13:04:35.168]',0.985,0.360,0.735,0.172,2.620,54.803,2.501
'[13:04:35.176]',0.995,0.355,0.725,0.174,2.538,54.315,0.811
'[13:04:35.184]',1.005,0.340,0.735,0.177,2.447,53.875,-0.567
'[13:04:35.192]',1.015,0.345,0.725,0.180,2.352,53.338,-1.377
'[13:04:35.200]',1.020,0.340,0.740,0.183,2.265,52.947,-1.563
'[13:04:35.208]',1.020,0.340,0.735,0.186,2.180,52.556,-1.133
'[13:04:35.216]',1.020,0.350,0.755,0.189,2.085,52.556,-0.381
'[13:04:35.224]',1.010,0.360,0.755,0.192,1.986,53.338,0.430
'[13:04:35.232]',1.005,0.370,0.770,0.195,1.885,55.340,1.123
'[13:04:35.240]',0.995,0.380,0.760,0.198,1.785,58.808,1.563
'[13:04:35.248]',0.980,0.390,0.770,0.201,1.689,63.742,1.807
'[13:04:35.256]',0.975,0.400,0.765,0.203,1.598,69.749,1.993
'[13:04:35.264]',0.970,0.415,0.770,0.204,1.511,76.294,2.374
'[13:04:35.272]',0.965,0.415,0.765,0.205,1.433,82.595,2.813
'[13:04:35.280]',0.960,0.415,0.770,0.206,1.363,88.310,3.185
'[13:04:35.288]',0.960,0.410,0.765,0.207,1.299,92.999,3.370
'[13:04:35.296]',0.955,0.420,0.770,0.207,1.250,96.565,3.370
'[13:04:35.304]',0.965,0.410,0.765,0.207,1.212,99.056,3.370
'[13:04:35.312]',0.960,0.415,0.770,0.207,1.176,100.570,3.439
'[13:04:35.320]',0.970,0.410,0.770,0.206,1.146,101.058,3.556
'[13:04:35.328]',0.965,0.415,0.775,0.206,1.121,100.619,3.683
'[13:04:35.336]',0.965,0.415,0.770,0.205,1.104,99.349,3.683
'[13:04:35.344]',0.975,0.415,0.785,0.205,1.091,97.346,3.683
'[13:04:35.352]',1.000,0.395,0.795,0.204,1.081,95.002,3.556
'[13:04:35.360]',1.020,0.390,0.790,0.203,1.075,92.364,3.556
'[13:04:35.368]',1.030,0.375,0.800,0.202,1.072,89.629,3.810
'[13:04:35.376]',1.020,0.370,0.785,0.201,1.070,86.796,4.494
'[13:04:35.384]',1.010,0.380,0.775,0.200,1.069,84.012,5.500
'[13:04:35.392]',0.980,0.395,0.760,0.198,1.069,81.228,6.438
'[13:04:35.400]',0.955,0.415,0.750,0.197,1.070,78.590,6.936
'[13:04:35.408]',0.935,0.425,0.740,0.196,1.070,76.050,6.809
'[13:04:35.416]',0.925,0.435,0.745,0.195,1.067,73.608,6.369
'[13:04:35.424]',0.925,0.430,0.730,0.194,1.063,71.215,5.744
'[13:04:35.432]',0.925,0.435,0.735,0.192,1.059,68.968,5.246
'[13:04:35.440]',0.920,0.435,0.730,0.191,1.052,66.819,5.002
'[13:04:35.448]',0.915,0.440,0.735,0.190,1.042,64.572,5.060
'[13:04:35.456]',0.925,0.435,0.740,0.190,1.031,62.472,5.431
'[13:04:35.464]',0.905,0.405,0.770,0.189,1.019,60.567,5.871
'[13:04:35.472]',1.090,0.270,0.845,0.189,1.008,58.906,6.438
'[13:04:35.480]',1.500,0.015,0.950,0.188,1.001,57.538,6.867
'[13:04:35.488]',1.500,-0.035,0.925,0.188,1.005,56.415,7.180
'[13:04:35.496]',1.170,0.360,0.770,0.187,1.022,55.682,7.248
'[13:04:35.504]',0.960,0.435,0.610,0.187,1.056,55.194,7.063
'[13:04:35.512]',0.895,0.445,0.640,0.186,1.116,54.852,6.809
'[13:04:35.520]',0.875,0.455,0.680,0.186,1.206,54.657,6.623
'[13:04:35.528]',0.875,0.460,0.710,0.186,1.329,54.657,6.555
'[13:04:35.536]',0.880,0.455,0.720,0.186,1.484,54.852,6.555
'[13:04:35.544]',0.880,0.460,0.720,0.186,1.664,55.096,6.369
'[13:04:35.552]',0.890,0.450,0.720,0.186,1.861,55.536,5.998
'[13:04:35.560]',0.895,0.455,0.720,0.187,2.064,55.975,5.500
'[13:04:35.568]',0.890,0.450,0.725,0.187,2.259,56.415,4.806
'[13:04:35.576]',0.900,0.455,0.720,0.188,2.437,56.855,3.995
'[13:04:35.584]',0.905,0.440,0.725,0.188,2.589,57.196,3.243
'[13:04:35.592]',0.905,0.435,0.720,0.189,2.711,57.441,2.618
'[13:04:35.600]',0.915,0.440,0.730,0.190,2.792,57.538,2.501
'[13:04:35.608]',0.920,0.430,0.725,0.191,2.842,57.587,2.999
'[13:04:35.616]',0.925,0.435,0.735,0.192,2.875,57.490,3.937
'[13:04:35.624]',0.925,0.425,0.725,0.194,2.886,57.294,5.119
'[13:04:35.632]',0.930,0.415,0.735,0.195,2.875,57.001,5.998
'[13:04:35.640]',0.945,0.400,0.725,0.197,2.845,56.610,6.184
'[13:04:35.648]',0.950,0.395,0.735,0.198,2.800,56.220,5.558
'[13:04:35.656]',0.955,0.385,0.725,0.200,2.742,55.731,4.308
'[13:04:35.664]',0.965,0.375,0.735,0.201,2.673,55.292,2.618
'[13:04:35.672]',0.975,0.365,0.725,0.203,2.595,54.852,0.938
'[13:04:35.680]',0.995,0.360,0.730,0.205,2.511,54.363,-0.440
'[13:04:35.688]',1.005,0.345,0.725,0.208,2.421,53.924,-1.319
'[13:04:35.696]',1.010,0.350,0.740,0.211,2.336,53.435,-1.504
'[13:04:35.704]',1.015,0.340,0.740,0.214,2.253,53.094,-1.133
'[13:04:35.712]',1.015,0.350,0.750,0.217,2.159,53.094,-0.381
'[13:04:35.720]',1.010,0.355,0.750,0.220,2.058,53.924,0.498
'[13:04:35.728]',0.995,0.375,0.765,0.223,1.952,55.926,1.368
'[13:04:35.736]',0.990,0.375,0.770,0.225,1.847,59.443,2.120
'[13:04:35.744]',0.975,0.390,0.765,0.228,1.744,64.377,2.501
'[13:04:35.752]',0.965,0.405,0.770,0.230,1.644,70.384,2.559
'[13:04:35.760]',0.955,0.415,0.765,0.233,1.550,76.881,2.432
'[13:04:35.768]',0.960,0.415,0.770,0.234,1.465,83.230,2.305
'[13:04:35.776]',0.955,0.415,0.760,0.236,1.388,88.847,2.247
'[13:04:35.784]',0.955,0.420,0.770,0.236,1.320,93.634,2.305
'[13:04:35.792]',0.955,0.415,0.760,0.237,1.261,97.249,2.686
'[13:04:35.800]',0.950,0.420,0.770,0.237,1.219,99.789,3.243
'[13:04:35.808]',0.955,0.415,0.765,0.237,1.188,101.352,3.937
'[13:04:35.816]',0.955,0.420,0.775,0.236,1.158,101.889,4.376
'[13:04:35.824]',0.960,0.415,0.770,0.236,1.133,101.498,4.621
'[13:04:35.832]',0.965,0.415,0.780,0.235,1.112,100.179,4.689
'[13:04:35.840]',0.985,0.400,0.780,0.234,1.097,98.225,4.494
'[13:04:35.848]',1.000,0.390,0.790,0.233,1.085,95.783,4.181
'[13:04:35.856]',1.025,0.375,0.790,0.232,1.077,93.048,3.937
'[13:04:35.864]',1.030,0.375,0.790,0.230,1.073,90.215,3.810
'[13:04:35.872]',1.025,0.365,0.780,0.229,1.071,87.431,4.064
'[13:04:35.880]',1.010,0.385,0.770,0.227,1.070,84.598,4.689
'[13:04:35.888]',0.985,0.390,0.745,0.226,1.069,81.912,5.558
'[13:04:35.896]',0.955,0.415,0.745,0.225,1.071,79.323,6.242
'[13:04:35.904]',0.935,0.425,0.730,0.223,1.074,76.783,6.555
'[13:04:35.912]',0.925,0.435,0.740,0.221,1.075,74.341,6.369
'[13:04:35.920]',0.925,0.430,0.735,0.220,1.072,72.045,5.871
'[13:04:35.928]',0.925,0.435,0.740,0.218,1.066,69.847,5.373
'[13:04:35.936]',0.925,0.430,0.730,0.217,1.058,67.747,5.060
'[13:04:35.944]',0.925,0.435,0.725,0.215,1.047,65.598,4.933
'[13:04:35.952]',0.915,0.440,0.745,0.214,1.035,63.546,5.187
'[13:04:35.960]',0.905,0.395,0.780,0.212,1.024,61.592,5.617
'[13:04:35.968]',1.180,0.215,0.875,0.211,1.016,59.932,6.184
'[13:04:35.976]',1.500,-0.020,0.945,0.211,1.012,58.466,6.682
'[13:04:35.984]',1.440,0.140,0.900,0.210,1.017,57.441,7.063
'[13:04:35.992]',1.110,0.395,0.710,0.209,1.038,56.561,7.180
'[13:04:36.000]',0.945,0.440,0.600,0.208,1.074,55.975,7.063
'[13:04:36.008]',0.895,0.435,0.640,0.207,1.131,55.633,6.867
'[13:04:36.016]',0.880,0.460,0.685,0.206,1.221,55.340,6.750
'[13:04:36.024]',0.885,0.460,0.695,0.205,1.345,55.340,6.682
'[13:04:36.032]',0.885,0.460,0.715,0.205,1.500,55.438,6.555
'[13:04:36.040]',0.890,0.460,0.710,0.205,1.679,55.682,6.311
'[13:04:36.048]',0.890,0.460,0.720,0.204,1.874,55.975,5.871
'[13:04:36.056]',0.895,0.455,0.720,0.204,2.073,56.415,5.373
'[13:04:36.064]',0.890,0.460,0.725,0.204,2.266,56.806,4.621
'[13:04:36.072]',0.900,0.445,0.720,0.204,2.443,57.245,3.751
'[13:04:36.080]',0.905,0.450,0.725,0.205,2.596,57.538,2.872
'[13:04:36.088]',0.915,0.430,0.720,0.205,2.720,57.880,2.374
'[13:04:36.096]',0.915,0.435,0.725,0.206,2.805,57.978,2.305
'[13:04:36.104]',0.920,0.425,0.725,0.208,2.856,58.027,2.999
'[13:04:36.112]',0.925,0.425,0.735,0.209,2.889,57.978,4.122
'[13:04:36.120]',0.940,0.410,0.725,0.211,2.899,57.783,5.304
'[13:04:36.128]',0.945,0.415,0.735,0.212,2.889,57.490,6.057
'[13:04:36.136]',0.950,0.395,0.725,0.214,2.857,57.196,6.057
'[13:04:36.144]',0.955,0.390,0.735,0.216,2.810,56.757,5.246
'[13:04:36.152]',0.970,0.375,0.725,0.218,2.752,56.317,3.868
'[13:04:36.160]',0.975,0.370,0.730,0.220,2.681,55.878,2.247
'[13:04:36.168]',0.990,0.355,0.735,0.223,2.601,55.438,0.625
'[13:04:36.176]',1.000,0.345,0.725,0.225,2.514,54.852,-0.567
'[13:04:36.184]',1.015,0.340,0.735,0.227,2.421,54.363,-1.319
'[13:04:36.192]',1.020,0.340,0.725,0.229,2.324,53.875,-1.446
'[13:04:36.200]',1.020,0.345,0.740,0.231,2.235,53.631,-1.065
'[13:04:36.208]',1.015,0.340,0.745,0.234,2.150,53.777,-0.381
'[13:04:36.216]',1.010,0.360,0.755,0.236,2.054,54.852,0.430
'[13:04:36.224]',1.000,0.365,0.750,0.238,1.954,57.196,1.250
'[13:04:36.232]',0.990,0.385,0.770,0.241,1.855,61.055,1.876
'[13:04:36.240]',0.980,0.380,0.760,0.243,1.758,66.281,2.247
'[13:04:36.248]',0.975,0.400,0.770,0.245,1.663,72.533,2.559
'[13:04:36.256]',0.965,0.400,0.765,0.248,1.573,79.176,2.745
'[13:04:36.264]',0.960,0.415,0.770,0.250,1.489,85.477,2.686
'[13:04:36.272]',0.965,0.405,0.760,0.252,1.413,91.045,2.374
'[13:04:36.280]',0.960,0.415,0.770,0.253,1.345,95.539,1.993
'[13:04:36.288]',0.965,0.405,0.765,0.255,1.285,98.860,1.993
'[13:04:36.296]',0.960,0.415,0.770,0.255,1.240,101.107,2.432
'[13:04:36.304]',0.970,0.405,0.770,0.255,1.206,102.377,3.243
'[13:04:36.312]',0.970,0.415,0.775,0.255,1.174,102.573,3.995
'[13:04:36.320]',0.975,0.405,0.770,0.255,1.147,101.889,4.435
'[13:04:36.328]',0.975,0.410,0.775,0.254,1.124,100.375,4.562
'[13:04:36.336]',1.000,0.390,0.785,0.253,1.108,98.225,4.376
'[13:04:36.344]',1.015,0.390,0.790,0.252,1.095,95.686,4.064
'[13:04:36.352]',1.040,0.370,0.800,0.251,1.086,92.950,3.868
'[13:04:36.360]',1.040,0.365,0.790,0.249,1.082,90.069,3.937
'[13:04:36.368]',1.030,0.370,0.775,0.248,1.080,87.187,4.308
'[13:04:36.376]',1.005,0.385,0.770,0.247,1.079,84.354,5.060
'[13:04:36.384]',0.975,0.400,0.750,0.245,1.078,81.716,5.998
'[13:04:36.392]',0.955,0.415,0.745,0.243,1.075,79.176,6.682
'[13:04:36.400]',0.945,0.425,0.735,0.242,1.073,76.783,6.936
'[13:04:36.408]',0.940,0.420,0.725,0.240,1.071,74.487,6.750
'[13:04:36.416]',0.940,0.435,0.735,0.239,1.067,72.289,6.496
'[13:04:36.424]',0.930,0.425,0.725,0.238,1.063,70.091,6.184
'[13:04:36.432]',0.925,0.435,0.735,0.237,1.058,67.991,5.871
'[13:04:36.440]',0.925,0.425,0.730,0.237,1.050,65.940,5.744
'[13:04:36.448]',0.910,0.435,0.760,0.236,1.039,63.937,5.998
'[13:04:36.456]',0.985,0.350,0.795,0.236,1.027,62.130,6.496
'[13:04:36.464]',1.315,0.150,0.915,0.236,1.018,60.567,7.121
'[13:04:36.472]',1.500,-0.040,0.935,0.236,1.019,59.248,7.620
'[13:04:36.480]',1.345,0.235,0.860,0.236,1.036,58.222,7.932
'[13:04:36.488]',1.050,0.420,0.635,0.237,1.069,57.490,8.059
'[13:04:36.496]',0.930,0.440,0.590,0.238,1.114,56.903,8.001
'[13:04:36.504]',0.890,0.435,0.650,0.239,1.180,56.610,7.932
'[13:04:36.512]',0.875,0.460,0.690,0.240,1.282,56.415,7.932
'[13:04:36.520]',0.885,0.455,0.700,0.242,1.416,56.415,7.874
'[13:04:36.528]',0.880,0.460,0.710,0.244,1.584,56.610,7.688
'[13:04:36.536]',0.885,0.450,0.720,0.246,1.774,56.855,7.434
'[13:04:36.544]',0.890,0.460,0.715,0.249,1.978,57.294,7.063
'[13:04:36.552]',0.890,0.450,0.725,0.253,2.184,57.734,6.496
'[13:04:36.560]',0.895,0.455,0.720,0.258,2.378,58.173,5.812
'[13:04:36.568]',0.905,0.440,0.730,0.264,2.551,58.613,5.060
'[13:04:36.576]',0.905,0.440,0.720,0.271,2.698,58.906,4.494
'[13:04:36.584]',0.915,0.445,0.725,0.280,2.813,59.150,4.181
'[13:04:36.592]',0.925,0.435,0.720,0.290,2.897,59.297,4.435
'[13:04:36.600]',0.920,0.430,0.735,0.299,2.946,59.346,5.119
'[13:04:36.608]',0.930,0.420,0.725,0.309,2.966,59.297,6.125
'[13:04:36.616]',0.940,0.425,0.735,0.319,2.968,59.101,7.063
'[13:04:36.624]',0.950,0.405,0.730,0.329,2.950,58.808,7.434
'[13:04:36.632]',0.950,0.410,0.735,0.341,2.915,58.418,7.248
'[13:04:36.640]',0.960,0.390,0.725,0.353,2.864,57.978,6.496
'[13:04:36.648]',0.970,0.385,0.735,0.367,2.799,57.538,5.304
'[13:04:36.656]',0.980,0.370,0.725,0.382,2.720,57.196,3.937
'[13:04:36.664]',0.990,0.375,0.730,0.396,2.633,56.757,2.501
'[13:04:36.672]',1.000,0.355,0.730,0.410,2.541,56.317,1.309
'[13:04:36.680]',1.005,0.360,0.745,0.424,2.443,55.780,0.625
'[13:04:36.688]',1.015,0.350,0.735,0.438,2.342,55.292,0.498
'[13:04:36.696]',1.015,0.365,0.750,0.455,2.250,55.096,0.811
'[13:04:36.704]',1.005,0.360,0.755,0.471,2.165,55.633,1.495
'[13:04:36.712]',1.000,0.380,0.765,0.490,2.070,57.099,2.374
'[13:04:36.720]',0.995,0.380,0.755,0.509,1.972,60.127,3.185
'[13:04:36.728]',0.975,0.400,0.770,0.528,1.872,64.572,3.683
'[13:04:36.736]',0.975,0.400,0.760,0.548,1.774,70.238,3.810
'[13:04:36.744]',0.965,0.415,0.770,0.568,1.677,76.685,3.556
'[13:04:36.752]',0.965,0.415,0.760,0.587,1.586,83.230,3.312
'[13:04:36.760]',0.955,0.415,0.760,0.604,1.500,89.238,3.058
'[13:04:36.768]',0.960,0.420,0.765,0.622,1.422,94.416,3.126
'[13:04:36.776]',0.965,0.415,0.755,0.637,1.354,98.567,3.439
'[13:04:36.784]',0.970,0.410,0.765,0.653,1.295,101.596,4.122
'[13:04:36.792]',0.960,0.415,0.760,0.667,1.248,103.598,4.933
'[13:04:36.800]',0.965,0.410,0.770,0.682,1.216,104.575,5.617
'[13:04:36.808]',0.975,0.410,0.770,0.695,1.194,104.478,6.057
'[13:04:36.816]',0.975,0.415,0.780,0.709,1.172,103.598,6.125
'[13:04:36.824]',0.975,0.405,0.775,0.721,1.154,101.938,5.998
'[13:04:36.832]',1.000,0.410,0.795,0.733,1.142,99.740,5.744
'[13:04:36.840]',1.020,0.390,0.790,0.744,1.133,97.249,5.500
'[13:04:36.848]',1.030,0.380,0.790,0.755,1.129,94.562,5.431
'[13:04:36.856]',1.035,0.370,0.785,0.765,1.127,91.729,5.685
'[13:04:36.864]',1.020,0.385,0.790,0.775,1.126,88.994,6.242
'[13:04:36.872]',0.990,0.390,0.760,0.785,1.125,86.259,6.994
'[13:04:36.880]',0.960,0.415,0.755,0.795,1.125,83.572,7.688
'[13:04:36.888]',0.945,0.420,0.730,0.806,1.122,80.984,7.932
'[13:04:36.896]',0.935,0.435,0.740,0.817,1.120,78.541,7.874
'[13:04:36.904]',0.930,0.430,0.730,0.828,1.117,76.197,7.688
'[13:04:36.912]',0.925,0.440,0.740,0.839,1.111,73.901,7.493
'[13:04:36.920]',0.925,0.435,0.725,0.849,1.105,71.752,7.375
'[13:04:36.928]',0.915,0.440,0.730,0.859,1.097,69.554,7.307
'[13:04:36.936]',0.920,0.440,0.740,0.869,1.087,67.503,7.375
'[13:04:36.944]',0.915,0.420,0.780,0.878,1.076,65.402,7.620
'[13:04:36.952]',1.075,0.310,0.850,0.889,1.068,63.546,7.932
'[13:04:36.960]',1.470,0.080,0.950,0.900,1.064,61.934,8.245
'[13:04:36.968]',1.500,-0.005,0.920,0.912,1.065,60.616,8.557
'[13:04:36.976]',1.260,0.300,0.740,0.923,1.080,59.590,8.811
'[13:04:36.984]',1.000,0.415,0.575,0.934,1.116,58.808,8.870
'[13:04:36.992]',0.910,0.430,0.615,0.946,1.181,58.320,8.870
'[13:04:37.000]',0.880,0.450,0.675,0.956,1.259,57.929,8.870
'[13:04:37.008]',0.880,0.460,0.695,0.967,1.359,57.734,8.870
'[13:04:37.016]',0.880,0.460,0.715,0.978,1.498,57.734,8.870
'[13:04:37.024]',0.885,0.455,0.705,0.989,1.667,57.929,8.811
'[13:04:37.032]',0.885,0.460,0.715,0.995,1.857,58.222,8.557
'[13:04:37.040]',0.885,0.455,0.705,1.000,2.059,58.613,8.118
'[13:04:37.048]',0.895,0.450,0.720,1.000,2.259,59.101,7.493
'[13:04:37.056]',0.905,0.440,0.710,1.000,2.448,59.541,6.750
'[13:04:37.064]',0.905,0.445,0.720,1.000,2.616,59.981,6.184
'[13:04:37.072]',0.910,0.435,0.720,1.000,2.757,60.322,5.930
'[13:04:37.080]',0.910,0.435,0.725,1.000,2.864,60.469,6.057
'[13:04:37.088]',0.920,0.430,0.720,1.000,2.938,60.616,6.438
'[13:04:37.096]',0.915,0.435,0.730,1.000,2.976,60.616,7.063
'[13:04:37.104]',0.925,0.425,0.720,1.000,2.986,60.420,7.561
'[13:04:37.112]',0.925,0.425,0.735,1.000,2.980,60.225,7.874
'[13:04:37.120]',0.940,0.415,0.725,1.000,2.957,59.932,7.747
'[13:04:37.128]',0.945,0.410,0.735,1.000,2.918,59.590,7.375
'[13:04:37.136]',0.950,0.390,0.740,1.000,2.865,59.248,6.750
'[13:04:37.144]',0.955,0.385,0.735,1.000,2.801,58.808,5.930
'[13:04:37.152]',0.970,0.375,0.745,1.000,2.725,58.369,5.002
'[13:04:37.160]',0.975,0.375,0.735,1.000,2.640,57.880,4.181
'[13:04:37.168]',0.985,0.365,0.745,1.000,2.548,57.441,3.556
'[13:04:37.176]',0.990,0.365,0.740,1.000,2.450,57.001,3.243
'[13:04:37.184]',1.000,0.365,0.745,1.000,2.348,56.610,3.185
'[13:04:37.192]',0.995,0.365,0.750,1.000,2.256,56.610,3.243
'[13:04:37.200]',1.000,0.375,0.760,1.000,2.169,57.441,3.439
'[13:04:37.208]',0.990,0.370,0.755,1.000,2.072,59.443,3.624
'[13:04:37.216]',0.980,0.390,0.770,1.000,1.973,63.009,3.810
'[13:04:37.224]',0.975,0.390,0.765,1.000,1.873,68.089,3.810
'[13:04:37.232]',0.970,0.405,0.770,1.000,1.775,74.487,3.868
'[13:04:37.240]',0.965,0.405,0.755,1.000,1.680,81.277,3.937
'[13:04:37.248]',0.965,0.415,0.765,1.000,1.590,87.919,4.064
'[13:04:37.256]',0.965,0.405,0.750,1.000,1.507,93.732,4.308
'[13:04:37.264]',0.965,0.410,0.760,1.000,1.433,98.567,4.621
'[13:04:37.272]',0.970,0.405,0.750,1.000,1.367,102.231,5.002
'[13:04:37.280]',0.965,0.410,0.760,1.000,1.308,104.868,5.373
'[13:04:37.288]',0.975,0.405,0.755,1.000,1.259,106.382,5.558
'[13:04:37.296]',0.970,0.415,0.775,1.000,1.226,106.920,5.617
'[13:04:37.304]',0.980,0.405,0.770,1.000,1.202,106.480,5.500
'[13:04:37.312]',0.975,0.415,0.775,1.000,1.181,105.113,5.304
'[13:04:37.320]',0.990,0.395,0.790,1.000,1.163,103.110,5.060
'[13:04:37.328]',1.010,0.390,0.790,1.000,1.151,100.619,4.933
'[13:04:37.336]',1.030,0.375,0.780,1.000,1.142,97.884,4.933
'[13:04:37.344]',1.040,0.370,0.785,1.000,1.138,95.002,5.119
'[13:04:37.352]',1.035,0.365,0.770,1.000,1.136,92.071,5.431
'[13:04:37.360]',1.010,0.385,0.770,1.000,1.135,89.092,5.930
'[13:04:37.368]',0.975,0.395,0.750,1.000,1.134,86.259,6.496
'[13:04:37.376]',0.950,0.415,0.745,1.000,1.134,83.426,6.682
'[13:04:37.384]',0.940,0.425,0.735,1.000,1.132,80.739,6.555
'[13:04:37.392]',0.930,0.430,0.730,1.000,1.131,78.297,6.184
'[13:04:37.400]',0.935,0.435,0.735,1.000,1.131,76.001,5.871
'[13:04:37.408]',0.930,0.420,0.720,1.000,1.127,73.755,5.812
'[13:04:37.416]',0.930,0.435,0.730,1.000,1.120,71.508,5.871
'[13:04:37.424]',0.925,0.425,0.720,1.000,1.109,69.310,6.057
'[13:04:37.432]',0.920,0.435,0.745,1.000,1.095,67.112,6.369
'[13:04:37.440]',0.960,0.375,0.785,1.000,1.082,65.060,6.750
'[13:04:37.448]',1.225,0.210,0.900,1.000,1.069,63.155,7.063
'[13:04:37.456]',1.500,-0.005,0.955,1.000,1.064,61.592,7.307
'[13:04:37.464]',1.425,0.175,0.885,1.000,1.068,60.371,7.434
'[13:04:37.472]',1.115,0.380,0.665,1.000,1.091,59.346,7.434
'[13:04:37.480]',0.960,0.415,0.600,1.000,1.140,58.613,7.493
'[13:04:37.488]',0.905,0.425,0.645,1.000,1.219,58.027,7.561
'[13:04:37.496]',0.885,0.450,0.690,1.000,1.312,57.685,7.561
'[13:04:37.504]',0.890,0.445,0.700,1.000,1.424,57.490,7.561
'[13:04:37.512]',0.885,0.455,0.710,1.000,1.578,57.538,7.493
'[13:04:37.520]',0.895,0.440,0.710,1.000,1.759,57.685,7.375
'[13:04:37.528]',0.890,0.455,0.720,1.000,1.958,57.978,6.994
'[13:04:37.536]',0.895,0.440,0.715,1.000,2.162,58.369,6.438
'[13:04:37.544]',0.895,0.450,0.720,1.000,2.359,58.808,5.617
'[13:04:37.552]',0.905,0.435,0.720,1.000,2.539,59.297,4.748
