'Time','ABP','PLETH','II'
'[23:07:14.248]',96.094,0.600,0.094
'[23:07:14.256]',95.312,0.624,0.110
'[23:07:14.264]',94.531,0.639,0.126
'[23:07:14.272]',93.750,0.659,0.165
'[23:07:14.280]',92.969,0.671,0.205
'[23:07:14.288]',92.188,0.686,0.213
'[23:07:14.296]',92.188,0.694,0.220
'[23:07:14.304]',91.406,0.702,0.165
'[23:07:14.312]',90.625,0.710,0.118
'[23:07:14.320]',90.625,0.714,0.087
'[23:07:14.328]',89.844,0.718,0.047
'[23:07:14.336]',89.062,0.718,0.039
'[23:07:14.344]',89.062,0.718,0.031
'[23:07:14.352]',88.281,0.714,0.031
'[23:07:14.360]',87.500,0.710,0.031
'[23:07:14.368]',87.500,0.706,0.016
'[23:07:14.376]',86.719,0.698,0.000
'[23:07:14.384]',85.938,0.686,0.157
'[23:07:14.392]',85.156,0.675,0.512
'[23:07:14.400]',84.375,0.663,0.984
'[23:07:14.408]',84.375,0.647,1.173
'[23:07:14.416]',83.594,0.627,0.976
'[23:07:14.424]',82.812,0.612,0.520
'[23:07:14.432]',82.031,0.596,0.236
'[23:07:14.440]',81.250,0.580,0.110
'[23:07:14.448]',81.250,0.565,0.016
'[23:07:14.456]',80.469,0.549,-0.008
'[23:07:14.464]',80.469,0.533,-0.024
'[23:07:14.472]',79.688,0.518,-0.024
'[23:07:14.480]',78.906,0.502,-0.024
'[23:07:14.488]',78.906,0.490,-0.016
'[23:07:14.496]',78.125,0.475,-0.016
'[23:07:14.504]',77.344,0.463,0.000
'[23:07:14.512]',77.344,0.451,0.000
'[23:07:14.520]',76.562,0.439,0.008
'[23:07:14.528]',76.562,0.431,0.024
'[23:07:14.536]',75.781,0.424,0.024
'[23:07:14.544]',75.781,0.416,0.039
'[23:07:14.552]',75.000,0.408,0.055
'[23:07:14.560]',75.000,0.400,0.063
'[23:07:14.568]',74.219,0.392,0.071
'[23:07:14.576]',74.219,0.384,0.079
'[23:07:14.584]',73.438,0.380,0.094
'[23:07:14.592]',72.656,0.373,0.102
'[23:07:14.600]',72.656,0.365,0.118
'[23:07:14.608]',71.875,0.361,0.118
'[23:07:14.616]',71.875,0.353,0.134
'[23:07:14.624]',71.875,0.349,0.150
'[23:07:14.632]',71.875,0.345,0.165
'[23:07:14.640]',74.219,0.341,0.189
'[23:07:14.648]',77.344,0.337,0.205
'[23:07:14.656]',81.250,0.329,0.236
'[23:07:14.664]',86.719,0.325,0.252
'[23:07:14.672]',92.188,0.322,0.276
'[23:07:14.680]',96.875,0.318,0.299
'[23:07:14.688]',102.344,0.310,0.315
'[23:07:14.696]',107.031,0.306,0.323
'[23:07:14.704]',111.719,0.302,0.331
'[23:07:14.712]',116.406,0.298,0.307
'[23:07:14.720]',121.875,0.294,0.276
'[23:07:14.728]',126.562,0.290,0.236
'[23:07:14.736]',131.250,0.290,0.189
'[23:07:14.744]',135.938,0.286,0.157
'[23:07:14.752]',139.844,0.282,0.118
'[23:07:14.760]',143.750,0.282,0.094
'[23:07:14.768]',146.094,0.278,0.094
'[23:07:14.776]',148.438,0.275,0.079
'[23:07:14.784]',150.000,0.275,0.087
'[23:07:14.792]',151.562,0.271,0.079
'[23:07:14.800]',152.344,0.267,0.079
'[23:07:14.808]',152.344,0.267,0.079
'[23:07:14.816]',152.344,0.267,0.079
'[23:07:14.824]',151.562,0.263,0.079
'[23:07:14.832]',150.781,0.263,0.071
'[23:07:14.840]',149.219,0.263,0.071
'[23:07:14.848]',148.438,0.263,0.071
'[23:07:14.856]',146.875,0.259,0.071
'[23:07:14.864]',145.312,0.259,0.071
'[23:07:14.872]',143.750,0.259,0.079
'[23:07:14.880]',141.406,0.255,0.079
'[23:07:14.888]',139.062,0.259,0.079
'[23:07:14.896]',136.719,0.263,0.079
'[23:07:14.904]',133.594,0.271,0.079
'[23:07:14.912]',129.688,0.282,0.087
'[23:07:14.920]',126.562,0.298,0.079
'[23:07:14.928]',121.875,0.314,0.087
'[23:07:14.936]',117.969,0.333,0.087
'[23:07:14.944]',114.844,0.353,0.079
'[23:07:14.952]',111.719,0.376,0.079
'[23:07:14.960]',108.594,0.404,0.079
'[23:07:14.968]',106.250,0.427,0.079
'[23:07:14.976]',103.906,0.455,0.079
'[23:07:14.984]',101.562,0.482,0.071
'[23:07:14.992]',100.000,0.510,0.079
'[23:07:15.000]',98.438,0.533,0.079
'[23:07:15.008]',96.875,0.557,0.102
'[23:07:15.016]',96.094,0.584,0.126
'[23:07:15.024]',94.531,0.604,0.142
'[23:07:15.032]',93.750,0.624,0.165
'[23:07:15.040]',92.969,0.639,0.165
'[23:07:15.048]',92.188,0.651,0.236
'[23:07:15.056]',92.188,0.667,0.244
'[23:07:15.064]',91.406,0.678,0.252
'[23:07:15.072]',90.625,0.690,0.205
'[23:07:15.080]',90.625,0.698,0.150
'[23:07:15.088]',89.844,0.706,0.118
'[23:07:15.096]',89.844,0.710,0.071
'[23:07:15.104]',89.062,0.710,0.039
'[23:07:15.112]',88.281,0.714,0.031
'[23:07:15.120]',88.281,0.710,0.031
'[23:07:15.128]',87.500,0.710,0.024
'[23:07:15.136]',87.500,0.706,0.031
'[23:07:15.144]',86.719,0.698,0.000
'[23:07:15.152]',85.938,0.690,0.063
'[23:07:15.160]',85.156,0.678,0.307
'[23:07:15.168]',84.375,0.667,0.756
'[23:07:15.176]',84.375,0.655,1.157
'[23:07:15.184]',83.594,0.639,1.087
'[23:07:15.192]',82.812,0.624,0.756
'[23:07:15.200]',82.031,0.604,0.339
'[23:07:15.208]',82.031,0.588,0.165
'[23:07:15.216]',81.250,0.569,0.047
'[23:07:15.224]',80.469,0.553,-0.008
'[23:07:15.232]',79.688,0.537,-0.024
'[23:07:15.240]',79.688,0.522,-0.031
'[23:07:15.248]',78.906,0.506,-0.024
'[23:07:15.256]',78.906,0.494,-0.024
'[23:07:15.264]',78.125,0.478,-0.016
'[23:07:15.272]',77.344,0.467,-0.016
'[23:07:15.280]',76.562,0.455,-0.008
'[23:07:15.288]',76.562,0.443,-0.008
'[23:07:15.296]',75.781,0.435,0.000
'[23:07:15.304]',75.781,0.424,0.008
'[23:07:15.312]',75.000,0.416,0.024
'[23:07:15.320]',75.000,0.408,0.031
'[23:07:15.328]',74.219,0.400,0.039
'[23:07:15.336]',74.219,0.396,0.055
'[23:07:15.344]',73.438,0.388,0.063
'[23:07:15.352]',73.438,0.384,0.071
'[23:07:15.360]',72.656,0.376,0.079
'[23:07:15.368]',72.656,0.373,0.094
'[23:07:15.376]',71.875,0.369,0.102
'[23:07:15.384]',71.875,0.361,0.118
'[23:07:15.392]',71.875,0.357,0.134
'[23:07:15.400]',71.875,0.353,0.150
'[23:07:15.408]',73.438,0.345,0.165
'[23:07:15.416]',75.781,0.341,0.189
'[23:07:15.424]',79.688,0.337,0.213
'[23:07:15.432]',84.375,0.333,0.236
'[23:07:15.440]',89.844,0.333,0.260
'[23:07:15.448]',96.094,0.325,0.283
'[23:07:15.456]',101.562,0.322,0.299
'[23:07:15.464]',106.250,0.318,0.315
'[23:07:15.472]',110.938,0.314,0.323
'[23:07:15.480]',115.625,0.310,0.315
'[23:07:15.488]',120.312,0.306,0.291
'[23:07:15.496]',125.000,0.302,0.260
'[23:07:15.504]',129.688,0.298,0.213
'[23:07:15.512]',134.375,0.294,0.173
'[23:07:15.520]',139.062,0.290,0.134
'[23:07:15.528]',142.969,0.286,0.110
'[23:07:15.536]',146.094,0.286,0.094
'[23:07:15.544]',149.219,0.282,0.087
'[23:07:15.552]',150.781,0.278,0.079
'[23:07:15.560]',151.562,0.278,0.079
'[23:07:15.568]',152.344,0.275,0.071
'[23:07:15.576]',153.125,0.271,0.071
'[23:07:15.584]',153.125,0.271,0.071
'[23:07:15.592]',153.125,0.267,0.063
'[23:07:15.600]',152.344,0.263,0.071
'[23:07:15.608]',151.562,0.263,0.079
'[23:07:15.616]',150.000,0.259,0.079
'[23:07:15.624]',148.438,0.259,0.071
'[23:07:15.632]',146.875,0.259,0.071
'[23:07:15.640]',145.312,0.259,0.079
'[23:07:15.648]',142.969,0.259,0.079
'[23:07:15.656]',140.625,0.259,0.079
'[23:07:15.664]',138.281,0.263,0.079
'[23:07:15.672]',135.938,0.271,0.094
'[23:07:15.680]',132.812,0.278,0.094
'[23:07:15.688]',128.906,0.294,0.094
'[23:07:15.696]',125.000,0.314,0.094
'[23:07:15.704]',121.094,0.333,0.094
'[23:07:15.712]',117.188,0.361,0.094
'[23:07:15.720]',114.062,0.388,0.094
'[23:07:15.728]',110.938,0.412,0.087
'[23:07:15.736]',107.812,0.435,0.087
'[23:07:15.744]',105.469,0.459,0.094
'[23:07:15.752]',103.125,0.486,0.079
'[23:07:15.760]',101.562,0.514,0.087
'[23:07:15.768]',100.000,0.541,0.087
'[23:07:15.776]',98.438,0.569,0.087
'[23:07:15.784]',96.875,0.592,0.110
'[23:07:15.792]',96.094,0.616,0.134
'[23:07:15.800]',95.312,0.639,0.142
'[23:07:15.808]',93.750,0.659,0.165
'[23:07:15.816]',92.969,0.675,0.181
'[23:07:15.824]',92.188,0.690,0.236
'[23:07:15.832]',92.188,0.698,0.244
'[23:07:15.840]',91.406,0.706,0.244
'[23:07:15.848]',90.625,0.718,0.205
'[23:07:15.856]',90.625,0.722,0.150
'[23:07:15.864]',89.844,0.725,0.118
'[23:07:15.872]',89.844,0.729,0.071
'[23:07:15.880]',89.062,0.729,0.055
'[23:07:15.888]',88.281,0.729,0.047
'[23:07:15.896]',87.500,0.729,0.047
'[23:07:15.904]',87.500,0.722,0.047
'[23:07:15.912]',86.719,0.718,0.039
'[23:07:15.920]',85.938,0.706,0.016
'[23:07:15.928]',85.938,0.698,0.110
'[23:07:15.936]',85.156,0.686,0.402
'[23:07:15.944]',84.375,0.675,0.858
'[23:07:15.952]',84.375,0.659,1.197
'[23:07:15.960]',83.594,0.643,1.063
'[23:07:15.968]',82.812,0.624,0.685
'[23:07:15.976]',82.031,0.608,0.307
'[23:07:15.984]',81.250,0.588,0.150
'[23:07:15.992]',81.250,0.569,0.039
'[23:07:16.000]',80.469,0.553,-0.008
'[23:07:16.008]',79.688,0.533,-0.016
'[23:07:16.016]',79.688,0.518,-0.024
'[23:07:16.024]',78.906,0.506,-0.024
'[23:07:16.032]',78.125,0.494,-0.016
'[23:07:16.040]',78.125,0.478,-0.016
'[23:07:16.048]',77.344,0.467,-0.008
'[23:07:16.056]',76.562,0.455,0.000
'[23:07:16.064]',76.562,0.447,0.000
'[23:07:16.072]',75.781,0.435,0.016
'[23:07:16.080]',75.000,0.427,0.024
'[23:07:16.088]',75.000,0.420,0.024
'[23:07:16.096]',74.219,0.412,0.039
'[23:07:16.104]',74.219,0.404,0.047
'[23:07:16.112]',73.438,0.396,0.055
'[23:07:16.120]',73.438,0.388,0.071
'[23:07:16.128]',72.656,0.384,0.079
'[23:07:16.136]',72.656,0.380,0.094
'[23:07:16.144]',71.875,0.373,0.094
'[23:07:16.152]',71.875,0.369,0.118
'[23:07:16.160]',71.094,0.365,0.118
'[23:07:16.168]',71.094,0.357,0.134
'[23:07:16.176]',71.875,0.353,0.150
'[23:07:16.184]',73.438,0.349,0.165
'[23:07:16.192]',76.562,0.341,0.189
'[23:07:16.200]',81.250,0.337,0.213
'[23:07:16.208]',85.938,0.333,0.236
'[23:07:16.216]',91.406,0.329,0.260
'[23:07:16.224]',96.875,0.322,0.283
'[23:07:16.232]',102.344,0.322,0.307
'[23:07:16.240]',107.031,0.318,0.315
'[23:07:16.248]',111.719,0.310,0.323
'[23:07:16.256]',116.406,0.306,0.315
'[23:07:16.264]',121.094,0.302,0.291
'[23:07:16.272]',126.562,0.298,0.244
'[23:07:16.280]',131.250,0.294,0.205
'[23:07:16.288]',135.938,0.286,0.165
'[23:07:16.296]',140.625,0.282,0.134
'[23:07:16.304]',143.750,0.278,0.110
'[23:07:16.312]',146.875,0.275,0.094
'[23:07:16.320]',150.000,0.271,0.094
'[23:07:16.328]',151.562,0.267,0.079
'[23:07:16.336]',153.125,0.267,0.071
'[23:07:16.344]',154.688,0.263,0.079
'[23:07:16.352]',154.688,0.259,0.079
'[23:07:16.360]',154.688,0.255,0.087
'[23:07:16.368]',153.906,0.251,0.079
'[23:07:16.376]',153.125,0.251,0.079
'[23:07:16.384]',151.562,0.247,0.079
'[23:07:16.392]',150.781,0.243,0.079
'[23:07:16.400]',149.219,0.243,0.079
'[23:07:16.408]',147.656,0.239,0.087
'[23:07:16.416]',145.312,0.239,0.087
'[23:07:16.424]',143.750,0.239,0.094
'[23:07:16.432]',141.406,0.239,0.094
'[23:07:16.440]',139.062,0.243,0.094
'[23:07:16.448]',136.719,0.251,0.094
'[23:07:16.456]',132.812,0.263,0.094
'[23:07:16.464]',129.688,0.278,0.094
'[23:07:16.472]',125.781,0.294,0.094
'[23:07:16.480]',121.875,0.318,0.094
'[23:07:16.488]',117.188,0.345,0.094
'[23:07:16.496]',114.062,0.369,0.094
'[23:07:16.504]',110.938,0.396,0.094
'[23:07:16.512]',107.812,0.427,0.102
'[23:07:16.520]',105.469,0.455,0.094
'[23:07:16.528]',103.125,0.478,0.094
'[23:07:16.536]',100.781,0.502,0.094
'[23:07:16.544]',99.219,0.525,0.102
'[23:07:16.552]',97.656,0.553,0.094
'[23:07:16.560]',96.875,0.576,0.094
'[23:07:16.568]',95.312,0.604,0.110
'[23:07:16.576]',94.531,0.627,0.126
'[23:07:16.584]',93.750,0.647,0.165
'[23:07:16.592]',92.969,0.667,0.181
'[23:07:16.600]',92.188,0.682,0.189
'[23:07:16.608]',91.406,0.698,0.228
'[23:07:16.616]',90.625,0.710,0.291
'[23:07:16.624]',90.625,0.718,0.307
'[23:07:16.632]',89.844,0.722,0.315
'[23:07:16.640]',89.062,0.725,0.283
'[23:07:16.648]',89.062,0.729,0.220
'[23:07:16.656]',88.281,0.729,0.181
'[23:07:16.664]',88.281,0.729,0.134
'[23:07:16.672]',87.500,0.729,0.110
'[23:07:16.680]',86.719,0.725,0.110
'[23:07:16.688]',86.719,0.718,0.102
'[23:07:16.696]',85.938,0.710,0.094
'[23:07:16.704]',85.156,0.702,0.094
'[23:07:16.712]',85.156,0.690,0.063
'[23:07:16.720]',84.375,0.675,0.118
'[23:07:16.728]',83.594,0.659,0.354
'[23:07:16.736]',82.812,0.647,0.795
'[23:07:16.744]',82.812,0.627,1.228
'[23:07:16.752]',82.031,0.612,1.260
'[23:07:16.760]',81.250,0.592,0.890
'[23:07:16.768]',80.469,0.573,0.457
'[23:07:16.776]',80.469,0.557,0.260
'[23:07:16.784]',79.688,0.537,0.134
'[23:07:16.792]',78.906,0.522,0.079
'[23:07:16.800]',78.906,0.502,0.063
'[23:07:16.808]',78.125,0.486,0.063
'[23:07:16.816]',77.344,0.475,0.063
'[23:07:16.824]',77.344,0.463,0.063
'[23:07:16.832]',76.562,0.451,0.071
'[23:07:16.840]',75.781,0.439,0.079
'[23:07:16.848]',75.781,0.431,0.094
'[23:07:16.856]',75.000,0.420,0.102
'[23:07:16.864]',75.000,0.412,0.110
'[23:07:16.872]',74.219,0.400,0.118
'[23:07:16.880]',74.219,0.392,0.134
'[23:07:16.888]',73.438,0.384,0.142
'[23:07:16.896]',73.438,0.376,0.165
'[23:07:16.904]',72.656,0.373,0.165
'[23:07:16.912]',72.656,0.365,0.173
'[23:07:16.920]',71.875,0.357,0.189
'[23:07:16.928]',71.875,0.353,0.197
'[23:07:16.936]',71.094,0.349,0.205
'[23:07:16.944]',70.312,0.345,0.220
'[23:07:16.952]',70.312,0.337,0.236
'[23:07:16.960]',70.312,0.333,0.244
'[23:07:16.968]',70.312,0.329,0.260
'[23:07:16.976]',71.875,0.322,0.283
'[23:07:16.984]',75.000,0.318,0.307
'[23:07:16.992]',79.688,0.314,0.331
'[23:07:17.000]',84.375,0.310,0.346
'[23:07:17.008]',89.844,0.306,0.370
'[23:07:17.016]',95.312,0.302,0.402
'[23:07:17.024]',100.781,0.298,0.409
'[23:07:17.032]',106.250,0.294,0.425
'[23:07:17.040]',110.938,0.290,0.433
'[23:07:17.048]',115.625,0.290,0.441
'[23:07:17.056]',120.312,0.286,0.417
'[23:07:17.064]',125.000,0.282,0.386
'[23:07:17.072]',130.469,0.278,0.331
'[23:07:17.080]',135.156,0.275,0.283
'[23:07:17.088]',139.844,0.271,0.244
'[23:07:17.096]',143.750,0.271,0.220
'[23:07:17.104]',146.875,0.267,0.205
'[23:07:17.112]',150.000,0.263,0.189
'[23:07:17.120]',152.344,0.263,0.181
'[23:07:17.128]',153.125,0.259,0.181
'[23:07:17.136]',154.688,0.259,0.181
'[23:07:17.144]',154.688,0.259,0.173
'[23:07:17.152]',154.688,0.259,0.165
'[23:07:17.160]',153.906,0.255,0.173
'[23:07:17.168]',153.125,0.255,0.165
'[23:07:17.176]',152.344,0.251,0.157
'[23:07:17.184]',150.781,0.251,0.150
'[23:07:17.192]',149.219,0.247,0.150
'[23:07:17.200]',148.438,0.247,0.150
'[23:07:17.208]',146.875,0.243,0.150
'[23:07:17.216]',144.531,0.243,0.150
'[23:07:17.224]',142.969,0.243,0.150
'[23:07:17.232]',140.625,0.247,0.150
'[23:07:17.240]',137.500,0.255,0.150
'[23:07:17.248]',134.375,0.263,0.150
'[23:07:17.256]',130.469,0.275,0.142
'[23:07:17.264]',126.562,0.290,0.142
'[23:07:17.272]',122.656,0.314,0.134
'[23:07:17.280]',117.969,0.333,0.126
'[23:07:17.288]',114.062,0.361,0.126
'[23:07:17.296]',110.938,0.388,0.126
'[23:07:17.304]',107.812,0.412,0.118
'[23:07:17.312]',105.469,0.439,0.118
'[23:07:17.320]',103.125,0.463,0.110
'[23:07:17.328]',101.562,0.486,0.102
'[23:07:17.336]',100.000,0.510,0.102
'[23:07:17.344]',98.438,0.537,0.094
'[23:07:17.352]',96.875,0.561,0.094
'[23:07:17.360]',96.094,0.588,0.094
'[23:07:17.368]',94.531,0.612,0.094
'[23:07:17.376]',93.750,0.631,0.118
'[23:07:17.384]',92.969,0.655,0.134
'[23:07:17.392]',92.188,0.671,0.142
'[23:07:17.400]',91.406,0.686,0.165
'[23:07:17.408]',90.625,0.698,0.220
'[23:07:17.416]',90.625,0.710,0.236
'[23:07:17.424]',89.844,0.714,0.244
'[23:07:17.432]',89.844,0.718,0.228
'[23:07:17.440]',89.062,0.722,0.150
'[23:07:17.448]',89.062,0.725,0.102
'[23:07:17.456]',88.281,0.725,0.055
'[23:07:17.464]',88.281,0.725,0.016
'[23:07:17.472]',87.500,0.725,-0.008
'[23:07:17.480]',86.719,0.722,-0.016
'[23:07:17.488]',85.938,0.714,-0.016
'[23:07:17.496]',85.156,0.706,-0.024
'[23:07:17.504]',84.375,0.694,-0.063
'[23:07:17.512]',84.375,0.682,-0.071
'[23:07:17.520]',83.594,0.667,0.118
'[23:07:17.528]',82.812,0.651,0.496
'[23:07:17.536]',82.812,0.635,0.961
'[23:07:17.544]',82.031,0.616,1.087
'[23:07:17.552]',81.250,0.596,0.850
'[23:07:17.560]',80.469,0.580,0.386
'[23:07:17.568]',79.688,0.569,0.118
'[23:07:17.576]',79.688,0.553,-0.016
'[23:07:17.584]',78.906,0.537,-0.102
'[23:07:17.592]',78.125,0.522,-0.142
'[23:07:17.600]',78.125,0.506,-0.142
'[23:07:17.608]',77.344,0.494,-0.150
'[23:07:17.616]',76.562,0.482,-0.142
'[23:07:17.624]',76.562,0.471,-0.150
'[23:07:17.632]',75.781,0.459,-0.150
'[23:07:17.640]',75.781,0.451,-0.142
'[23:07:17.648]',75.000,0.439,-0.142
'[23:07:17.656]',74.219,0.431,-0.142
'[23:07:17.664]',74.219,0.424,-0.134
'[23:07:17.672]',73.438,0.416,-0.134
'[23:07:17.680]',73.438,0.408,-0.126
'[23:07:17.688]',73.438,0.400,-0.118
'[23:07:17.696]',72.656,0.392,-0.110
'[23:07:17.704]',72.656,0.384,-0.102
'[23:07:17.712]',71.875,0.376,-0.102
'[23:07:17.720]',71.875,0.373,-0.094
'[23:07:17.728]',71.094,0.369,-0.087
'[23:07:17.736]',70.312,0.365,-0.087
'[23:07:17.744]',70.312,0.361,-0.071
'[23:07:17.752]',70.312,0.353,-0.063
'[23:07:17.760]',70.312,0.349,-0.055
'[23:07:17.768]',71.094,0.345,-0.047
'[23:07:17.776]',74.219,0.341,-0.024
'[23:07:17.784]',77.344,0.337,-0.008
'[23:07:17.792]',82.812,0.329,0.024
'[23:07:17.800]',87.500,0.325,0.039
'[23:07:17.808]',92.969,0.322,0.063
'[23:07:17.816]',98.438,0.318,0.071
'[23:07:17.824]',103.906,0.314,0.094
'[23:07:17.832]',108.594,0.310,0.102
'[23:07:17.840]',113.281,0.306,0.110
'[23:07:17.848]',117.969,0.302,0.079
'[23:07:17.856]',122.656,0.298,0.055
'[23:07:17.864]',127.344,0.294,0.008
'[23:07:17.872]',132.031,0.290,-0.039
'[23:07:17.880]',136.719,0.286,-0.079
'[23:07:17.888]',140.625,0.282,-0.118
'[23:07:17.896]',144.531,0.278,-0.134
'[23:07:17.904]',146.875,0.275,-0.142
'[23:07:17.912]',149.219,0.275,-0.157
'[23:07:17.920]',150.781,0.271,-0.165
'[23:07:17.928]',151.562,0.271,-0.165
'[23:07:17.936]',152.344,0.271,-0.165
'[23:07:17.944]',152.344,0.267,-0.165
'[23:07:17.952]',152.344,0.267,-0.173
'[23:07:17.960]',151.562,0.263,-0.173
'[23:07:17.968]',150.781,0.263,-0.165
'[23:07:17.976]',150.000,0.259,-0.173
'[23:07:17.984]',149.219,0.259,-0.173
'[23:07:17.992]',147.656,0.255,-0.173
'[23:07:18.000]',146.094,0.255,-0.165
'[23:07:18.008]',144.531,0.251,-0.165
'[23:07:18.016]',142.969,0.255,-0.165
'[23:07:18.024]',140.625,0.255,-0.165
'[23:07:18.032]',138.281,0.259,-0.165
'[23:07:18.040]',135.156,0.267,-0.165
'[23:07:18.048]',132.031,0.278,-0.157
'[23:07:18.056]',128.125,0.294,-0.157
'[23:07:18.064]',124.219,0.314,-0.157
'[23:07:18.072]',120.312,0.337,-0.165
'[23:07:18.080]',116.406,0.361,-0.165
'[23:07:18.088]',113.281,0.384,-0.165
'[23:07:18.096]',109.375,0.412,-0.165
'[23:07:18.104]',107.031,0.439,-0.165
'[23:07:18.112]',104.688,0.467,-0.165
'[23:07:18.120]',102.344,0.490,-0.165
'[23:07:18.128]',99.219,0.510,-0.165
'[23:07:18.136]',96.875,0.533,-0.165
'[23:07:18.144]',95.312,0.557,-0.165
'[23:07:18.152]',93.750,0.584,-0.142
'[23:07:18.160]',94.531,0.608,-0.110
'[23:07:18.168]',94.531,0.627,-0.102
'[23:07:18.176]',93.750,0.647,-0.079
'[23:07:18.184]',92.188,0.667,-0.047
'[23:07:18.192]',92.188,0.682,0.008
'[23:07:18.200]',92.188,0.694,0.024
'[23:07:18.208]',92.969,0.706,0.039
'[23:07:18.216]',92.188,0.718,-0.016
'[23:07:18.224]',90.625,0.722,-0.071
'[23:07:18.232]',89.062,0.725,-0.118
'[23:07:18.240]',88.281,0.729,-0.157
'[23:07:18.248]',87.500,0.729,-0.181
'[23:07:18.256]',87.500,0.729,-0.189
'[23:07:18.264]',86.719,0.729,-0.189
'[23:07:18.272]',85.938,0.725,-0.189
'[23:07:18.280]',85.156,0.722,-0.197
'[23:07:18.288]',84.375,0.714,-0.236
'[23:07:18.296]',83.594,0.706,-0.157
'[23:07:18.304]',83.594,0.694,0.110
'[23:07:18.312]',83.594,0.682,0.583
'[23:07:18.320]',82.812,0.671,0.945
'[23:07:18.328]',82.031,0.655,0.850
'[23:07:18.336]',81.250,0.639,0.512
'[23:07:18.344]',80.469,0.624,0.102
'[23:07:18.352]',80.469,0.608,-0.071
'[23:07:18.360]',79.688,0.588,-0.189
'[23:07:18.368]',79.688,0.573,-0.236
'[23:07:18.376]',78.906,0.553,-0.260
'[23:07:18.384]',78.906,0.537,-0.260
'[23:07:18.392]',78.125,0.522,-0.252
'[23:07:18.400]',77.344,0.506,-0.244
'[23:07:18.408]',76.562,0.494,-0.244
'[23:07:18.416]',76.562,0.482,-0.236
'[23:07:18.424]',75.781,0.471,-0.236
'[23:07:18.432]',75.000,0.459,-0.228
'[23:07:18.440]',75.000,0.451,-0.213
'[23:07:18.448]',74.219,0.439,-0.205
'[23:07:18.456]',74.219,0.431,-0.197
'[23:07:18.464]',73.438,0.420,-0.189
'[23:07:18.472]',73.438,0.412,-0.173
'[23:07:18.480]',72.656,0.404,-0.165
'[23:07:18.488]',72.656,0.396,-0.157
'[23:07:18.496]',71.875,0.388,-0.142
'[23:07:18.504]',71.875,0.380,-0.134
'[23:07:18.512]',71.094,0.376,-0.118
'[23:07:18.520]',71.094,0.369,-0.118
'[23:07:18.528]',70.312,0.365,-0.102
'[23:07:18.536]',70.312,0.361,-0.087
'[23:07:18.544]',71.094,0.357,-0.071
'[23:07:18.552]',72.656,0.349,-0.047
'[23:07:18.560]',75.000,0.345,-0.031
'[23:07:18.568]',79.688,0.341,-0.008
'[23:07:18.576]',84.375,0.337,0.024
'[23:07:18.584]',89.844,0.329,0.047
'[23:07:18.592]',95.312,0.325,0.063
'[23:07:18.600]',100.781,0.322,0.087
'[23:07:18.608]',105.469,0.318,0.094
'[23:07:18.616]',110.156,0.314,0.110
'[23:07:18.624]',114.844,0.310,0.102
'[23:07:18.632]',118.750,0.310,0.079
'[23:07:18.640]',124.219,0.306,0.039
'[23:07:18.648]',128.906,0.302,-0.008
'[23:07:18.656]',133.594,0.302,-0.047
'[23:07:18.664]',137.500,0.298,-0.071
'[23:07:18.672]',141.406,0.294,-0.102
'[23:07:18.680]',144.531,0.290,-0.118
'[23:07:18.688]',147.656,0.290,-0.134
'[23:07:18.696]',149.219,0.286,-0.134
'[23:07:18.704]',150.781,0.282,-0.134
'[23:07:18.712]',151.562,0.278,-0.142
'[23:07:18.720]',152.344,0.278,-0.134
'[23:07:18.728]',151.562,0.278,-0.142
'[23:07:18.736]',151.562,0.275,-0.142
'[23:07:18.744]',150.781,0.275,-0.142
'[23:07:18.752]',150.000,0.271,-0.142
'[23:07:18.760]',149.219,0.271,-0.142
'[23:07:18.768]',148.438,0.267,-0.142
'[23:07:18.776]',146.875,0.267,-0.142
'[23:07:18.784]',145.312,0.263,-0.134
'[23:07:18.792]',143.750,0.263,-0.134
'[23:07:18.800]',141.406,0.263,-0.134
'[23:07:18.808]',139.062,0.267,-0.126
'[23:07:18.816]',135.938,0.271,-0.118
'[23:07:18.824]',132.812,0.278,-0.118
'[23:07:18.832]',129.688,0.290,-0.126
'[23:07:18.840]',125.781,0.306,-0.118
'[23:07:18.848]',121.094,0.325,-0.126
'[23:07:18.856]',117.188,0.349,-0.134
'[23:07:18.864]',113.281,0.373,-0.126
'[23:07:18.872]',110.156,0.396,-0.134
'[23:07:18.880]',107.031,0.424,-0.134
'[23:07:18.888]',104.688,0.447,-0.134
'[23:07:18.896]',102.344,0.475,-0.134
'[23:07:18.904]',100.000,0.498,-0.134
'[23:07:18.912]',98.438,0.525,-0.134
'[23:07:18.920]',96.875,0.545,-0.134
'[23:07:18.928]',95.312,0.565,-0.118
'[23:07:18.936]',94.531,0.588,-0.087
'[23:07:18.944]',92.969,0.608,-0.063
'[23:07:18.952]',92.188,0.631,-0.055
'[23:07:18.960]',92.188,0.647,-0.031
'[23:07:18.968]',91.406,0.667,0.024
'[23:07:18.976]',90.625,0.682,0.063
'[23:07:18.984]',89.844,0.694,0.063
'[23:07:18.992]',89.062,0.706,0.055
'[23:07:19.000]',89.062,0.714,-0.016
'[23:07:19.008]',88.281,0.722,-0.071
'[23:07:19.016]',87.500,0.725,-0.110
'[23:07:19.024]',87.500,0.729,-0.142
'[23:07:19.032]',86.719,0.729,-0.157
'[23:07:19.040]',86.719,0.729,-0.165
