'Time','II','III','AVR','AVL','AVF','V','RESP','PLETH','ABP'
'[14:53:03.181]',1.175,-,-0.180,-,-,-0.500,0.162,1.950,84.806
'[14:53:03.189]',0.450,-,0.285,-,-,-0.281,0.168,1.958,84.489
'[14:53:03.197]',-0.025,-,0.620,-,-,0.315,0.174,1.959,84.241
'[14:53:03.205]',-0.100,-,0.650,-,-,0.520,0.181,1.954,84.127
'[14:53:03.213]',-0.160,-,0.700,-,-,0.585,0.188,1.945,83.994
'[14:53:03.221]',-0.155,-,0.680,-,-,0.600,0.195,1.934,83.994
'[14:53:03.229]',-0.196,-,0.720,-,-,0.615,0.203,1.920,84.127
'[14:53:03.237]',-0.200,-,0.700,-,-,0.610,0.211,1.904,84.171
'[14:53:03.245]',-0.191,-,0.725,-,-,0.615,0.221,1.886,84.241
'[14:53:03.253]',-0.205,-,0.700,-,-,0.620,0.231,1.865,84.241
'[14:53:03.261]',-0.180,-,0.695,-,-,0.605,0.243,1.841,84.127
'[14:53:03.269]',-0.200,-,0.720,-,-,0.615,0.255,1.816,83.924
'[14:53:03.277]',-0.175,-,0.695,-,-,0.595,0.269,1.793,83.670
'[14:53:03.285]',-0.191,-,0.715,-,-,0.605,0.283,1.770,83.308
'[14:53:03.293]',-0.166,-,0.680,-,-,0.590,0.299,1.751,82.857
'[14:53:03.301]',-0.186,-,0.715,-,-,0.580,0.314,1.732,82.425
'[14:53:03.309]',-0.146,-,0.675,-,-,0.570,0.328,1.715,81.924
'[14:53:03.317]',-0.175,-,0.705,-,-,0.570,0.342,1.696,81.492
'[14:53:03.325]',-0.146,-,0.675,-,-,0.555,0.355,1.679,81.105
'[14:53:03.333]',-0.160,-,0.700,-,-,0.560,0.367,1.666,80.673
'[14:53:03.341]',-0.130,-,0.670,-,-,0.540,0.381,1.651,80.311
'[14:53:03.349]',-0.140,-,0.685,-,-,0.545,0.395,1.635,79.924
'[14:53:03.357]',-0.110,-,0.650,-,-,0.530,0.410,1.618,79.676
'[14:53:03.365]',-0.126,-,0.670,-,-,0.535,0.425,1.600,79.492
'[14:53:03.373]',-0.086,-,0.640,-,-,0.525,0.439,1.585,79.359
'[14:53:03.381]',-0.106,-,0.660,-,-,0.540,0.453,1.569,79.175
'[14:53:03.389]',-0.065,-,0.630,-,-,0.520,0.466,1.553,78.997
'[14:53:03.397]',-0.075,-,0.650,-,-,0.530,0.479,1.538,78.673
'[14:53:03.405]',-0.030,-,0.605,-,-,0.520,0.493,1.523,78.356
'[14:53:03.413]',-0.035,-,0.620,-,-,0.530,0.508,1.508,78.108
'[14:53:03.421]',0.010,-,0.575,-,-,0.515,0.523,1.493,77.994
'[14:53:03.429]',0.004,-,0.595,-,-,0.520,0.538,1.481,77.994
'[14:53:03.437]',0.044,-,0.550,-,-,0.510,0.554,1.471,78.063
'[14:53:03.445]',0.040,-,0.570,-,-,0.505,0.570,1.459,78.108
'[14:53:03.453]',0.070,-,0.535,-,-,0.500,0.585,1.447,78.063
'[14:53:03.461]',0.080,-,0.530,-,-,0.485,0.601,1.434,77.994
'[14:53:03.469]',0.055,-,0.550,-,-,0.470,0.615,1.421,78.108
'[14:53:03.477]',0.080,-,0.525,-,-,0.450,0.629,1.410,78.743
'[14:53:03.485]',0.044,-,0.555,-,-,0.435,0.643,1.401,80.559
'[14:53:03.493]',0.070,-,0.525,-,-,0.410,0.656,1.394,84.375
'[14:53:03.501]',0.020,-,0.575,-,-,0.400,0.670,1.388,90.921
'[14:53:03.509]',-0.000,-,0.555,-,-,0.390,0.684,1.383,100.432
'[14:53:03.517]',-0.041,-,0.610,-,-,0.400,0.698,1.378,112.063
'[14:53:03.525]',-0.055,-,0.605,-,-,0.385,0.712,1.376,124.235
'[14:53:03.533]',-0.090,-,0.645,-,-,0.400,0.725,1.375,135.549
'[14:53:03.541]',-0.081,-,0.630,-,-,0.390,0.738,1.372,144.749
'[14:53:03.549]',-0.135,-,0.675,-,-,0.405,0.750,1.369,151.060
'[14:53:03.557]',-0.126,-,0.660,-,-,0.395,0.762,1.364,154.057
'[14:53:03.565]',-0.160,-,0.695,-,-,0.410,0.773,1.357,153.810
'[14:53:03.573]',-0.135,-,0.665,-,-,0.400,0.784,1.349,150.876
'[14:53:03.581]',-0.160,-,0.695,-,-,0.410,0.793,1.341,146.381
'[14:53:03.589]',-0.130,-,0.665,-,-,0.405,0.803,1.332,141.314
'[14:53:03.597]',-0.160,-,0.695,-,-,0.415,0.811,1.324,136.432
'[14:53:03.605]',-0.126,-,0.665,-,-,0.410,0.819,1.314,131.803
'[14:53:03.613]',-0.151,-,0.695,-,-,0.415,0.826,1.304,127.619
'[14:53:03.621]',-0.130,-,0.665,-,-,0.405,0.833,1.293,123.803
'[14:53:03.629]',-0.151,-,0.690,-,-,0.420,0.839,1.284,120.375
'[14:53:03.637]',-0.126,-,0.665,-,-,0.425,0.844,1.280,117.175
'[14:53:03.645]',-0.140,-,0.680,-,-,0.410,0.848,1.273,114.108
'[14:53:03.653]',-0.146,-,0.655,-,-,0.420,0.851,1.266,111.067
'[14:53:03.661]',-0.120,-,0.675,-,-,0.405,0.854,1.263,107.860
'[14:53:03.669]',-0.146,-,0.680,-,-,0.415,0.856,1.259,104.616
'[14:53:03.677]',-0.120,-,0.655,-,-,0.400,0.858,1.255,101.505
'[14:53:03.685]',-0.146,-,0.690,-,-,0.405,0.860,1.251,98.870
'[14:53:03.693]',-0.120,-,0.665,-,-,0.390,0.860,1.246,97.302
'[14:53:03.701]',-0.146,-,0.690,-,-,0.400,0.861,1.240,96.984
'[14:53:03.709]',-0.120,-,0.665,-,-,0.385,0.862,1.235,97.867
'[14:53:03.717]',-0.140,-,0.680,-,-,0.405,0.862,1.230,99.549
'[14:53:03.725]',-0.126,-,0.665,-,-,0.380,0.863,1.229,101.683
'[14:53:03.733]',-0.146,-,0.690,-,-,0.385,0.864,1.231,103.930
'[14:53:03.741]',-0.126,-,0.670,-,-,0.375,0.864,1.235,106.044
'[14:53:03.749]',-0.146,-,0.690,-,-,0.380,0.865,1.246,107.746
'[14:53:03.757]',-0.120,-,0.665,-,-,0.375,0.867,1.272,108.927
'[14:53:03.765]',-0.135,-,0.685,-,-,0.380,0.868,1.318,109.613
'[14:53:03.773]',-0.120,-,0.670,-,-,0.360,0.870,1.388,109.746
'[14:53:03.781]',-0.140,-,0.685,-,-,0.375,0.872,1.487,109.359
'[14:53:03.789]',-0.120,-,0.660,-,-,0.365,0.874,1.609,108.565
'[14:53:03.797]',-0.140,-,0.685,-,-,0.380,0.875,1.750,107.365
'[14:53:03.805]',-0.126,-,0.665,-,-,0.360,0.877,1.904,106.114
'[14:53:03.813]',-0.146,-,0.695,-,-,0.370,0.879,2.062,104.863
'[14:53:03.821]',-0.130,-,0.660,-,-,0.355,0.881,2.193,103.752
'[14:53:03.829]',-0.180,-,0.710,-,-,0.345,0.883,2.301,102.749
'[14:53:03.837]',-0.191,-,0.700,-,-,0.325,0.885,2.407,101.867
'[14:53:03.845]',-0.211,-,0.720,-,-,0.320,0.888,2.496,101.048
'[14:53:03.853]',-0.186,-,0.690,-,-,0.340,0.890,2.560,100.432
'[14:53:03.861]',-0.155,-,0.675,-,-,0.330,0.892,2.600,99.797
'[14:53:03.869]',-0.110,-,0.635,-,-,0.310,0.894,2.617,99.302
'[14:53:03.877]',-0.090,-,0.625,-,-,0.315,0.896,2.616,98.730
'[14:53:03.885]',-0.106,-,0.660,-,-,0.335,0.898,2.601,98.229
'[14:53:03.893]',-0.086,-,0.640,-,-,0.355,0.901,2.575,97.733
'[14:53:03.901]',-0.115,-,0.675,-,-,0.360,0.903,2.542,97.187
'[14:53:03.909]',-0.090,-,0.645,-,-,0.355,0.906,2.501,96.616
'[14:53:03.917]',-0.115,-,0.675,-,-,0.365,0.908,2.457,95.981
'[14:53:03.925]',-0.090,-,0.650,-,-,0.345,0.911,2.412,95.435
'[14:53:03.933]',-0.110,-,0.675,-,-,0.355,0.914,2.365,94.800
'[14:53:03.941]',-0.081,-,0.645,-,-,0.340,0.917,2.311,94.235
'[14:53:03.949]',-0.086,-,0.650,-,-,0.360,0.920,2.277,93.689
'[14:53:03.957]',-0.075,-,0.640,-,-,0.340,0.922,2.255,93.124
'[14:53:03.965]',-0.090,-,0.660,-,-,0.355,0.925,2.219,92.622
'[14:53:03.973]',-0.050,-,0.625,-,-,0.340,0.927,2.180,92.051
'[14:53:03.981]',-0.075,-,0.650,-,-,0.350,0.930,2.146,91.625
'[14:53:03.989]',-0.041,-,0.615,-,-,0.330,0.933,2.119,91.124
'[14:53:03.997]',0.035,-,0.575,-,-,0.320,0.937,2.102,90.667
'[14:53:04.005]',0.455,-,0.295,-,-,0.075,0.940,2.093,90.235
'[14:53:04.013]',0.980,-,0.030,-,-,-0.500,0.944,2.092,89.740
'[14:53:04.021]',1.501,-,-0.336,-,-,-0.500,0.948,2.094,89.308
'[14:53:04.029]',1.501,-,-0.500,-,-,-0.500,0.951,2.097,88.876
'[14:53:04.037]',1.501,-,-0.500,-,-,-0.500,0.955,2.103,88.489
'[14:53:04.045]',1.310,-,-0.265,-,-,-0.500,0.959,2.109,88.171
'[14:53:04.053]',0.530,-,0.230,-,-,-0.346,0.964,2.113,87.873
'[14:53:04.061]',-0.000,-,0.605,-,-,0.280,0.968,2.114,87.670
'[14:53:04.069]',-0.110,-,0.665,-,-,0.515,0.973,2.111,87.556
'[14:53:04.077]',-0.166,-,0.705,-,-,0.580,0.978,2.104,87.486
'[14:53:04.085]',-0.186,-,0.720,-,-,0.600,0.982,2.090,87.486
'[14:53:04.093]',-0.211,-,0.705,-,-,0.595,0.987,2.072,87.556
'[14:53:04.101]',-0.220,-,0.740,-,-,0.615,0.992,2.052,87.556
'[14:53:04.109]',-0.200,-,0.715,-,-,0.610,0.996,2.031,87.556
'[14:53:04.117]',-0.236,-,0.745,-,-,0.620,1.000,2.010,87.486
'[14:53:04.125]',-0.205,-,0.715,-,-,0.605,1.000,1.990,87.308
'[14:53:04.133]',-0.220,-,0.740,-,-,0.615,1.000,1.974,87.054
'[14:53:04.141]',-0.186,-,0.700,-,-,0.595,1.000,1.956,86.737
'[14:53:04.149]',-0.200,-,0.725,-,-,0.600,1.000,1.936,86.305
'[14:53:04.157]',-0.175,-,0.695,-,-,0.580,1.000,1.915,85.873
'[14:53:04.165]',-0.196,-,0.720,-,-,0.585,1.000,1.894,85.378
'[14:53:04.173]',-0.171,-,0.690,-,-,0.565,1.000,1.875,84.876
'[14:53:04.181]',-0.191,-,0.720,-,-,0.570,1.000,1.856,84.311
'[14:53:04.189]',-0.151,-,0.675,-,-,0.560,1.000,1.838,83.670
'[14:53:04.197]',-0.166,-,0.700,-,-,0.565,1.000,1.819,83.060
'[14:53:04.205]',-0.140,-,0.675,-,-,0.545,1.000,1.800,82.425
'[14:53:04.213]',-0.155,-,0.700,-,-,0.545,1.000,1.779,81.854
'[14:53:04.221]',-0.120,-,0.660,-,-,0.540,1.000,1.760,81.422
'[14:53:04.229]',-0.130,-,0.675,-,-,0.535,1.000,1.741,81.105
'[14:53:04.237]',-0.110,-,0.650,-,-,0.545,1.000,1.723,80.813
'[14:53:04.245]',-0.120,-,0.670,-,-,0.530,1.000,1.705,80.610
'[14:53:04.253]',-0.090,-,0.640,-,-,0.535,1.000,1.687,80.311
'[14:53:04.261]',-0.075,-,0.650,-,-,0.530,1.000,1.671,80.063
'[14:53:04.269]',-0.081,-,0.620,-,-,0.545,1.000,1.653,79.810
'[14:53:04.277]',-0.035,-,0.605,-,-,0.535,1.000,1.635,79.606
'[14:53:04.285]',-0.045,-,0.625,-,-,0.545,1.000,1.617,79.606
'[14:53:04.293]',-0.000,-,0.585,-,-,0.535,1.000,1.599,79.676
'[14:53:04.301]',0.020,-,0.595,-,-,0.545,1.000,1.583,79.860
'[14:53:04.309]',0.050,-,0.550,-,-,0.525,1.000,1.567,79.994
'[14:53:04.317]',0.020,-,0.580,-,-,0.515,1.000,1.553,80.108
'[14:53:04.325]',0.044,-,0.550,-,-,0.500,1.000,1.544,80.241
'[14:53:04.333]',0.035,-,0.565,-,-,0.490,1.000,1.538,80.610
'[14:53:04.341]',0.060,-,0.535,-,-,0.450,1.000,1.530,81.492
'[14:53:04.349]',0.035,-,0.555,-,-,0.445,1.000,1.521,83.562
'[14:53:04.357]',0.050,-,0.535,-,-,0.410,1.000,1.512,87.625
'[14:53:04.365]',-0.000,-,0.580,-,-,0.405,1.000,1.503,94.438
'[14:53:04.373]',-0.005,-,0.570,-,-,0.390,1.000,1.495,104.000
'[14:53:04.381]',-0.050,-,0.620,-,-,0.390,1.000,1.486,115.422
'[14:53:04.389]',-0.055,-,0.615,-,-,0.380,1.000,1.477,127.371
'[14:53:04.397]',-0.106,-,0.655,-,-,0.390,1.000,1.468,138.254
'[14:53:04.405]',-0.100,-,0.640,-,-,0.385,1.000,1.460,146.743
'[14:53:04.413]',-0.135,-,0.675,-,-,0.400,0.992,1.454,152.311
'[14:53:04.421]',-0.126,-,0.660,-,-,0.385,0.984,1.451,154.629
'[14:53:04.429]',-0.151,-,0.690,-,-,0.395,0.973,1.449,153.879
'[14:53:04.437]',-0.146,-,0.670,-,-,0.385,0.962,1.444,150.876
'[14:53:04.445]',-0.166,-,0.700,-,-,0.395,0.950,1.435,146.495
'[14:53:04.453]',-0.171,-,0.675,-,-,0.400,0.939,1.426,141.816
'[14:53:04.461]',-0.140,-,0.670,-,-,0.395,0.926,1.416,137.295
'[14:53:04.469]',-0.166,-,0.700,-,-,0.405,0.912,1.406,133.117
'[14:53:04.477]',-0.146,-,0.675,-,-,0.395,0.897,1.396,129.371
'[14:53:04.485]',-0.160,-,0.695,-,-,0.405,0.882,1.385,125.943
'[14:53:04.493]',-0.126,-,0.660,-,-,0.395,0.868,1.374,122.806
'[14:53:04.501]',-0.146,-,0.680,-,-,0.410,0.854,1.364,119.810
'[14:53:04.509]',-0.126,-,0.660,-,-,0.395,0.840,1.352,116.743
'[14:53:04.517]',-0.151,-,0.695,-,-,0.400,0.827,1.341,113.429
'[14:53:04.525]',-0.126,-,0.665,-,-,0.385,0.812,1.333,109.816
'[14:53:04.533]',-0.151,-,0.690,-,-,0.390,0.797,1.329,106.044
'[14:53:04.541]',-0.126,-,0.660,-,-,0.375,0.782,1.323,102.368
'[14:53:04.549]',-0.140,-,0.690,-,-,0.380,0.767,1.316,99.365
'[14:53:04.557]',-0.115,-,0.655,-,-,0.375,0.751,1.313,97.479
'[14:53:04.565]',-0.146,-,0.690,-,-,0.380,0.735,1.310,97.048
'[14:53:04.573]',-0.120,-,0.665,-,-,0.370,0.718,1.306,97.867
'[14:53:04.581]',-0.146,-,0.680,-,-,0.375,0.702,1.303,99.683
'[14:53:04.589]',-0.120,-,0.655,-,-,0.360,0.687,1.302,102.000
'[14:53:04.597]',-0.146,-,0.690,-,-,0.375,0.673,1.303,104.432
'[14:53:04.605]',-0.126,-,0.660,-,-,0.360,0.659,1.311,106.679
'[14:53:04.613]',-0.146,-,0.685,-,-,0.375,0.646,1.329,108.432
'[14:53:04.621]',-0.126,-,0.660,-,-,0.360,0.633,1.359,109.613
'[14:53:04.629]',-0.146,-,0.685,-,-,0.365,0.620,1.404,110.248
'[14:53:04.637]',-0.120,-,0.655,-,-,0.360,0.607,1.475,110.248
'[14:53:04.645]',-0.130,-,0.675,-,-,0.360,0.594,1.574,109.676
'[14:53:04.653]',-0.120,-,0.660,-,-,0.365,0.582,1.699,108.679
'[14:53:04.661]',-0.135,-,0.680,-,-,0.360,0.570,1.846,107.365
'[14:53:04.669]',-0.146,-,0.685,-,-,0.365,0.559,2.005,105.930
'[14:53:04.677]',-0.110,-,0.655,-,-,0.360,0.548,2.166,104.546
'[14:53:04.685]',-0.140,-,0.685,-,-,0.355,0.538,2.319,103.251
'[14:53:04.693]',-0.126,-,0.655,-,-,0.335,0.527,2.453,102.184
'[14:53:04.701]',-0.191,-,0.710,-,-,0.325,0.516,2.563,101.187
'[14:53:04.709]',-0.180,-,0.685,-,-,0.310,0.505,2.648,100.432
'[14:53:04.717]',-0.205,-,0.715,-,-,0.320,0.495,2.707,99.797
'[14:53:04.725]',-0.155,-,0.660,-,-,0.310,0.484,2.737,99.302
'[14:53:04.733]',-0.130,-,0.645,-,-,0.325,0.474,2.748,98.800
'[14:53:04.741]',-0.086,-,0.620,-,-,0.295,0.464,2.747,98.368
'[14:53:04.749]',-0.095,-,0.645,-,-,0.310,0.455,2.735,97.867
'[14:53:04.757]',-0.081,-,0.630,-,-,0.325,0.446,2.715,97.371
'[14:53:04.765]',-0.115,-,0.675,-,-,0.345,0.439,2.686,96.870
'[14:53:04.773]',-0.086,-,0.650,-,-,0.335,0.431,2.649,96.298
'[14:53:04.781]',-0.106,-,0.675,-,-,0.345,0.423,2.605,95.689
'[14:53:04.789]',-0.065,-,0.630,-,-,0.335,0.415,2.555,95.054
'[14:53:04.797]',-0.100,-,0.665,-,-,0.345,0.407,2.500,94.438
'[14:53:04.805]',-0.070,-,0.630,-,-,0.340,0.399,2.440,93.733
'[14:53:04.813]',-0.095,-,0.670,-,-,0.350,0.392,2.379,93.124
'[14:53:04.821]',-0.070,-,0.635,-,-,0.335,0.385,2.326,92.552
'[14:53:04.829]',-0.090,-,0.655,-,-,0.345,0.378,2.276,91.987
'[14:53:04.837]',-0.061,-,0.625,-,-,0.335,0.372,2.226,91.371
'[14:53:04.845]',-0.075,-,0.645,-,-,0.340,0.367,2.182,90.806
'[14:53:04.853]',-0.045,-,0.620,-,-,0.345,0.362,2.148,90.235
'[14:53:04.861]',-0.015,-,0.600,-,-,0.325,0.357,2.125,89.670
'[14:53:04.869]',0.260,-,0.415,-,-,0.250,0.352,2.113,89.124
'[14:53:04.877]',0.755,-,0.140,-,-,-0.291,0.348,2.111,88.667
'[14:53:04.885]',1.336,-,-0.171,-,-,-0.500,0.344,2.114,88.241
'[14:53:04.893]',1.501,-,-0.456,-,-,-0.500,0.340,2.120,87.810
'[14:53:04.901]',1.501,-,-0.500,-,-,-0.500,0.336,2.128,87.486
'[14:53:04.909]',1.406,-,-0.305,-,-,-0.500,0.333,2.134,87.168
'[14:53:04.917]',0.735,-,0.109,-,-,-0.500,0.329,2.137,86.921
'[14:53:04.925]',0.100,-,0.535,-,-,0.105,0.326,2.136,86.673
'[14:53:04.933]',-0.095,-,0.665,-,-,0.450,0.323,2.131,86.559
'[14:53:04.941]',-0.120,-,0.660,-,-,0.545,0.320,2.122,86.559
'[14:53:04.949]',-0.166,-,0.705,-,-,0.585,0.318,2.108,86.559
'[14:53:04.957]',-0.180,-,0.700,-,-,0.585,0.315,2.088,86.629
'[14:53:04.965]',-0.205,-,0.735,-,-,0.605,0.313,2.065,86.673
'[14:53:04.973]',-0.191,-,0.705,-,-,0.595,0.311,2.040,86.737
'[14:53:04.981]',-0.205,-,0.725,-,-,0.605,0.309,2.017,86.737
'[14:53:04.989]',-0.180,-,0.700,-,-,0.590,0.307,1.996,86.629
'[14:53:04.997]',-0.196,-,0.720,-,-,0.590,0.305,1.978,86.419
'[14:53:05.005]',-0.166,-,0.695,-,-,0.580,0.303,1.960,86.127
'[14:53:05.013]',-0.186,-,0.720,-,-,0.585,0.301,1.940,85.670
'[14:53:05.021]',-0.166,-,0.695,-,-,0.570,0.300,1.922,85.175
'[14:53:05.029]',-0.175,-,0.710,-,-,0.570,0.299,1.903,84.629
'[14:53:05.037]',-0.155,-,0.685,-,-,0.560,0.298,1.884,84.057
'[14:53:05.045]',-0.155,-,0.695,-,-,0.550,0.297,1.865,83.422
'[14:53:05.053]',-0.140,-,0.675,-,-,0.555,0.296,1.846,82.857
'[14:53:05.061]',-0.151,-,0.695,-,-,0.545,0.295,1.824,82.356
'[14:53:05.069]',-0.155,-,0.680,-,-,0.535,0.294,1.803,81.924
'[14:53:05.077]',-0.126,-,0.670,-,-,0.530,0.293,1.782,81.562
'[14:53:05.085]',-0.130,-,0.680,-,-,0.535,0.293,1.761,81.175
'[14:53:05.093]',-0.110,-,0.660,-,-,0.520,0.292,1.742,80.857
'[14:53:05.101]',-0.120,-,0.680,-,-,0.520,0.292,1.723,80.610
'[14:53:05.109]',-0.095,-,0.650,-,-,0.510,0.293,1.705,80.425
'[14:53:05.117]',-0.100,-,0.665,-,-,0.520,0.293,1.687,80.241
'[14:53:05.125]',-0.055,-,0.625,-,-,0.510,0.294,1.672,80.063
'[14:53:05.133]',-0.070,-,0.650,-,-,0.520,0.294,1.657,79.810
'[14:53:05.141]',-0.025,-,0.605,-,-,0.510,0.295,1.639,79.562
'[14:53:05.149]',-0.010,-,0.620,-,-,0.515,0.295,1.620,79.359
'[14:53:05.157]',0.024,-,0.575,-,-,0.505,0.296,1.600,79.244
'[14:53:05.165]',0.020,-,0.585,-,-,0.510,0.296,1.582,79.244
'[14:53:05.173]',0.060,-,0.550,-,-,0.500,0.297,1.563,79.314
'[14:53:05.181]',0.044,-,0.570,-,-,0.495,0.298,1.546,79.314
'[14:53:05.189]',0.075,-,0.535,-,-,0.475,0.300,1.531,79.244
'[14:53:05.197]',0.055,-,0.555,-,-,0.470,0.301,1.516,79.105
'[14:53:05.205]',0.085,-,0.530,-,-,0.440,0.302,1.503,78.997
'[14:53:05.213]',0.050,-,0.555,-,-,0.430,0.304,1.493,79.314
'[14:53:05.221]',0.055,-,0.540,-,-,0.400,0.305,1.485,80.356
'[14:53:05.229]',0.015,-,0.575,-,-,0.395,0.306,1.478,82.857
'[14:53:05.237]',0.004,-,0.580,-,-,0.380,0.308,1.470,87.625
'[14:53:05.245]',-0.041,-,0.610,-,-,0.385,0.309,1.463,95.054
'[14:53:05.253]',-0.050,-,0.620,-,-,0.390,0.310,1.457,104.794
'[14:53:05.261]',-0.090,-,0.650,-,-,0.380,0.310,1.453,115.810
'[14:53:05.269]',-0.110,-,0.655,-,-,0.390,0.311,1.448,126.737
'[14:53:05.277]',-0.106,-,0.650,-,-,0.385,0.311,1.443,136.254
'[14:53:05.285]',-0.146,-,0.690,-,-,0.405,0.312,1.438,143.429
'[14:53:05.293]',-0.130,-,0.665,-,-,0.390,0.312,1.434,147.632
'[14:53:05.301]',-0.151,-,0.690,-,-,0.405,0.312,1.429,148.743
'[14:53:05.309]',-0.135,-,0.670,-,-,0.400,0.312,1.423,147.067
'[14:53:05.317]',-0.155,-,0.700,-,-,0.405,0.312,1.416,143.314
'[14:53:05.325]',-0.130,-,0.665,-,-,0.395,0.311,1.411,138.317
'[14:53:05.333]',-0.166,-,0.705,-,-,0.405,0.309,1.405,132.933
'[14:53:05.341]',-0.126,-,0.665,-,-,0.400,0.306,1.397,127.441
'[14:53:05.349]',-0.140,-,0.685,-,-,0.410,0.303,1.387,122.057
'[14:53:05.357]',-0.120,-,0.665,-,-,0.400,0.299,1.376,116.813
'[14:53:05.365]',-0.140,-,0.685,-,-,0.405,0.295,1.365,111.676
'[14:53:05.373]',-0.115,-,0.655,-,-,0.390,0.290,1.352,106.863
'[14:53:05.381]',-0.130,-,0.675,-,-,0.400,0.285,1.338,102.616
'[14:53:05.389]',-0.110,-,0.650,-,-,0.390,0.280,1.326,99.048
'[14:53:05.397]',-0.135,-,0.690,-,-,0.400,0.275,1.317,96.235
'[14:53:05.405]',-0.115,-,0.665,-,-,0.380,0.270,1.310,94.051
'[14:53:05.413]',-0.135,-,0.685,-,-,0.390,0.265,1.305,92.438
'[14:53:05.421]',-0.110,-,0.655,-,-,0.380,0.259,1.305,91.689
'[14:53:05.429]',-0.126,-,0.680,-,-,0.390,0.254,1.307,91.873
'[14:53:05.437]',-0.120,-,0.655,-,-,0.380,0.247,1.306,93.054
'[14:53:05.445]',-0.135,-,0.680,-,-,0.380,0.241,1.302,94.984
'[14:53:05.453]',-0.146,-,0.665,-,-,0.375,0.235,1.298,97.232
'[14:53:05.461]',-0.126,-,0.690,-,-,0.370,0.230,1.295,99.683
'[14:53:05.469]',-0.146,-,0.670,-,-,0.380,0.225,1.293,101.937
'[14:53:05.477]',-0.120,-,0.665,-,-,0.370,0.221,1.293,103.797
'[14:53:05.485]',-0.146,-,0.695,-,-,0.380,0.215,1.299,105.111
'[14:53:05.493]',-0.120,-,0.665,-,-,0.365,0.210,1.317,105.930
'[14:53:05.501]',-0.140,-,0.690,-,-,0.380,0.204,1.353,106.248
'[14:53:05.509]',-0.115,-,0.665,-,-,0.365,0.198,1.413,106.000
'[14:53:05.517]',-0.146,-,0.690,-,-,0.375,0.192,1.483,105.251
'[14:53:05.525]',-0.120,-,0.665,-,-,0.365,0.187,1.569,104.114
'[14:53:05.533]',-0.146,-,0.690,-,-,0.370,0.182,1.685,102.794
'[14:53:05.541]',-0.120,-,0.660,-,-,0.360,0.177,1.822,101.435
'[14:53:05.549]',-0.140,-,0.680,-,-,0.360,0.172,1.970,100.114
'[14:53:05.557]',-0.120,-,0.660,-,-,0.345,0.168,2.117,98.870
'[14:53:05.565]',-0.180,-,0.705,-,-,0.335,0.164,2.254,97.733
'[14:53:05.573]',-0.180,-,0.695,-,-,0.320,0.160,2.373,96.730
'[14:53:05.581]',-0.211,-,0.720,-,-,0.330,0.157,2.469,95.937
'[14:53:05.589]',-0.175,-,0.675,-,-,0.320,0.153,2.538,95.232
'[14:53:05.597]',-0.155,-,0.670,-,-,0.330,0.151,2.579,94.686
'[14:53:05.605]',-0.106,-,0.635,-,-,0.305,0.148,2.593,94.190
'[14:53:05.613]',-0.095,-,0.650,-,-,0.315,0.146,2.588,93.689
'[14:53:05.621]',-0.075,-,0.635,-,-,0.320,0.144,2.572,93.302
'[14:53:05.629]',-0.110,-,0.675,-,-,0.350,0.142,2.543,92.870
'[14:53:05.637]',-0.095,-,0.655,-,-,0.340,0.141,2.501,92.483
'[14:53:05.645]',-0.110,-,0.675,-,-,0.345,0.139,2.450,92.051
'[14:53:05.653]',-0.095,-,0.650,-,-,0.350,0.138,2.391,91.689
'[14:53:05.661]',-0.106,-,0.645,-,-,0.340,0.137,2.327,91.302
'[14:53:05.669]',-0.086,-,0.670,-,-,0.360,0.136,2.262,90.870
'[14:53:05.677]',-0.075,-,0.640,-,-,0.350,0.135,2.196,90.489
'[14:53:05.685]',-0.095,-,0.665,-,-,0.360,0.134,2.135,90.121
'[14:53:05.693]',-0.075,-,0.640,-,-,0.350,0.133,2.079,89.670
'[14:53:05.701]',-0.090,-,0.660,-,-,0.360,0.132,2.032,89.238
'[14:53:05.709]',-0.065,-,0.635,-,-,0.340,0.132,1.995,88.806
'[14:53:05.717]',-0.075,-,0.655,-,-,0.350,0.132,1.969,88.305
'[14:53:05.725]',-0.045,-,0.625,-,-,0.335,0.132,1.952,87.810
'[14:53:05.733]',0.030,-,0.570,-,-,0.335,0.132,1.943,87.308
'[14:53:05.741]',0.410,-,0.325,-,-,0.135,0.133,1.942,86.806
'[14:53:05.749]',0.930,-,0.040,-,-,-0.500,0.134,1.947,86.305
'[14:53:05.757]',1.501,-,-0.321,-,-,-0.500,0.135,1.957,85.810
'[14:53:05.765]',1.501,-,-0.500,-,-,-0.500,0.136,1.970,85.308
'[14:53:05.773]',1.501,-,-0.466,-,-,-0.500,0.137,1.984,84.876
'[14:53:05.781]',1.050,-,-0.130,-,-,-0.500,0.138,1.996,84.425
'[14:53:05.789]',0.405,-,0.295,-,-,-0.310,0.139,2.003,84.127
'[14:53:05.797]',-0.025,-,0.620,-,-,0.285,0.140,2.005,83.879
'[14:53:05.805]',-0.110,-,0.660,-,-,0.505,0.141,2.002,83.670
'[14:53:05.813]',-0.171,-,0.715,-,-,0.575,0.143,1.993,83.625
'[14:53:05.821]',-0.166,-,0.700,-,-,0.590,0.144,1.983,83.625
'[14:53:05.829]',-0.196,-,0.730,-,-,0.610,0.146,1.971,83.670
'[14:53:05.837]',-0.180,-,0.710,-,-,0.600,0.148,1.953,83.740
