"'Time','I','II','AVR','V','RESP','PLETH','ABP'"
"'[16:46:16.120]',-,-0.039,0.795,0.904,0.237,0.509,66.884"
"'[16:46:16.128]',-,0.031,0.770,0.914,0.238,0.508,66.297"
"'[16:46:16.136]',-,0.051,0.766,0.904,0.239,0.507,65.906"
"'[16:46:16.144]',-,0.045,0.770,0.914,0.239,0.507,65.711"
"'[16:46:16.152]',-,0.035,0.779,0.904,0.240,0.507,65.319"
"'[16:46:16.160]',-,0.035,0.785,0.914,0.242,0.507,64.928"
"'[16:46:16.168]',-,0.031,0.789,0.910,0.244,0.507,64.733"
"'[16:46:16.176]',-,0.041,0.789,0.920,0.247,0.507,64.342"
"'[16:46:16.184]',-,0.045,0.789,0.924,0.249,0.507,64.146"
"'[16:46:16.192]',-,0.051,0.789,0.949,0.252,0.507,63.950"
"'[16:46:16.200]',-,0.051,0.789,0.945,0.256,0.507,63.559"
"'[16:46:16.208]',-,0.064,0.779,0.955,0.259,0.507,63.559"
"'[16:46:16.216]',-,0.076,0.785,0.959,0.263,0.507,63.364"
"'[16:46:16.224]',-,0.090,0.766,0.965,0.266,0.506,63.168"
"'[16:46:16.232]',-,0.086,0.770,0.969,0.269,0.504,62.973"
"'[16:46:16.240]',-,0.096,0.760,0.959,0.272,0.501,62.973"
"'[16:46:16.248]',-,0.100,0.760,0.975,0.275,0.498,62.777"
"'[16:46:16.256]',-,0.121,0.750,0.959,0.278,0.493,62.777"
"'[16:46:16.264]',-,0.131,0.744,0.975,0.281,0.487,62.777"
"'[16:46:16.272]',-,0.141,0.734,0.959,0.283,0.481,62.777"
"'[16:46:16.280]',-,0.150,0.730,0.955,0.286,0.474,62.973"
"'[16:46:16.288]',-,0.160,0.715,0.936,0.288,0.469,63.364"
"'[16:46:16.296]',-,0.170,0.709,0.939,0.290,0.464,63.950"
"'[16:46:16.304]',-,0.166,0.715,0.914,0.292,0.460,65.124"
"'[16:46:16.312]',-,0.166,0.699,0.904,0.293,0.457,66.884"
"'[16:46:16.320]',-,0.166,0.695,0.875,0.294,0.455,69.231"
"'[16:46:16.328]',-,0.166,0.689,0.865,0.296,0.450,72.164"
"'[16:46:16.336]',-,0.170,0.680,0.844,0.297,0.445,75.489"
"'[16:46:16.344]',-,0.180,0.670,0.844,0.298,0.439,79.009"
"'[16:46:16.352]',-,0.166,0.676,0.824,0.299,0.433,82.725"
"'[16:46:16.360]',-,0.166,0.670,0.840,0.300,0.427,86.441"
"'[16:46:16.368]',-,0.145,0.680,0.814,0.301,0.420,90.352"
"'[16:46:16.376]',-,0.150,0.670,0.820,0.303,0.414,94.459"
"'[16:46:16.384]',-,0.131,0.686,0.820,0.304,0.409,98.761"
"'[16:46:16.392]',-,0.121,0.680,0.820,0.306,0.403,103.064"
"'[16:46:16.400]',-,0.100,0.695,0.820,0.308,0.399,106.780"
"'[16:46:16.408]',-,0.096,0.695,0.814,0.310,0.396,109.713"
"'[16:46:16.416]',-,0.080,0.705,0.824,0.312,0.392,111.864"
"'[16:46:16.424]',-,0.076,0.699,0.814,0.314,0.389,113.233"
"'[16:46:16.432]',-,0.070,0.709,0.805,0.316,0.387,114.016"
"'[16:46:16.440]',-,0.064,0.705,0.799,0.318,0.386,114.602"
"'[16:46:16.448]',-,0.055,0.721,0.805,0.320,0.385,114.798"
"'[16:46:16.456]',-,0.051,0.709,0.789,0.322,0.384,114.407"
"'[16:46:16.464]',-,0.041,0.721,0.795,0.324,0.384,113.820"
"'[16:46:16.472]',-,0.025,0.721,0.779,0.326,0.385,112.842"
"'[16:46:16.480]',-,0.020,0.740,0.785,0.328,0.386,111.473"
"'[16:46:16.488]',-,0.025,0.730,0.775,0.330,0.389,110.104"
"'[16:46:16.496]',-,0.035,0.734,0.795,0.332,0.393,108.540"
"'[16:46:16.504]',-,0.051,0.725,0.799,0.334,0.395,106.780"
"'[16:46:16.512]',-,0.076,0.721,0.824,0.337,0.397,104.824"
"'[16:46:16.520]',-,0.080,0.709,0.820,0.339,0.398,102.673"
"'[16:46:16.528]',-,0.086,0.715,0.830,0.341,0.399,100.326"
"'[16:46:16.536]',-,0.076,0.721,0.820,0.343,0.400,97.979"
"'[16:46:16.544]',-,0.086,0.705,0.830,0.345,0.400,95.437"
"'[16:46:16.552]',-,0.090,0.709,0.820,0.346,0.401,92.699"
"'[16:46:16.560]',-,0.090,0.699,0.824,0.348,0.403,89.961"
"'[16:46:16.568]',-,0.086,0.709,0.814,0.349,0.407,87.223"
"'[16:46:16.576]',-,0.076,0.705,0.824,0.350,0.412,84.289"
"'[16:46:16.584]',-,0.064,0.721,0.820,0.352,0.418,81.747"
"'[16:46:16.592]',-,0.061,0.721,0.820,0.353,0.427,79.596"
"'[16:46:16.600]',-,0.051,0.730,0.805,0.355,0.437,77.445"
"'[16:46:16.608]',-,0.051,0.725,0.799,0.357,0.447,75.685"
"'[16:46:16.616]',-,0.035,0.734,0.805,0.358,0.458,74.316"
"'[16:46:16.624]',-,0.031,0.740,0.795,0.360,0.470,72.947"
"'[16:46:16.632]',-,0.020,0.744,0.799,0.362,0.485,71.969"
"'[16:46:16.640]',-,0.020,0.744,0.789,0.363,0.500,71.186"
"'[16:46:16.648]',-,0.010,0.750,0.795,0.365,0.515,70.795"
"'[16:46:16.656]',-,0.025,0.734,0.789,0.365,0.528,70.404"
"'[16:46:16.664]',-,0.035,0.740,0.814,0.366,0.540,70.404"
"'[16:46:16.672]',-,0.051,0.725,0.820,0.366,0.551,70.600"
"'[16:46:16.680]',-,0.051,0.721,0.830,0.367,0.562,70.795"
"'[16:46:16.688]',-,0.051,0.725,0.834,0.366,0.572,71.186"
"'[16:46:16.696]',-,0.064,0.725,0.844,0.366,0.580,71.578"
"'[16:46:16.704]',-,0.076,0.715,0.834,0.367,0.586,72.164"
"'[16:46:16.712]',-,0.080,0.709,0.840,0.367,0.588,72.555"
"'[16:46:16.720]',-,0.080,0.715,0.830,0.369,0.592,73.142"
"'[16:46:16.728]',-,0.076,0.705,0.834,0.370,0.596,73.533"
"'[16:46:16.736]',-,0.070,0.715,0.820,0.370,0.601,73.924"
"'[16:46:16.744]',-,0.055,0.721,0.820,0.372,0.604,74.316"
"'[16:46:16.752]',-,0.051,0.730,0.799,0.372,0.607,74.707"
"'[16:46:16.760]',-,0.045,0.725,0.799,0.373,0.608,74.902"
"'[16:46:16.768]',-,0.035,0.740,0.795,0.374,0.608,75.098"
"'[16:46:16.776]',-,0.045,0.730,0.799,0.374,0.605,75.098"
"'[16:46:16.784]',-,0.045,0.734,0.799,0.375,0.602,75.098"
"'[16:46:16.792]',-,0.051,0.725,0.811,0.375,0.598,75.098"
"'[16:46:16.800]',-,0.035,0.734,0.805,0.375,0.594,75.098"
"'[16:46:16.808]',-,0.051,0.725,0.814,0.376,0.590,74.902"
"'[16:46:16.816]',-,0.070,0.734,0.824,0.376,0.587,74.511"
"'[16:46:16.824]',-,0.246,0.625,0.775,0.376,0.584,74.316"
"'[16:46:16.832]',-,0.570,0.420,0.529,0.375,0.578,73.924"
"'[16:46:16.840]',-,0.766,0.230,0.230,0.374,0.579,73.533"
"'[16:46:16.848]',-,0.436,0.330,0.131,0.373,0.582,73.142"
"'[16:46:16.856]',-,-0.084,0.539,0.180,0.372,0.579,72.751"
"'[16:46:16.864]',-,-0.404,0.686,0.305,0.372,0.573,72.164"
"'[16:46:16.872]',-,-0.498,0.766,0.455,0.372,0.566,71.773"
"'[16:46:16.880]',-,-0.498,0.820,0.596,0.372,0.559,71.186"
"'[16:46:16.888]',-,-0.449,0.830,0.689,0.372,0.553,70.600"
"'[16:46:16.896]',-,-0.344,0.834,0.760,0.372,0.548,70.209"
"'[16:46:16.904]',-,-0.225,0.834,0.830,0.372,0.545,69.622"
"'[16:46:16.912]',-,-0.109,0.830,0.900,0.372,0.543,69.231"
"'[16:46:16.920]',-,-0.025,0.799,0.914,0.372,0.543,68.644"
"'[16:46:16.928]',-,0.025,0.785,0.936,0.372,0.543,68.057"
"'[16:46:16.936]',-,0.041,0.789,0.936,0.372,0.543,67.471"
"'[16:46:16.944]',-,0.055,0.779,0.949,0.372,0.543,67.080"
"'[16:46:16.952]',-,0.051,0.789,0.949,0.372,0.543,66.688"
"'[16:46:16.960]',-,0.055,0.779,0.959,0.373,0.543,66.102"
"'[16:46:16.968]',-,0.051,0.785,0.955,0.373,0.541,65.711"
"'[16:46:16.976]',-,0.051,0.785,0.965,0.374,0.539,65.319"
"'[16:46:16.984]',-,0.051,0.789,0.959,0.375,0.538,64.928"
"'[16:46:16.992]',-,0.051,0.779,0.969,0.375,0.539,64.537"
"'[16:46:17.000]',-,0.055,0.785,0.959,0.376,0.540,64.342"
"'[16:46:17.008]',-,0.076,0.770,0.969,0.376,0.542,63.950"
"'[16:46:17.016]',-,0.076,0.770,0.955,0.377,0.543,63.755"
"'[16:46:17.024]',-,0.076,0.766,0.949,0.377,0.543,63.364"
"'[16:46:17.032]',-,0.076,0.770,0.959,0.377,0.543,63.168"
"'[16:46:17.040]',-,0.090,0.766,0.959,0.377,0.543,62.973"
"'[16:46:17.048]',-,0.090,0.766,0.955,0.377,0.542,62.973"
"'[16:46:17.056]',-,0.096,0.760,0.945,0.377,0.541,62.973"
"'[16:46:17.064]',-,0.111,0.766,0.955,0.377,0.541,62.973"
"'[16:46:17.072]',-,0.125,0.744,0.945,0.377,0.540,63.168"
"'[16:46:17.080]',-,0.141,0.740,0.955,0.377,0.540,63.755"
"'[16:46:17.088]',-,0.156,0.721,0.939,0.376,0.539,64.733"
"'[16:46:17.096]',-,0.170,0.721,0.949,0.376,0.536,66.297"
"'[16:46:17.104]',-,0.176,0.699,0.930,0.374,0.532,68.644"
"'[16:46:17.112]',-,0.189,0.689,0.936,0.373,0.529,71.382"
"'[16:46:17.120]',-,0.195,0.670,0.904,0.372,0.524,74.511"
"'[16:46:17.128]',-,0.205,0.670,0.895,0.371,0.518,78.227"
"'[16:46:17.136]',-,0.201,0.660,0.865,0.371,0.513,81.943"
"'[16:46:17.144]',-,0.189,0.660,0.855,0.370,0.508,85.854"
"'[16:46:17.152]',-,0.170,0.660,0.834,0.370,0.503,89.961"
"'[16:46:17.160]',-,0.156,0.670,0.834,0.369,0.500,94.263"
"'[16:46:17.168]',-,0.135,0.686,0.820,0.369,0.496,98.761"
"'[16:46:17.176]',-,0.131,0.680,0.830,0.368,0.491,103.260"
"'[16:46:17.184]',-,0.121,0.686,0.820,0.368,0.487,107.366"
"'[16:46:17.192]',-,0.100,0.695,0.814,0.367,0.482,110.691"
"'[16:46:17.200]',-,0.086,0.699,0.795,0.367,0.478,113.233"
"'[16:46:17.208]',-,0.086,0.695,0.795,0.367,0.474,115.385"
"'[16:46:17.216]',-,0.076,0.709,0.795,0.367,0.470,117.145"
"'[16:46:17.224]',-,0.070,0.709,0.789,0.367,0.467,118.709"
"'[16:46:17.232]',-,0.055,0.725,0.795,0.368,0.465,119.687"
"'[16:46:17.240]',-,0.055,0.721,0.799,0.368,0.464,119.883"
"'[16:46:17.248]',-,0.051,0.730,0.811,0.370,0.465,119.492"
"'[16:46:17.256]',-,0.055,0.725,0.805,0.371,0.466,118.514"
"'[16:46:17.264]',-,0.055,0.730,0.814,0.373,0.467,117.340"
"'[16:46:17.272]',-,0.064,0.721,0.799,0.375,0.467,116.167"
"'[16:46:17.280]',-,0.070,0.721,0.811,0.377,0.467,114.798"
"'[16:46:17.288]',-,0.064,0.715,0.805,0.379,0.467,113.038"
"'[16:46:17.296]',-,0.070,0.721,0.814,0.380,0.466,111.082"
"'[16:46:17.304]',-,0.055,0.725,0.811,0.381,0.467,108.931"
"'[16:46:17.312]',-,0.061,0.721,0.820,0.382,0.467,106.780"
"'[16:46:17.320]',-,0.051,0.725,0.814,0.383,0.467,104.433"
"'[16:46:17.328]',-,0.051,0.734,0.824,0.383,0.467,102.282"
"'[16:46:17.336]',-,0.051,0.730,0.820,0.384,0.468,99.739"
"'[16:46:17.344]',-,0.061,0.725,0.834,0.384,0.470,97.197"
"'[16:46:17.352]',-,0.051,0.730,0.820,0.385,0.473,94.459"
"'[16:46:17.360]',-,0.051,0.730,0.834,0.385,0.478,91.525"
"'[16:46:17.368]',-,0.051,0.734,0.820,0.385,0.485,88.592"
"'[16:46:17.376]',-,0.076,0.721,0.840,0.385,0.493,85.658"
"'[16:46:17.384]',-,0.090,0.709,0.844,0.386,0.502,83.116"
"'[16:46:17.392]',-,0.115,0.695,0.865,0.386,0.515,80.769"
"'[16:46:17.400]',-,0.121,0.686,0.844,0.386,0.527,78.618"
"'[16:46:17.408]',-,0.121,0.680,0.850,0.386,0.538,76.858"
"'[16:46:17.416]',-,0.121,0.689,0.840,0.387,0.549,75.489"
"'[16:46:17.424]',-,0.111,0.686,0.824,0.387,0.563,74.316"
"'[16:46:17.432]',-,0.096,0.705,0.805,0.388,0.578,73.533"
"'[16:46:17.440]',-,0.096,0.699,0.795,0.388,0.592,72.751"
"'[16:46:17.448]',-,0.080,0.709,0.785,0.388,0.607,72.164"
"'[16:46:17.456]',-,0.076,0.705,0.775,0.388,0.621,71.969"
"'[16:46:17.464]',-,0.045,0.730,0.789,0.387,0.633,71.969"
"'[16:46:17.472]',-,0.031,0.734,0.785,0.387,0.644,72.164"
"'[16:46:17.480]',-,0.016,0.750,0.795,0.386,0.654,72.555"
"'[16:46:17.488]',-,0.006,0.750,0.795,0.386,0.665,72.947"
"'[16:46:17.496]',-,0.000,0.766,0.805,0.385,0.674,73.338"
"'[16:46:17.504]',-,0.010,0.754,0.795,0.385,0.679,73.729"
"'[16:46:17.512]',-,0.016,0.750,0.805,0.384,0.684,74.316"
"'[16:46:17.520]',-,0.006,0.754,0.795,0.384,0.688,74.707"
"'[16:46:17.528]',-,0.000,0.766,0.811,0.383,0.691,75.098"
"'[16:46:17.536]',-,0.000,0.766,0.799,0.383,0.694,75.489"
"'[16:46:17.544]',-,0.020,0.760,0.814,0.383,0.694,75.880"
"'[16:46:17.552]',-,0.031,0.744,0.805,0.382,0.693,76.076"
"'[16:46:17.560]',-,0.035,0.740,0.820,0.382,0.692,76.271"
"'[16:46:17.568]',-,0.035,0.744,0.814,0.382,0.690,76.271"
"'[16:46:17.576]',-,0.051,0.730,0.834,0.381,0.687,76.271"
"'[16:46:17.584]',-,0.070,0.721,0.844,0.381,0.683,76.271"
"'[16:46:17.592]',-,0.096,0.705,0.865,0.380,0.678,76.076"
"'[16:46:17.600]',-,0.100,0.699,0.855,0.379,0.673,76.076"
"'[16:46:17.608]',-,0.105,0.695,0.844,0.379,0.667,75.685"
"'[16:46:17.616]',-,0.096,0.705,0.820,0.377,0.658,75.489"
"'[16:46:17.624]',-,0.090,0.705,0.814,0.376,0.650,75.098"
"'[16:46:17.632]',-,0.096,0.715,0.820,0.375,0.641,74.707"
"'[16:46:17.640]',-,0.186,0.664,0.789,0.374,0.632,74.316"
"'[16:46:17.648]',-,0.484,0.480,0.596,0.373,0.624,73.729"
"'[16:46:17.656]',-,0.750,0.256,0.270,0.372,0.616,73.142"
"'[16:46:17.664]',-,0.551,0.230,0.105,0.371,0.608,72.555"
"'[16:46:17.672]',-,0.016,0.494,0.096,0.371,0.601,71.969"
"'[16:46:17.680]',-,-0.375,0.680,0.246,0.370,0.594,71.382"
"'[16:46:17.688]',-,-0.498,0.775,0.391,0.370,0.589,70.795"
"'[16:46:17.696]',-,-0.498,0.844,0.545,0.370,0.586,70.209"
"'[16:46:17.704]',-,-0.498,0.865,0.664,0.370,0.583,69.622"
"'[16:46:17.712]',-,-0.398,0.859,0.760,0.370,0.580,69.035"
"'[16:46:17.720]',-,-0.273,0.850,0.830,0.370,0.577,68.449"
"'[16:46:17.728]',-,-0.148,0.840,0.910,0.371,0.573,68.057"
"'[16:46:17.736]',-,-0.055,0.820,0.936,0.371,0.569,67.471"
"'[16:46:17.744]',-,0.000,0.805,0.955,0.371,0.565,67.080"
"'[16:46:17.752]',-,0.020,0.795,0.949,0.372,0.563,66.688"
"'[16:46:17.760]',-,0.035,0.789,0.965,0.372,0.560,66.297"
"'[16:46:17.768]',-,0.041,0.795,0.955,0.372,0.558,65.906"
"'[16:46:17.776]',-,0.051,0.775,0.959,0.372,0.555,65.515"
"'[16:46:17.784]',-,0.051,0.779,0.959,0.372,0.553,65.124"
"'[16:46:17.792]',-,0.061,0.785,0.990,0.372,0.550,64.928"
"'[16:46:17.800]',-,0.076,0.775,1.004,0.372,0.548,64.537"
"'[16:46:17.808]',-,0.090,0.766,0.994,0.371,0.545,64.342"
"'[16:46:17.816]',-,0.076,0.775,0.969,0.371,0.543,64.146"
"'[16:46:17.824]',-,0.076,0.766,0.959,0.371,0.543,63.755"
"'[16:46:17.832]',-,0.076,0.770,0.945,0.371,0.543,63.559"
"'[16:46:17.840]',-,0.086,0.754,0.949,0.371,0.543,63.168"
"'[16:46:17.848]',-,0.090,0.760,0.936,0.370,0.541,62.973"
"'[16:46:17.856]',-,0.096,0.760,0.930,0.370,0.538,62.973"
"'[16:46:17.864]',-,0.096,0.760,0.936,0.370,0.534,62.777"
"'[16:46:17.872]',-,0.111,0.744,0.914,0.369,0.530,62.582"
"'[16:46:17.880]',-,0.121,0.744,0.936,0.368,0.525,62.582"
"'[16:46:17.888]',-,0.131,0.734,0.930,0.366,0.520,62.777"
"'[16:46:17.896]',-,0.135,0.740,0.945,0.364,0.515,63.168"
"'[16:46:17.904]',-,0.145,0.721,0.936,0.362,0.511,63.755"
"'[16:46:17.912]',-,0.160,0.721,0.936,0.361,0.507,64.928"
"'[16:46:17.920]',-,0.166,0.705,0.924,0.359,0.502,66.688"
"'[16:46:17.928]',-,0.176,0.699,0.924,0.357,0.497,69.035"
"'[16:46:17.936]',-,0.186,0.680,0.904,0.354,0.490,71.969"
"'[16:46:17.944]',-,0.186,0.676,0.889,0.352,0.483,75.293"
"'[16:46:17.952]',-,0.180,0.670,0.869,0.351,0.477,78.814"
"'[16:46:17.960]',-,0.170,0.670,0.885,0.349,0.471,82.529"
"'[16:46:17.968]',-,0.160,0.680,0.875,0.347,0.465,86.441"
"'[16:46:17.976]',-,0.156,0.680,0.879,0.346,0.458,90.352"
"'[16:46:17.984]',-,0.141,0.695,0.855,0.345,0.452,94.850"
"'[16:46:17.992]',-,0.121,0.695,0.840,0.344,0.446,99.544"
"'[16:46:18.000]',-,0.105,0.709,0.814,0.343,0.442,104.042"
"'[16:46:18.008]',-,0.096,0.705,0.814,0.342,0.439,107.758"
"'[16:46:18.016]',-,0.076,0.730,0.799,0.341,0.436,110.691"
"'[16:46:18.024]',-,0.070,0.725,0.795,0.339,0.433,112.842"
"'[16:46:18.032]',-,0.070,0.730,0.799,0.338,0.432,114.407"
"'[16:46:18.040]',-,0.076,0.721,0.789,0.336,0.432,115.776"
"'[16:46:18.048]',-,0.076,0.721,0.799,0.336,0.434,116.558"
"'[16:46:18.056]',-,0.070,0.721,0.789,0.335,0.435,117.145"
"'[16:46:18.064]',-,0.055,0.730,0.799,0.335,0.435,116.949"
"'[16:46:18.072]',-,0.055,0.721,0.795,0.335,0.434,116.167"
"'[16:46:18.080]',-,0.051,0.730,0.811,0.335,0.432,114.994"
"'[16:46:18.088]',-,0.055,0.721,0.805,0.335,0.430,113.625"
"'[16:46:18.096]',-,0.051,0.725,0.820,0.335,0.428,112.256"
"'[16:46:18.104]',-,0.051,0.725,0.814,0.335,0.426,110.691"
"'[16:46:18.112]',-,0.045,0.740,0.834,0.335,0.426,108.735"
"'[16:46:18.120]',-,0.041,0.730,0.844,0.335,0.427,106.780"
"'[16:46:18.128]',-,0.061,0.725,0.865,0.334,0.428,104.628"
"'[16:46:18.136]',-,0.064,0.730,0.855,0.334,0.431,102.282"
"'[16:46:18.144]',-,0.051,0.725,0.844,0.335,0.433,99.935"
"'[16:46:18.152]',-,0.051,0.740,0.830,0.335,0.435,97.588"
"'[16:46:18.160]',-,0.051,0.734,0.830,0.336,0.438,95.046"
"'[16:46:18.168]',-,0.045,0.740,0.820,0.337,0.441,92.308"
"'[16:46:18.176]',-,0.051,0.730,0.814,0.337,0.447,89.570"
"'[16:46:18.184]',-,0.055,0.725,0.811,0.337,0.453,86.636"
"'[16:46:18.192]',-,0.076,0.721,0.820,0.336,0.459,83.898"
"'[16:46:18.200]',-,0.064,0.725,0.811,0.336,0.466,81.356"
"'[16:46:18.208]',-,0.070,0.721,0.820,0.335,0.472,79.009"
"'[16:46:18.216]',-,0.064,0.725,0.811,0.335,0.481,77.054"
"'[16:46:18.224]',-,0.064,0.721,0.805,0.334,0.493,75.489"
"'[16:46:18.232]',-,0.055,0.725,0.820,0.334,0.505,74.120"
"'[16:46:18.240]',-,0.061,0.721,0.824,0.333,0.519,73.142"
"'[16:46:18.248]',-,0.055,0.725,0.830,0.333,0.535,72.164"
"'[16:46:18.256]',-,0.061,0.715,0.820,0.333,0.551,71.382"
"'[16:46:18.264]',-,0.051,0.725,0.830,0.332,0.568,70.991"
"'[16:46:18.272]',-,0.045,0.725,0.840,0.331,0.585,70.795"
"'[16:46:18.280]',-,0.035,0.740,0.855,0.329,0.599,70.795"
"'[16:46:18.288]',-,0.045,0.730,0.865,0.327,0.612,70.991"
"'[16:46:18.296]',-,0.051,0.734,0.869,0.326,0.622,71.186"
"'[16:46:18.304]',-,0.045,0.740,0.840,0.324,0.630,71.773"
"'[16:46:18.312]',-,0.025,0.744,0.820,0.322,0.639,72.164"
"'[16:46:18.320]',-,0.020,0.744,0.811,0.320,0.648,72.555"
"'[16:46:18.328]',-,0.006,0.750,0.814,0.319,0.657,72.947"
"'[16:46:18.336]',-,0.020,0.754,0.795,0.317,0.663,73.338"
"'[16:46:18.344]',-,0.041,0.744,0.820,0.315,0.668,73.729"
"'[16:46:18.352]',-,0.135,0.695,0.795,0.313,0.672,74.120"
"'[16:46:18.360]',-,0.445,0.500,0.625,0.311,0.673,74.316"
"'[16:46:18.368]',-,0.740,0.270,0.285,0.309,0.674,74.707"
"'[16:46:18.376]',-,0.580,0.225,0.135,0.308,0.673,74.707"
"'[16:46:18.384]',-,0.035,0.500,0.125,0.307,0.672,74.902"
"'[16:46:18.392]',-,-0.363,0.676,0.270,0.305,0.670,74.902"
"'[16:46:18.400]',-,-0.498,0.779,0.410,0.304,0.666,74.902"
"'[16:46:18.408]',-,-0.498,0.830,0.564,0.303,0.662,74.707"
"'[16:46:18.416]',-,-0.498,0.859,0.686,0.302,0.657,74.511"
"'[16:46:18.424]',-,-0.385,0.850,0.770,0.301,0.652,74.316"
"'[16:46:18.432]',-,-0.260,0.844,0.840,0.300,0.645,73.924"
"'[16:46:18.440]',-,-0.129,0.830,0.914,0.298,0.636,73.729"
"'[16:46:18.448]',-,-0.035,0.811,0.949,0.295,0.629,73.338"
"'[16:46:18.456]',-,0.020,0.779,0.959,0.293,0.621,72.947"
"'[16:46:18.464]',-,0.045,0.785,0.980,0.290,0.613,72.555"
"'[16:46:18.472]',-,0.061,0.770,0.990,0.287,0.606,71.969"
"'[16:46:18.480]',-,0.064,0.775,1.004,0.284,0.598,71.578"
"'[16:46:18.488]',-,0.070,0.766,0.975,0.283,0.591,70.991"
"'[16:46:18.496]',-,0.061,0.770,0.955,0.281,0.585,70.404"
"'[16:46:18.504]',-,0.055,0.766,0.936,0.279,0.579,69.818"
"'[16:46:18.512]',-,0.045,0.779,0.936,0.277,0.572,69.231"
"'[16:46:18.520]',-,0.041,0.775,0.924,0.275,0.564,68.644"
"'[16:46:18.528]',-,0.045,0.779,0.936,0.274,0.558,68.057"
"'[16:46:18.536]',-,0.041,0.775,0.924,0.273,0.551,67.471"
"'[16:46:18.544]',-,0.055,0.770,0.936,0.272,0.546,67.080"
"'[16:46:18.552]',-,0.070,0.760,0.914,0.271,0.543,66.493"
"'[16:46:18.560]',-,0.080,0.766,0.939,0.270,0.540,65.906"
"'[16:46:18.568]',-,0.090,0.760,0.939,0.269,0.537,65.515"
"'[16:46:18.576]',-,0.100,0.754,0.949,0.269,0.535,65.124"
"'[16:46:18.584]',-,0.100,0.760,0.945,0.268,0.534,64.928"
"'[16:46:18.592]',-,0.115,0.744,0.955,0.268,0.533,64.733"
"'[16:46:18.600]',-,0.125,0.744,0.945,0.267,0.533,64.537"
"'[16:46:18.608]',-,0.135,0.740,0.949,0.267,0.533,64.733"
"'[16:46:18.616]',-,0.141,0.730,0.936,0.266,0.533,64.928"
"'[16:46:18.624]',-,0.150,0.721,0.939,0.265,0.533,65.319"
"'[16:46:18.632]',-,0.145,0.721,0.930,0.264,0.533,66.102"
"'[16:46:18.640]',-,0.160,0.695,0.930,0.263,0.533,67.471"
"'[16:46:18.648]',-,0.166,0.695,0.910,0.262,0.533,69.426"
"'[16:46:18.656]',-,0.176,0.676,0.895,0.260,0.532,71.773"
"'[16:46:18.664]',-,0.170,0.680,0.889,0.259,0.530,74.707"
"'[16:46:18.672]',-,0.186,0.664,0.879,0.257,0.526,77.836"
"'[16:46:18.680]',-,0.189,0.664,0.850,0.255,0.521,81.160"
"'[16:46:18.688]',-,0.166,0.660,0.824,0.253,0.515,84.681"
"'[16:46:18.696]',-,0.141,0.670,0.814,0.252,0.510,88.201"
"'[16:46:18.704]',-,0.121,0.670,0.799,0.250,0.504,92.112"
"'[16:46:18.712]',-,0.096,0.695,0.805,0.248,0.498,96.024"
"'[16:46:18.720]',-,0.090,0.699,0.789,0.246,0.491,100.130"
"'[16:46:18.728]',-,0.080,0.695,0.795,0.245,0.484,103.846"
"'[16:46:18.736]',-,0.076,0.709,0.785,0.244,0.477,107.171"
"'[16:46:18.744]',-,0.061,0.705,0.795,0.243,0.470,109.518"
"'[16:46:18.752]',-,0.055,0.725,0.789,0.242,0.465,111.278"
"'[16:46:18.760]',-,0.061,0.721,0.811,0.241,0.459,112.451"
"'[16:46:18.768]',-,0.055,0.721,0.805,0.241,0.455,113.429"
"'[16:46:18.776]',-,0.061,0.715,0.820,0.241,0.450,114.016"
"'[16:46:18.784]',-,0.051,0.721,0.811,0.241,0.445,114.211"
"'[16:46:18.792]',-,0.055,0.715,0.820,0.241,0.440,113.625"
"'[16:46:18.800]',-,0.051,0.725,0.820,0.242,0.435,112.256"
"'[16:46:18.808]',-,0.055,0.725,0.824,0.242,0.430,110.496"
"'[16:46:18.816]',-,0.051,0.725,0.830,0.243,0.424,108.540"
"'[16:46:18.824]',-,0.051,0.725,0.834,0.245,0.417,106.389"
"'[16:46:18.832]',-,0.051,0.725,0.834,0.246,0.411,104.237"
"'[16:46:18.840]',-,0.055,0.721,0.844,0.247,0.404,101.891"
"'[16:46:18.848]',-,0.051,0.721,0.844,0.248,0.398,99.544"
"'[16:46:18.856]',-,0.064,0.721,0.865,0.249,0.396,96.806"
"'[16:46:18.864]',-,0.076,0.715,0.875,0.250,0.394,94.068"
"'[16:46:18.872]',-,0.076,0.705,0.844,0.251,0.394,91.134"
"'[16:46:18.880]',-,0.051,0.725,0.830,0.251,0.394,88.201"
"'[16:46:18.888]',-,0.045,0.721,0.820,0.251,0.387,85.267"
"'[16:46:18.896]',-,0.041,0.730,0.811,0.250,0.375,82.334"
"'[16:46:18.904]',-,0.045,0.725,0.805,0.250,0.371,79.596"
"'[16:46:18.912]',-,0.051,0.730,0.814,0.249,0.370,77.249"
"'[16:46:18.920]',-,0.035,0.730,0.795,0.249,0.372,75.098"
"'[16:46:18.928]',-,0.031,0.740,0.799,0.249,0.376,73.338"
"'[16:46:18.936]',-,0.035,0.734,0.789,0.249,0.384,71.773"
"'[16:46:18.944]',-,0.041,0.730,0.805,0.248,0.395,70.600"
"'[16:46:18.952]',-,0.031,0.740,0.795,0.248,0.408,69.426"
"'[16:46:18.960]',-,0.025,0.734,0.814,0.248,0.422,68.840"
"'[16:46:18.968]',-,0.020,0.744,0.805,0.248,0.438,68.253"
